geo,sugar_per_person_g_per_day,time
alb,30.14,1961
alb,30.14,1962
alb,32.88,1963
alb,35.62,1964
alb,35.62,1965
alb,35.62,1966
alb,38.36,1967
alb,38.36,1968
alb,38.36,1969
alb,38.36,1970
alb,41.1,1971
alb,41.1,1972
alb,41.1,1973
alb,43.84,1974
alb,43.84,1975
alb,43.84,1976
alb,41.1,1977
alb,43.84,1978
alb,46.58,1979
alb,46.58,1980
alb,46.58,1981
alb,46.58,1982
alb,46.58,1983
alb,46.58,1984
alb,46.58,1985
alb,49.32,1986
alb,49.32,1987
alb,49.32,1988
alb,49.32,1989
alb,52.06,1990
alb,38.36,1991
alb,52.06,1992
alb,79.45,1993
alb,101.4,1994
alb,54.8,1995
alb,68.49,1996
alb,60.27,1997
alb,60.27,1998
alb,57.53,1999
alb,65.75,2000
alb,68.49,2001
alb,71.23,2002
alb,65.75,2003
alb,65.75,2004
dza,46.58,1961
dza,49.32,1962
dza,46.58,1963
dza,49.32,1964
dza,46.58,1965
dza,46.58,1966
dza,49.32,1967
dza,49.32,1968
dza,46.58,1969
dza,43.84,1970
dza,52.06,1971
dza,49.32,1972
dza,46.58,1973
dza,49.32,1974
dza,63.01,1975
dza,65.75,1976
dza,71.23,1977
dza,71.23,1978
dza,82.19,1979
dza,82.19,1980
dza,82.19,1981
dza,73.97,1982
dza,82.19,1983
dza,82.19,1984
dza,79.45,1985
dza,84.93,1986
dza,93.15,1987
dza,79.45,1988
dza,84.93,1989
dza,82.19,1990
dza,79.45,1991
dza,73.97,1992
dza,76.71,1993
dza,73.97,1994
dza,73.97,1995
dza,73.97,1996
dza,79.45,1997
dza,54.8,1998
dza,60.27,1999
dza,82.19,2000
dza,79.45,2001
dza,82.19,2002
dza,84.93,2003
dza,84.93,2004
ago,24.66,1961
ago,30.14,1962
ago,32.88,1963
ago,30.14,1964
ago,30.14,1965
ago,30.14,1966
ago,30.14,1967
ago,35.62,1968
ago,30.14,1969
ago,35.62,1970
ago,38.36,1971
ago,38.36,1972
ago,35.62,1973
ago,35.62,1974
ago,30.14,1975
ago,43.84,1976
ago,43.84,1977
ago,43.84,1978
ago,43.84,1979
ago,43.84,1980
ago,35.62,1981
ago,32.88,1982
ago,30.14,1983
ago,30.14,1984
ago,30.14,1985
ago,30.14,1986
ago,30.14,1987
ago,30.14,1988
ago,32.88,1989
ago,35.62,1990
ago,32.88,1991
