suicide_age_30_44_per_100000_people,geo,time
8.414,arg,1966
9.895,arg,1967
11.56,arg,1968
11.44,arg,1969
11.69,arg,1970
8.849,arg,1977
8.72,arg,1978
7.377,arg,1979
8.143,arg,1980
9.374,arg,1981
7.785,arg,1982
6.056,arg,1983
6.465,arg,1984
6.581,arg,1985
8.367,arg,1986
8.341,arg,1987
7.653,arg,1988
7.69,arg,1989
6.358,arg,1990
6.581,arg,1991
7.451,arg,1992
7.328,arg,1993
7.637,arg,1994
6.344,arg,1995
6.598,arg,1996
6.808,arg,1997
6.175,arg,1998
7.059,arg,1999
7.217,arg,2000
8.819,arg,2001
8.539,arg,2002
8.785,arg,2003
8.021,arg,2004
7.828,arg,2005
8.078,arg,2006
7.973,arg,2007
11.34,aus,1950
11.41,aus,1951
13.69,aus,1952
12.69,aus,1953
13.19,aus,1954
12.7,aus,1955
14.62,aus,1956
15.48,aus,1957
16.09,aus,1958
15.56,aus,1959
15.03,aus,1960
16.46,aus,1961
20.3,aus,1962
23.24,aus,1963
22.43,aus,1964
22.29,aus,1965
20.84,aus,1966
22.79,aus,1967
19.48,aus,1968
19.34,aus,1969
16.95,aus,1970
19.51,aus,1971
18.87,aus,1972
16.54,aus,1973
15.9,aus,1974
16.47,aus,1975
15.59,aus,1976
15.36,aus,1977
15.15,aus,1978
16.05,aus,1979
16.02,aus,1980
15.3,aus,1981
13.93,aus,1982
13.71,aus,1983
14.19,aus,1984
14.74,aus,1985
16.53,aus,1986
16.88,aus,1987
17.1,aus,1988
14.88,aus,1989
16.53,aus,1990
18.49,aus,1991
16.06,aus,1992
14.8,aus,1993
17.29,aus,1994
16.75,aus,1995
18.66,aus,1996
19.71,aus,1997
21.32,aus,1998
19.49,aus,1999
19.84,aus,2000
19.82,aus,2001
18.94,aus,2002
16.88,aus,2003
16.21,aus,2004
11.33,aus,2006
22.28,aut,1955
21.91,aut,1956
24.18,aut,1957
25.96,aut,1958
27.03,aut,1959
24.0,aut,1960
24.02,aut,1961
24.54,aut,1962
23.68,aut,1963
22.37,aut,1964
26.64,aut,1965
26.71,aut,1966
24.26,aut,1967
25.46,aut,1968
26.77,aut,1969
27.78,aut,1970
25.86,aut,1971
25.6,aut,1972
23.51,aut,1973
28.6,aut,1974
27.43,aut,1975
24.11,aut,1976
26.86,aut,1977
28.93,aut,1978
27.4,aut,1979
26.77,aut,1980
30.33,aut,1981
31.98,aut,1982
30.85,aut,1983
29.82,aut,1984
32.77,aut,1985
34.26,aut,1986
30.18,aut,1987
27.07,aut,1988
25.48,aut,1989
24.18,aut,1990
24.06,aut,1991
22.0,aut,1992
21.4,aut,1993
22.81,aut,1994
24.59,aut,1995
22.98,aut,1996
21.55,aut,1997
18.7,aut,1998
18.65,aut,1999
19.42,aut,2000
18.26,aut,2001
19.66,aut,2002
16.99,aut,2003
15.29,aut,2004
15.61,aut,2005
15.79,aut,2006
13.46,aut,2007
12.89,aut,2008
8.65,aze,1981
5.291,aze,1982
5.042,aze,1985
5.104,aze,1986
6.779,aze,1987
5.009,aze,1988
5.177,aze,1989
3.123,aze,1990
3.065,aze,1991
2.606,aze,1992
2.421,aze,1993
0.8154,aze,1994
1.286,aze,1995
1.079,aze,1996
2.486,aze,1997
1.33,aze,1998
1.332,aze,1999
1.018,aze,2000
6.637,bhr,1985
5.426,bhr,1987
6.627,bhr,1988
5.774,bhr,1999
7.193,bhr,2000
7.28,bhr,2001
42.79,blr,1981
43.43,blr,1982
37.06,blr,1985
26.98,blr,1986
27.93,blr,1987
24.46,blr,1988
32.61,blr,1989
29.16,blr,1990
27.72,blr,1991
30.15,blr,1992
38.39,blr,1993
41.59,blr,1994
42.66,blr,1995
46.83,blr,1997
45.53,blr,1998
44.2,blr,1999
47.46,blr,2000
43.35,blr,2001
42.28,blr,2002
44.88,blr,2003
33.02,blr,2007
10.47,bel,1954
8.99,bel,1955
10.36,bel,1956
10.24,bel,1957
