suicide_age_60plus_per_100000_people,geo,time
19.16,arg,1966
24.41,arg,1967
24.39,arg,1968
24.56,arg,1969
23.0,arg,1970
18.41,arg,1977
19.28,arg,1978
17.07,arg,1979
20.05,arg,1980
20.65,arg,1981
19.52,arg,1982
19.34,arg,1983
18.7,arg,1984
20.78,arg,1985
21.95,arg,1986
21.9,arg,1987
21.82,arg,1988
20.41,arg,1989
19.3,arg,1990
16.71,arg,1991
16.5,arg,1992
18.33,arg,1993
15.89,arg,1994
15.9,arg,1995
14.56,arg,1996
14.57,arg,1997
15.8,arg,1998
15.08,arg,1999
16.09,arg,2000
17.25,arg,2001
16.5,arg,2002
16.1,arg,2003
13.46,arg,2004
13.51,arg,2005
12.48,arg,2006
11.11,arg,2007
21.43,aus,1950
20.31,aus,1951
23.13,aus,1952
25.25,aus,1953
25.42,aus,1954
23.41,aus,1955
23.4,aus,1956
25.09,aus,1957
24.1,aus,1958
21.09,aus,1959
22.03,aus,1960
21.71,aus,1961
23.74,aus,1962
27.94,aus,1963
26.46,aus,1964
25.9,aus,1965
25.64,aus,1966
29.06,aus,1967
22.76,aus,1968
21.91,aus,1969
21.78,aus,1970
22.54,aus,1971
19.13,aus,1972
19.11,aus,1973
20.3,aus,1974
17.0,aus,1975
16.34,aus,1976
16.74,aus,1977
15.81,aus,1978
15.28,aus,1979
14.73,aus,1980
15.77,aus,1981
18.91,aus,1982
16.54,aus,1983
15.37,aus,1984
16.42,aus,1985
16.17,aus,1986
17.9,aus,1987
17.34,aus,1988
16.71,aus,1989
15.93,aus,1990
14.93,aus,1991
16.16,aus,1992
14.43,aus,1993
14.55,aus,1994
11.8,aus,1995
15.24,aus,1996
14.59,aus,1997
13.58,aus,1998
12.81,aus,1999
12.69,aus,2000
12.04,aus,2001
11.17,aus,2002
11.04,aus,2003
11.66,aus,2004
9.438,aus,2006
41.13,aut,1955
40.7,aut,1956
41.28,aut,1957
38.33,aut,1958
39.43,aut,1959
41.98,aut,1960
36.63,aut,1961
40.83,aut,1962
35.98,aut,1963
39.76,aut,1964
40.39,aut,1965
42.11,aut,1966
43.12,aut,1967
39.58,aut,1968
41.7,aut,1969
44.01,aut,1970
44.28,aut,1971
45.55,aut,1972
42.26,aut,1973
43.85,aut,1974
45.35,aut,1975
41.95,aut,1976
44.66,aut,1977
40.65,aut,1978
42.51,aut,1979
43.66,aut,1980
45.09,aut,1981
43.44,aut,1982
44.14,aut,1983
41.86,aut,1984
43.77,aut,1985
43.02,aut,1986
47.34,aut,1987
40.54,aut,1988
44.65,aut,1989
42.28,aut,1990
41.52,aut,1991
38.07,aut,1992
38.52,aut,1993
38.04,aut,1994
37.69,aut,1995
41.09,aut,1996
33.18,aut,1997
33.31,aut,1998
34.2,aut,1999
34.4,aut,2000
31.57,aut,2001
33.42,aut,2002
30.98,aut,2003
30.48,aut,2004
29.93,aut,2005
26.21,aut,2006
26.6,aut,2007
26.39,aut,2008
10.2,aze,1981
12.31,aze,1982
10.19,aze,1985
9.295,aze,1986
10.87,aze,1987
9.951,aze,1988
10.49,aze,1989
3.04,aze,1990
3.478,aze,1991
4.622,aze,1992
3.775,aze,1993
1.638,aze,1994
1.534,aze,1995
2.4,aze,1996
2.634,aze,1997
1.448,aze,1998
1.007,aze,1999
1.644,aze,2000
0.0,bhr,1985
0.0,bhr,1987
0.0,bhr,1988
0.0,bhr,1999
0.0,bhr,2000
0.0,bhr,2001
28.42,blr,1981
31.71,blr,1982
25.24,blr,1985
22.82,blr,1986
25.78,blr,1987
24.66,blr,1988
26.84,blr,1989
25.83,blr,1990
28.8,blr,1991
27.34,blr,1992
35.18,blr,1993
38.66,blr,1994
37.2,blr,1995
41.62,blr,1997
42.64,blr,1998
41.0,blr,1999
41.68,blr,2000
39.66,blr,2001
37.02,blr,2002
43.82,blr,2003
35.09,blr,2007
35.51,bel,1954
36.19,bel,1955
37.53,bel,1956
39.63,bel,1957
38.08,bel,1958
32.02,bel,1959
37.8,bel,1960
37.47,bel,1961
36.04,bel,1962
34.9,bel,1963
34.96,bel,1964
37.58,bel,1965
38.78,bel,1966
37.06,bel,1967
38.91,bel,1968
40.16,bel,1969
41.45,bel,1970
37.21,bel,1971
38.22,bel,1972
37.6,bel,1973
35.45,bel,1974
38.29,bel,1975
37.08,bel,1976
40.77,bel,1977
42.89,bel,1978
43.95,bel,1979
44.84,bel,1980
41.25,bel,1981
41.49,bel,1982
41.34,bel,1983
42.93,bel,1984
42.96,bel,1985
40.66,bel,1986
39.21,bel,1987
35.86,bel,1988
34.77,bel,1989
33.38,bel,1990
29.89,bel,1991
31.02,bel,1992
31.71,bel,1993
30.62,bel,1994
29.57,bel,1995
26.81,bel,1996
27.72,bel,1997
27.45,bel,1998
24.99,bel,1999
23.99,bel,2004
18.73,bih,1985
20.78,bih,1986
20.63,bih,1987
12.13,bih,1988
16.64,bih,1989
16.77,bih,1990
13.05,bih,1991
6.141,bra,1982
7.349,bra,1983
6.895,bra,1984
6.852,bra,1985
7.023,bra,1986
7.068,bra,1987
6.361,bra,1988
6.322,bra,1989
6.588,bra,1990
7.058,bra,1991
6.139,bra,1992
6.073,bra,1993
6.596,bra,1994
7.924,bra,1995
7.317,bra,1996
7.855,bra,1997
7.902,bra,1998
6.843,bra,1999
7.115,bra,2000
7.407,bra,2001
6.978,bra,2002
6.803,bra,2003
7.127,bra,2004
7.75,bra,2005
31.74,bgr,1964
30.29,bgr,1965
35.76,bgr,1966
32.04,bgr,1967
31.89,bgr,1968
35.76,bgr,1969
39.51,bgr,1970
41.2,bgr,1971
38.51,bgr,1972
36.57,bgr,1973
40.8,bgr,1974
39.44,bgr,1975
42.52,bgr,1976
44.25,bgr,1977
40.75,bgr,1978
40.79,bgr,1979
37.92,bgr,1980
36.74,bgr,1981
41.09,bgr,1982
37.89,bgr,1983
44.57,bgr,1984
45.05,bgr,1985
43.09,bgr,1986
46.82,bgr,1987
43.22,bgr,1988
42.98,bgr,1989
38.15,bgr,1990
39.27,bgr,1991
43.73,bgr,1992
39.49,bgr,1993
39.61,bgr,1994
38.02,bgr,1995
39.86,bgr,1996
40.98,bgr,1997
42.46,bgr,1998
34.27,bgr,1999
34.64,bgr,2000
33.05,bgr,2001
34.77,bgr,2002
28.31,bgr,2003
25.38,bgr,2004
25.27,bgr,2005
25.36,bgr,2006
24.56,bgr,2007
23.79,bgr,2008
18.96,can,1950
18.13,can,1951
19.36,can,1952
17.14,can,1953
16.82,can,1954
17.52,can,1955
19.34,can,1956
16.85,can,1957
16.24,can,1958
17.19,can,1959
16.51,can,1960
17.63,can,1961
13.59,can,1962
15.34,can,1963
15.71,can,1964
17.99,can,1965
15.23,can,1966
15.39,can,1967
16.32,can,1968
17.68,can,1969
17.51,can,1970
17.29,can,1971
16.27,can,1972
19.35,can,1973
17.32,can,1974
16.25,can,1975
15.43,can,1976
16.65,can,1977
18.42,can,1978
16.84,can,1979
18.71,can,1980
17.84,can,1981
17.26,can,1982
19.8,can,1983
16.52,can,1984
15.82,can,1985
17.56,can,1986
16.45,can,1987
15.31,can,1988
14.98,can,1989
12.99,can,1990
14.48,can,1991
13.47,can,1992
13.74,can,1993
13.27,can,1994
12.85,can,1995
13.37,can,1996
12.55,can,1997
12.57,can,1998
12.61,can,1999
11.01,can,2000
10.73,can,2001
11.45,can,2002
11.74,can,2003
10.82,can,2004
6.796,chl,1955
13.06,chl,1956
10.02,chl,1957
8.45,chl,1958
9.178,chl,1959
13.61,chl,1960
11.11,chl,1961
11.17,chl,1962
7.615,chl,1963
4.241,chl,1964
3.734,chl,1965
11.43,chl,1966
4.089,chl,1967
15.02,chl,1968
10.02,chl,1969
10.42,chl,1970
9.888,chl,1971
9.84,chl,1972
10.94,chl,1973
12.56,chl,1974
14.27,chl,1975
10.02,chl,1976
9.238,chl,1977
8.564,chl,1978
10.09,chl,1979
8.165,chl,1980
9.152,chl,1981
11.15,chl,1982
10.74,chl,1983
11.14,chl,1984
11.75,chl,1985
11.52,chl,1986
10.84,chl,1987
10.12,chl,1988
10.27,chl,1989
11.21,chl,1990
10.88,chl,1991
9.345,chl,1992
10.48,chl,1993
10.08,chl,1994
11.69,chl,1995
11.08,chl,1996
10.95,chl,1997
11.17,chl,1998
11.22,chl,1999
15.33,chl,2000
13.51,chl,2001
14.05,chl,2002
15.22,chl,2003
14.1,chl,2004
13.76,chl,2005
1.337,col,1953
2.856,col,1954
1.493,col,1955
2.064,col,1956
1.535,col,1957
4.666,col,1958
5.069,col,1959
4.955,col,1960
5.613,col,1961
5.562,col,1962
5.234,col,1963
6.07,col,1964
8.173,col,1965
6.602,col,1966
7.167,col,1967
5.926,col,1968
5.737,col,1969
5.841,col,1972
3.293,col,1974
4.603,col,1975
4.942,col,1976
4.606,col,1977
5.694,col,1984
6.357,col,1985
4.393,col,1986
3.687,col,1987
4.012,col,1988
3.685,col,1989
3.848,col,1990
3.969,col,1991
4.942,col,1992
5.461,col,1993
5.774,col,1994
4.903,col,1995
4.931,col,1996
5.032,col,1997
7.318,col,1998
8.012,col,1999
7.446,col,2000
7.987,col,2001
6.216,col,2002
8.116,col,2004
7.123,col,2005
7.025,col,2006
4.747,cri,1962
5.546,cri,1963
5.828,cri,1964
