geo,suicide_men_per_100000_people,time
afg,4.885,2004
alb,9.331,2004
dza,5.145,2004
and,8.048,2004
ago,21.47,2004
atg,4.43,2004
arg,12.2,1966
arg,15.55,1967
arg,16.78,1968
arg,16.78,1969
arg,16.04,1970
arg,11.72,1977
arg,11.95,1978
arg,10.2,1979
arg,11.59,1980
arg,12.99,1981
arg,11.06,1982
arg,9.593,1983
arg,10.38,1984
arg,10.74,1985
arg,12.04,1986
arg,11.59,1987
arg,11.82,1988
arg,11.36,1989
arg,10.52,1990
arg,9.853,1991
arg,11.33,1992
arg,11.57,1993
arg,11.2,1994
arg,10.77,1995
arg,10.64,1996
arg,10.31,1997
arg,10.92,1998
arg,11.39,1999
arg,12.92,2000
arg,14.01,2001
arg,13.75,2002
arg,14.33,2003
arg,13.35,2004
arm,6.392,2004
aus,13.89,1950
aus,14.32,1951
aus,16.0,1952
aus,15.87,1953
aus,16.23,1954
aus,15.49,1955
aus,16.03,1956
aus,17.85,1957
aus,19.05,1958
aus,16.92,1959
aus,15.62,1960
aus,17.64,1961
aus,19.7,1962
aus,22.0,1963
aus,20.25,1964
aus,19.79,1965
aus,18.46,1966
aus,20.1,1967
aus,17.81,1968
aus,17.7,1969
aus,18.06,1970
aus,18.95,1971
aus,17.58,1972
aus,16.49,1973
aus,16.74,1974
aus,15.81,1975
aus,16.27,1976
aus,16.41,1977
aus,16.04,1978
aus,16.75,1979
aus,16.48,1980
aus,16.89,1981
aus,17.22,1982
aus,16.64,1983
aus,16.99,1984
aus,17.8,1985
aus,19.14,1986
aus,20.55,1987
aus,19.86,1988
aus,18.76,1989
aus,19.79,1990
aus,19.99,1991
aus,19.48,1992
aus,17.68,1993
aus,19.9,1994
aus,18.06,1995
aus,20.42,1996
aus,21.6,1997
aus,21.56,1998
aus,20.08,1999
aus,18.68,2000
aus,18.95,2001
aus,17.51,2002
aus,15.96,2003
aus,15.46,2004
aut,30.0,1955
aut,29.41,1956
aut,31.29,1957
aut,30.86,1958
aut,32.9,1959
aut,30.01,1960
aut,29.03,1961
aut,30.66,1962
aut,28.86,1963
aut,31.15,1964
aut,30.13,1965
aut,31.15,1966
aut,30.59,1967
aut,30.89,1968
aut,29.93,1969
aut,34.51,1970
aut,30.42,1971
aut,32.08,1972
aut,30.33,1973
aut,32.44,1974
aut,33.85,1975
aut,31.5,1976
aut,32.55,1977
aut,34.56,1978
aut,34.23,1979
aut,35.09,1980
aut,36.65,1981
aut,38.59,1982
aut,36.33,1983
aut,36.24,1984
aut,36.63,1985
aut,37.61,1986
aut,35.31,1987
aut,32.06,1988
aut,31.6,1989
aut,30.09,1990
aut,29.86,1991
aut,29.16,1992
aut,27.89,1993
aut,28.66,1994
aut,29.6,1995
aut,29.11,1996
aut,25.71,1997
aut,25.56,1998
aut,24.22,1999
