geo,suicide_total_deaths,time
afg,1488,2002
afg,1506,2004
alb,82,2002
alb,238,2004
dza,897,2002
dza,1169,2004
and,5,2002
and,5,2004
ago,1065,2002
ago,1576,2004
atg,0,2002
atg,2,2004
arg,3878,2002
arg,3586,2004
arm,103,2002
arm,121,2004
aus,2210,2002
aus,2168,2004
aut,1476,2002
aut,1465,2004
aze,367,2002
aze,107,2004
bhs,9,2002
bhs,11,2004
bhr,31,2002
bhr,35,2004
bgd,17540,2002
bgd,18960,2004
brb,11,2002
brb,10,2004
blr,3796,2002
blr,3535,2004
bel,2148,2002
bel,2101,2004
blz,6,2002
blz,23,2004
ben,281,2002
ben,316,2004
btn,296,2002
btn,84,2004
bol,172,2002
bol,163,2004
bih,572,2002
bih,513,2004
bwa,88,2002
bwa,132,2004
bra,8833,2002
bra,9851,2004
brn,6,2002
brn,6,2004
bgr,1347,2002
bgr,1068,2004
bfa,661,2002
bfa,723,2004
bdi,456,2002
bdi,698,2004
khm,584,2002
khm,615,2004
cmr,747,2002
cmr,867,2004
can,3675,2002
can,3830,2004
cpv,15,2002
cpv,19,2004
caf,359,2002
caf,372,2004
tcd,398,2002
tcd,529,2004
chl,1744,2002
chl,1747,2004
chn,272600,2002
chn,222200,2004
col,2659,2002
col,3509,2004
com,22,2002
com,23,2004
cod,2453,2002
cod,5205,2004
cog,229,2002
cog,213,2004
cok,1,2002
cok,0,2004
cri,317,2002
cri,352,2004
civ,1777,2002
civ,2614,2004
hrv,885,2002
hrv,906,2004
cub,1711,2002
cub,1589,2004
cyp,5,2002
cyp,5,2004
cze,1665,2002
cze,1732,2004
dnk,715,2002
dnk,773,2004
dji,34,2002
dji,37,2004
dma,0,2002
dma,4,2004
dom,249,2002
dom,515,2004
ecu,761,2002
ecu,1056,2004
egy,1065,2002
egy,1134,2004
slv,559,2002
slv,500,2004
gnq,25,2002
gnq,35,2004
eri,234,2002
eri,215,2004
est,384,2002
est,339,2004
eth,2409,2002
eth,4550,2004
fji,24,2002
fji,23,2004
fin,1215,2002
fin,1093,2004
fra,9529,2002
fra,11580,2004
gab,58,2002
gab,76,2004
gmb,63,2002
gmb,69,2004
geo,170,2002
geo,87,2004
deu,11440,2002
deu,11630,2004
gha,809,2002
gha,906,2004
grc,386,2002
grc,351,2004
grd,3,2002
grd,3,2004
gtm,280,2002
gtm,393,2004
gin,429,2002
gin,444,2004
gnb,68,2002
gnb,74,2004
guy,156,2002
guy,249,2004
hti,60,2002
hti,111,2004
hnd,551,2002
hnd,435,2004
hun,2795,2002
hun,2727,2004
isl,34,2002
isl,35,2004
ind,182400,2002
ind,188500,2004
idn,24560,2002
idn,23990,2004
irn,5593,2002
irn,4190,2004
irq,1687,2002
irq,4200,2004
irl,458,2002
irl,503,2004
isr,301,2002
isr,403,2004
ita,3900,2002
ita,4172,2004
jam,2,2002
jam,106,2004
jpn,31390,2002
jpn,31750,2004
jor,915,2002
jor,10,2004
kaz,5746,2002
kaz,4311,2004
ken,1872,2002
ken,2188,2004
kir,0,2002
kir,0,2004
prk,1131,2002
prk,1104,2004
