geo,suicide_women_per_100000_people,time
afg,8.63,2004
alb,6.061,2004
dza,4.601,2004
and,2.903,2004
ago,8.144,2004
arg,3.774,1966
arg,4.522,1967
arg,4.95,1968
arg,4.473,1969
arg,5.086,1970
arg,4.095,1977
arg,4.201,1978
arg,3.768,1979
arg,3.896,1980
arg,3.974,1981
arg,3.38,1982
arg,3.553,1983
arg,3.265,1984
arg,3.574,1985
arg,4.306,1986
arg,4.497,1987
arg,4.194,1988
arg,3.802,1989
arg,3.656,1990
arg,2.975,1991
arg,2.998,1992
arg,2.871,1993
arg,2.946,1994
arg,2.832,1995
arg,2.956,1996
arg,3.053,1997
arg,2.806,1998
arg,2.604,1999
arg,2.918,2000
arg,3.537,2001
arg,3.624,2002
arg,3.471,2003
arg,3.289,2004
arm,1.543,2004
aus,4.559,1950
aus,4.574,1951
aus,5.168,1952
aus,5.885,1953
aus,5.379,1954
aus,5.319,1955
aus,5.729,1956
aus,6.757,1957
aus,6.14,1958
aus,5.799,1959
aus,6.195,1960
aus,6.841,1961
aus,8.803,1962
aus,10.88,1963
aus,10.17,1964
aus,11.19,1965
aus,10.97,1966
aus,11.42,1967
aus,8.79,1968
aus,8.081,1969
aus,7.77,1970
aus,9.616,1971
aus,8.663,1972
aus,7.727,1973
aus,7.593,1974
aus,7.196,1975
aus,5.92,1976
aus,6.319,1977
aus,6.624,1978
aus,6.606,1979
aus,5.548,1980
aus,5.491,1981
aus,5.709,1982
aus,5.03,1983
aus,5.076,1984
aus,5.098,1985
aus,5.603,1986
aus,5.036,1987
aus,5.167,1988
aus,4.624,1989
aus,4.799,1990
aus,5.228,1991
aus,4.891,1992
aus,4.123,1993
aus,4.311,1994
aus,4.759,1995
aus,4.651,1996
aus,5.566,1997
aus,5.183,1998
aus,4.872,1999
aus,4.892,2000
aus,4.904,2001
aus,4.672,2002
aus,4.358,2003
aus,4.002,2004
aut,13.04,1955
aut,12.27,1956
aut,12.48,1957
aut,12.58,1958
aut,12.88,1959
aut,12.33,1960
aut,11.32,1961
aut,10.88,1962
aut,11.5,1963
aut,10.77,1964
aut,11.92,1965
aut,11.48,1966
aut,10.6,1967
aut,10.37,1968
aut,11.81,1969
aut,11.48,1970
aut,11.96,1971
aut,11.7,1972
aut,10.87,1973
aut,11.73,1974
aut,11.2,1975
aut,10.42,1976
aut,12.14,1977
aut,11.57,1978
aut,11.96,1979
aut,11.67,1980
aut,12.16,1981
aut,11.48,1982
aut,12.01,1983
aut,11.55,1984
aut,12.3,1985
aut,12.69,1986
aut,11.83,1987
aut,10.14,1988
aut,11.05,1989
aut,10.01,1990
aut,8.897,1991
aut,9.189,1992
aut,8.59,1993
aut,9.265,1994
aut,8.038,1995
aut,7.676,1996
aut,7.533,1997
aut,6.98,1998
aut,7.583,1999
aut,7.812,2000
aut,7.08,2001
aut,6.395,2002
aut,6.941,2003
aut,5.982,2004
aze,3.827,1981
aze,2.853,1982
aze,2.517,1985
