surface_area_sq_km,geo,time
652200.0,afg,1961
652200.0,afg,1962
652200.0,afg,1963
652200.0,afg,1964
652200.0,afg,1965
652200.0,afg,1966
652200.0,afg,1967
652200.0,afg,1968
652200.0,afg,1969
652200.0,afg,1970
652200.0,afg,1971
652200.0,afg,1972
652200.0,afg,1973
652200.0,afg,1974
652200.0,afg,1975
652200.0,afg,1976
652200.0,afg,1977
652200.0,afg,1978
652200.0,afg,1979
652200.0,afg,1980
652200.0,afg,1981
652200.0,afg,1982
652200.0,afg,1983
652200.0,afg,1984
652200.0,afg,1985
652200.0,afg,1986
652200.0,afg,1987
652200.0,afg,1988
652200.0,afg,1989
652200.0,afg,1990
652200.0,afg,1991
652200.0,afg,1992
652200.0,afg,1993
652200.0,afg,1994
652200.0,afg,1995
652200.0,afg,1996
652200.0,afg,1997
652200.0,afg,1998
652200.0,afg,1999
652200.0,afg,2000
652200.0,afg,2001
652200.0,afg,2002
652200.0,afg,2003
652200.0,afg,2004
652200.0,afg,2005
652200.0,afg,2006
652200.0,afg,2007
652200.0,afg,2008
652200.0,afg,2009
652200.0,afg,2010
28750.0,alb,1961
28750.0,alb,1962
28750.0,alb,1963
28750.0,alb,1964
28750.0,alb,1965
28750.0,alb,1966
28750.0,alb,1967
28750.0,alb,1968
28750.0,alb,1969
28750.0,alb,1970
28750.0,alb,1971
28750.0,alb,1972
28750.0,alb,1973
28750.0,alb,1974
28750.0,alb,1975
28750.0,alb,1976
28750.0,alb,1977
28750.0,alb,1978
28750.0,alb,1979
28750.0,alb,1980
28750.0,alb,1981
28750.0,alb,1982
28750.0,alb,1983
28750.0,alb,1984
28750.0,alb,1985
28750.0,alb,1986
28750.0,alb,1987
28750.0,alb,1988
28750.0,alb,1989
28750.0,alb,1990
28750.0,alb,1991
28750.0,alb,1992
28750.0,alb,1993
28750.0,alb,1994
28750.0,alb,1995
28750.0,alb,1996
28750.0,alb,1997
28750.0,alb,1998
28750.0,alb,1999
28750.0,alb,2000
28750.0,alb,2001
28750.0,alb,2002
28750.0,alb,2003
28750.0,alb,2004
28750.0,alb,2005
28750.0,alb,2006
28750.0,alb,2007
28750.0,alb,2008
28750.0,alb,2009
28750.0,alb,2010
2382000.0,dza,1961
2382000.0,dza,1962
2382000.0,dza,1963
2382000.0,dza,1964
2382000.0,dza,1965
2382000.0,dza,1966
2382000.0,dza,1967
2382000.0,dza,1968
2382000.0,dza,1969
2382000.0,dza,1970
2382000.0,dza,1971
2382000.0,dza,1972
2382000.0,dza,1973
2382000.0,dza,1974
2382000.0,dza,1975
2382000.0,dza,1976
2382000.0,dza,1977
2382000.0,dza,1978
2382000.0,dza,1979
2382000.0,dza,1980
2382000.0,dza,1981
2382000.0,dza,1982
2382000.0,dza,1983
2382000.0,dza,1984
2382000.0,dza,1985
2382000.0,dza,1986
2382000.0,dza,1987
2382000.0,dza,1988
2382000.0,dza,1989
2382000.0,dza,1990
2382000.0,dza,1991
2382000.0,dza,1992
2382000.0,dza,1993
2382000.0,dza,1994
2382000.0,dza,1995
2382000.0,dza,1996
2382000.0,dza,1997
2382000.0,dza,1998
2382000.0,dza,1999
2382000.0,dza,2000
2382000.0,dza,2001
2382000.0,dza,2002
2382000.0,dza,2003
2382000.0,dza,2004
2382000.0,dza,2005
2382000.0,dza,2006
2382000.0,dza,2007
2382000.0,dza,2008
2382000.0,dza,2009
2382000.0,dza,2010
200.0,asm,1961
200.0,asm,1962
200.0,asm,1963
200.0,asm,1964
200.0,asm,1965
200.0,asm,1966
200.0,asm,1967
200.0,asm,1968
200.0,asm,1969
200.0,asm,1970
200.0,asm,1971
200.0,asm,1972
200.0,asm,1973
200.0,asm,1974
200.0,asm,1975
200.0,asm,1976
200.0,asm,1977
200.0,asm,1978
200.0,asm,1979
200.0,asm,1980
200.0,asm,1981
200.0,asm,1982
200.0,asm,1983
200.0,asm,1984
200.0,asm,1985
200.0,asm,1986
200.0,asm,1987
200.0,asm,1988
200.0,asm,1989
200.0,asm,1990
200.0,asm,1991
200.0,asm,1992
200.0,asm,1993
200.0,asm,1994
200.0,asm,1995
200.0,asm,1996
200.0,asm,1997
200.0,asm,1998
200.0,asm,1999
200.0,asm,2000
200.0,asm,2001
200.0,asm,2002
200.0,asm,2003
200.0,asm,2004
200.0,asm,2005
200.0,asm,2006
200.0,asm,2007
200.0,asm,2008
200.0,asm,2009
200.0,asm,2010
470.0,and,1961
470.0,and,1962
470.0,and,1963
470.0,and,1964
470.0,and,1965
470.0,and,1966
470.0,and,1967
470.0,and,1968
470.0,and,1969
470.0,and,1970
470.0,and,1971
470.0,and,1972
470.0,and,1973
470.0,and,1974
470.0,and,1975
470.0,and,1976
470.0,and,1977
470.0,and,1978
470.0,and,1979
470.0,and,1980
470.0,and,1981
470.0,and,1982
470.0,and,1983
470.0,and,1984
470.0,and,1985
470.0,and,1986
470.0,and,1987
470.0,and,1988
470.0,and,1989
470.0,and,1990
470.0,and,1991
470.0,and,1992
470.0,and,1993
470.0,and,1994
470.0,and,1995
470.0,and,1996
470.0,and,1997
470.0,and,1998
470.0,and,1999
470.0,and,2000
470.0,and,2001
470.0,and,2002
470.0,and,2003
470.0,and,2004
470.0,and,2005
470.0,and,2006
470.0,and,2007
470.0,and,2008
470.0,and,2009
470.0,and,2010
1247000.0,ago,1961
1247000.0,ago,1962
1247000.0,ago,1963
1247000.0,ago,1964
1247000.0,ago,1965
1247000.0,ago,1966
1247000.0,ago,1967
1247000.0,ago,1968
1247000.0,ago,1969
1247000.0,ago,1970
1247000.0,ago,1971
1247000.0,ago,1972
1247000.0,ago,1973
1247000.0,ago,1974
1247000.0,ago,1975
1247000.0,ago,1976
1247000.0,ago,1977
1247000.0,ago,1978
1247000.0,ago,1979
1247000.0,ago,1980
1247000.0,ago,1981
1247000.0,ago,1982
1247000.0,ago,1983
1247000.0,ago,1984
1247000.0,ago,1985
1247000.0,ago,1986
1247000.0,ago,1987
1247000.0,ago,1988
1247000.0,ago,1989
1247000.0,ago,1990
1247000.0,ago,1991
1247000.0,ago,1992
1247000.0,ago,1993
1247000.0,ago,1994
1247000.0,ago,1995
1247000.0,ago,1996
1247000.0,ago,1997
1247000.0,ago,1998
1247000.0,ago,1999
1247000.0,ago,2000
1247000.0,ago,2001
1247000.0,ago,2002
1247000.0,ago,2003
1247000.0,ago,2004
1247000.0,ago,2005
1247000.0,ago,2006
1247000.0,ago,2007
1247000.0,ago,2008
1247000.0,ago,2009
1247000.0,ago,2010
440.0,atg,1961
440.0,atg,1962
440.0,atg,1963
440.0,atg,1964
440.0,atg,1965
440.0,atg,1966
440.0,atg,1967
440.0,atg,1968
440.0,atg,1969
440.0,atg,1970
440.0,atg,1971
440.0,atg,1972
440.0,atg,1973
440.0,atg,1974
440.0,atg,1975
440.0,atg,1976
440.0,atg,1977
440.0,atg,1978
440.0,atg,1979
440.0,atg,1980
440.0,atg,1981
440.0,atg,1982
440.0,atg,1983
440.0,atg,1984
440.0,atg,1985
440.0,atg,1986
440.0,atg,1987
440.0,atg,1988
440.0,atg,1989
440.0,atg,1990
440.0,atg,1991
440.0,atg,1992
440.0,atg,1993
440.0,atg,1994
440.0,atg,1995
440.0,atg,1996
440.0,atg,1997
440.0,atg,1998
440.0,atg,1999
440.0,atg,2000
440.0,atg,2001
440.0,atg,2002
440.0,atg,2003
440.0,atg,2004
440.0,atg,2005
440.0,atg,2006
440.0,atg,2007
440.0,atg,2008
440.0,atg,2009
