geo,tb_with_hivplus_deaths_per_100000_estimated,time
afg,0.0,1990
afg,0.0,1991
afg,0.0,1992
afg,0.0,1993
afg,0.0,1994
afg,0.0,1995
afg,0.0,1996
afg,0.0,1997
afg,0.0,1998
afg,0.0,1999
afg,0.0,2000
afg,0.0,2001
afg,0.0,2002
afg,0.0,2003
afg,0.0,2004
afg,0.0,2005
afg,0.0,2006
afg,0.0,2007
dza,0.0,1990
dza,0.0,1991
dza,0.0,1992
dza,0.0,1993
dza,0.0,1994
dza,0.0,1995
dza,0.0,1996
dza,0.0,1997
dza,0.0,1998
dza,0.0,1999
dza,0.0,2000
dza,0.0,2001
dza,0.0,2002
dza,0.0,2003
dza,0.1,2004
dza,0.1,2005
dza,0.1,2006
dza,0.1,2007
ago,3.3,1990
ago,4.1,1991
ago,5.0,1992
ago,6.1,1993
ago,7.2,1994
ago,8.5,1995
ago,10.2,1996
ago,8.5,1997
ago,11.0,1998
ago,11.5,1999
ago,18.0,2000
ago,12.4,2001
ago,10.9,2002
ago,9.2,2003
ago,12.3,2004
ago,13.2,2005
ago,7.4,2006
ago,11.3,2007
arg,0.3,1990
arg,0.4,1991
arg,0.4,1992
arg,0.4,1993
arg,0.5,1994
arg,0.5,1995
arg,0.5,1996
arg,0.6,1997
arg,0.6,1998
arg,0.5,1999
arg,0.5,2000
arg,0.6,2001
arg,0.5,2002
arg,0.5,2003
arg,0.4,2004
arg,0.5,2005
arg,0.5,2006
arg,0.5,2007
arm,0.0,1990
arm,0.0,1991
arm,0.0,1992
arm,0.0,1993
arm,0.0,1994
arm,0.0,1995
arm,0.1,1996
arm,0.1,1997
arm,0.1,1998
arm,0.3,1999
arm,0.4,2000
arm,0.5,2001
arm,0.5,2002
arm,0.5,2003
arm,0.5,2004
arm,0.4,2005
arm,0.4,2006
arm,0.4,2007
aus,0.0,1990
aus,0.0,1991
aus,0.0,1992
aus,0.0,1993
aus,0.0,1994
aus,0.0,1995
aus,0.0,1996
aus,0.0,1997
aus,0.0,1998
aus,0.0,1999
aus,0.0,2000
aus,0.0,2001
aus,0.0,2002
aus,0.0,2003
aus,0.0,2004
aus,0.0,2005
aus,0.0,2006
aus,0.0,2007
aut,0.0,1990
aut,0.0,1991
aut,0.0,1992
aut,0.0,1993
aut,0.0,1994
aut,0.0,1995
aut,0.0,1996
aut,0.0,1997
aut,0.0,1998
aut,0.0,1999
aut,0.0,2000
aut,0.0,2001
aut,0.0,2002
aut,0.0,2003
aut,0.0,2004
aut,0.0,2005
aut,0.0,2006
aut,0.0,2007
aze,0.0,1990
aze,0.0,1991
aze,0.0,1992
aze,0.0,1993
aze,0.0,1994
aze,0.0,1995
aze,0.0,1996
aze,0.0,1997
aze,0.0,1998
aze,0.0,1999
aze,0.0,2000
aze,0.0,2001
aze,0.0,2002
aze,0.1,2003
aze,0.2,2004
aze,0.3,2005
aze,0.4,2006
aze,0.5,2007
bhs,5.5,1990
bhs,6.0,1991
bhs,6.2,1992
bhs,6.1,1993
bhs,5.9,1994
bhs,5.6,1995
bhs,5.4,1996
bhs,5.0,1997
bhs,5.2,1998
bhs,3.6,1999
bhs,3.4,2000
bhs,3.3,2001
bhs,4.2,2002
bhs,4.3,2003
bhs,4.1,2004
bhs,4.1,2005
bhs,4.1,2006
bhs,4.2,2007
bhr,0.0,1990
bhr,0.0,1991
bhr,0.0,1992
bhr,0.0,1993
bhr,0.0,1994
bhr,0.0,1995
bhr,0.0,1996
bhr,0.0,1997
bhr,0.0,1998
bhr,0.0,1999
bhr,0.0,2000
bhr,0.0,2001
bhr,0.0,2002
bhr,0.0,2003
bhr,0.0,2004
bhr,0.0,2005
bgd,0.0,1990
bgd,0.0,1991
bgd,0.0,1992
bgd,0.0,1993
bgd,0.0,1994
bgd,0.0,1995
bgd,0.0,1996
bgd,0.0,1997
bgd,0.0,1998
bgd,0.0,1999
bgd,0.0,2000
bgd,0.2,2001
bgd,0.2,2002
bgd,0.2,2003
bgd,0.3,2004
bgd,0.3,2005
bgd,0.3,2006
bgd,0.3,2007
brb,0.2,1990
brb,0.3,1991
brb,0.3,1992
brb,0.3,1993
brb,0.3,1994
brb,0.3,1995
brb,0.3,1996
brb,0.3,1997
brb,0.3,1998
brb,0.3,1999
brb,0.3,2000
brb,0.2,2001
brb,0.2,2002
brb,0.2,2003
brb,0.2,2004
brb,0.2,2005
brb,0.2,2006
brb,0.1,2007
blr,0.0,1990
blr,0.0,1991
blr,0.0,1992
blr,0.0,1993
blr,0.1,1994
blr,0.1,1995
blr,0.2,1996
blr,0.3,1997
blr,0.5,1998
blr,0.5,1999
blr,0.6,2000
blr,0.6,2001
blr,0.5,2002
blr,0.4,2003
blr,0.4,2004
blr,0.4,2005
blr,0.4,2006
blr,0.4,2007
bel,0.0,1990
bel,0.0,1991
bel,0.0,1992
bel,0.0,1993
bel,0.1,1994
bel,0.1,1995
bel,0.0,1996
bel,0.1,1997
bel,0.1,1998
bel,0.1,1999
bel,0.0,2000
bel,0.1,2001
bel,0.1,2002
bel,0.1,2003
bel,0.1,2004
bel,0.1,2005
bel,0.1,2006
bel,0.1,2007
blz,0.0,1990
blz,0.2,1991
blz,0.6,1992
blz,1.4,1993
blz,2.1,1994
blz,2.4,1995
blz,0.8,1996
blz,1.3,1997
blz,2.2,1998
blz,2.4,1999
blz,1.2,2000
blz,0.8,2001
blz,0.8,2002
blz,1.5,2003
blz,1.5,2004
blz,1.3,2005
blz,1.8,2006
blz,2.5,2007
ben,0.6,1990
ben,0.9,1991
ben,1.3,1992
ben,1.8,1993
ben,2.5,1994
ben,3.1,1995
ben,3.8,1996
ben,4.5,1997
ben,5.0,1998
ben,5.1,1999
ben,5.3,2000
ben,5.5,2001
ben,6.0,2002
ben,6.2,2003
ben,5.9,2004
ben,5.9,2005
ben,5.7,2006
ben,5.7,2007
btn,0.0,1990
btn,0.0,1991
btn,0.0,1992
btn,0.0,1993
btn,0.0,1994
btn,0.0,1995
btn,0.0,1996
btn,0.0,1997
btn,0.0,1998
btn,0.0,1999
btn,0.0,2000
btn,0.0,2001
btn,0.1,2002
btn,0.2,2003
btn,0.4,2004
btn,0.8,2005
btn,1.1,2006
btn,1.2,2007
bol,0.3,1990
bol,0.4,1991
bol,0.5,1992
bol,0.6,1993
bol,0.8,1994
bol,0.9,1995
bol,1.0,1996
bol,1.1,1997
bol,1.1,1998
bol,1.2,1999
bol,1.2,2000
bol,1.2,2001
bol,1.3,2002
bol,1.3,2003
bol,1.3,2004
bol,1.2,2005
bol,1.3,2006
bol,1.3,2007
bwa,15.0,1990
bwa,20.9,1991
bwa,26.7,1992
bwa,32.2,1993
bwa,36.9,1994
bwa,40.5,1995
bwa,41.8,1996
bwa,43.4,1997
bwa,48.8,1998
bwa,54.9,1999
bwa,61.8,2000
bwa,79.7,2001
bwa,94.3,2002
bwa,120.6,2003
bwa,127.1,2004
bwa,130.2,2005
bwa,151.9,2006
bwa,156.5,2007
bra,1.0,1990
bra,1.2,1991
bra,1.1,1992
bra,1.1,1993
bra,1.1,1994
bra,1.9,1995
bra,1.9,1996
bra,1.9,1997
bra,1.6,1998
bra,1.8,1999
bra,1.7,2000
bra,1.6,2001
bra,1.6,2002
bra,1.5,2003
bra,1.2,2004
bra,1.2,2005
bra,1.1,2006
bra,1.3,2007
brn,0.0,1990
brn,0.0,1991
brn,0.0,1992
brn,0.0,1993
brn,0.0,1994
brn,0.0,1995
brn,0.0,1996
