geo,tb_with_hivplus_existing_cases_per_100000_estimated,time
afg,0.0,1990
afg,0.0,1991
afg,0.0,1992
afg,0.0,1993
afg,0.0,1994
afg,0.0,1995
afg,0.0,1996
afg,0.0,1997
afg,0.0,1998
afg,0.0,1999
afg,0.0,2000
afg,0.0,2001
afg,0.0,2002
afg,0.0,2003
afg,0.0,2004
afg,0.0,2005
afg,0.0,2006
afg,0.0,2007
alb,0.0,1995
alb,0.0,1996
alb,0.0,1997
alb,0.0,1998
alb,0.0,1999
alb,0.0,2000
alb,0.0,2001
alb,0.0,2002
alb,0.0,2003
alb,0.0,2004
alb,0.0,2005
alb,0.0,2006
dza,0.0,1990
dza,0.0,1991
dza,0.0,1992
dza,0.0,1993
dza,0.0,1994
dza,0.0,1995
dza,0.0,1996
dza,0.1,1997
dza,0.1,1998
dza,0.2,1999
dza,0.2,2000
dza,0.3,2001
dza,0.4,2002
dza,0.5,2003
dza,0.5,2004
dza,0.6,2005
dza,0.6,2006
dza,0.6,2007
asm,0.0,1995
asm,0.0,1996
asm,0.0,1997
asm,0.0,1998
asm,0.0,1999
asm,0.0,2000
asm,0.0,2001
asm,0.0,2002
asm,0.0,2003
asm,0.0,2004
asm,0.0,2005
asm,0.0,2006
and,0.0,1995
and,0.0,1996
and,0.0,1997
and,0.0,1998
and,0.0,1999
and,0.0,2000
and,0.0,2001
and,0.0,2002
and,0.0,2003
and,0.0,2004
and,0.0,2005
and,0.0,2006
ago,2.8,1990
ago,3.6,1991
ago,4.4,1992
ago,5.4,1993
ago,6.6,1994
ago,8.0,1995
ago,9.5,1996
ago,11.2,1997
ago,12.9,1998
ago,14.8,1999
ago,16.8,2000
ago,18.6,2001
ago,20.3,2002
ago,21.9,2003
ago,23.4,2004
ago,24.6,2005
ago,25.7,2006
ago,26.7,2007
aia,0.0,1995
aia,0.0,1996
aia,0.0,1997
aia,0.0,1998
aia,0.0,1999
aia,0.0,2000
aia,0.0,2001
aia,0.0,2002
aia,0.0,2003
aia,0.0,2004
aia,0.0,2005
aia,0.0,2006
atg,0.0,1995
atg,0.0,1996
atg,0.0,1997
atg,0.0,1998
atg,0.0,1999
atg,0.0,2000
atg,0.0,2001
atg,0.0,2002
atg,0.0,2003
atg,0.0,2004
atg,0.0,2005
atg,0.0,2006
arg,0.7,1990
arg,0.8,1991
arg,0.9,1992
arg,1.0,1993
arg,1.1,1994
arg,1.2,1995
arg,1.3,1996
arg,1.3,1997
arg,1.3,1998
arg,1.4,1999
arg,1.3,2000
arg,1.3,2001
arg,1.3,2002
arg,1.3,2003
arg,1.3,2004
arg,1.2,2005
arg,1.2,2006
arg,1.2,2007
arm,0.0,1990
arm,0.0,1991
arm,0.0,1992
arm,0.0,1993
arm,0.0,1994
arm,0.1,1995
arm,0.1,1996
arm,0.2,1997
arm,0.3,1998
arm,0.5,1999
arm,0.6,2000
arm,0.8,2001
arm,0.9,2002
arm,0.9,2003
arm,1.0,2004
arm,1.0,2005
arm,1.0,2006
arm,1.0,2007
aus,0.0,1990
aus,0.0,1991
aus,0.0,1992
aus,0.0,1993
aus,0.1,1994
aus,0.1,1995
aus,0.1,1996
aus,0.1,1997
aus,0.1,1998
aus,0.1,1999
aus,0.1,2000
aus,0.1,2001
aus,0.1,2002
aus,0.1,2003
aus,0.1,2004
aus,0.1,2005
aus,0.1,2006
aus,0.1,2007
aut,0.0,1990
aut,0.0,1991
aut,0.1,1992
aut,0.1,1993
aut,0.1,1994
aut,0.1,1995
aut,0.1,1996
aut,0.1,1997
aut,0.1,1998
aut,0.1,1999
aut,0.1,2000
aut,0.1,2001
aut,0.1,2002
aut,0.1,2003
aut,0.2,2004
aut,0.2,2005
aut,0.2,2006
aut,0.2,2007
aze,0.0,1990
aze,0.0,1991
aze,0.0,1992
aze,0.0,1993
aze,0.0,1994
aze,0.0,1995
aze,0.0,1996
aze,0.0,1997
aze,0.0,1998
aze,0.0,1999
aze,0.0,2000
aze,0.0,2001
aze,0.1,2002
aze,0.2,2003
aze,0.6,2004
aze,0.9,2005
aze,1.2,2006
aze,1.3,2007
bhs,7.3,1990
bhs,8.0,1991
bhs,8.2,1992
bhs,8.0,1993
bhs,7.7,1994
bhs,7.4,1995
bhs,7.2,1996
bhs,7.0,1997
bhs,6.8,1998
bhs,6.7,1999
bhs,6.6,2000
bhs,6.5,2001
bhs,6.5,2002
bhs,6.5,2003
bhs,6.5,2004
bhs,6.5,2005
bhs,6.5,2006
bhs,6.5,2007
bhr,0.0,1990
bhr,0.0,1991
bhr,0.0,1992
bhr,0.0,1993
bhr,0.0,1994
bhr,0.0,1995
bhr,0.0,1996
bhr,0.0,1997
bhr,0.0,1998
bhr,0.0,1999
bhr,0.0,2000
bhr,0.0,2001
bhr,0.0,2002
bhr,0.0,2003
bhr,0.0,2004
bhr,0.0,2005
bhr,0.0,2006
bgd,0.0,1990
bgd,0.0,1991
bgd,0.0,1992
bgd,0.0,1993
bgd,0.0,1994
bgd,0.0,1995
bgd,0.0,1996
bgd,0.0,1997
bgd,0.0,1998
bgd,0.0,1999
bgd,0.0,2000
bgd,0.2,2001
bgd,0.2,2002
bgd,0.2,2003
bgd,0.3,2004
bgd,0.3,2005
bgd,0.3,2006
bgd,0.3,2007
brb,0.3,1990
brb,0.3,1991
brb,0.4,1992
brb,0.4,1993
brb,0.4,1994
brb,0.4,1995
brb,0.4,1996
brb,0.4,1997
brb,0.4,1998
brb,0.4,1999
brb,0.4,2000
brb,0.3,2001
brb,0.3,2002
brb,0.3,2003
brb,0.3,2004
brb,0.3,2005
brb,0.3,2006
brb,0.3,2007
blr,0.0,1990
blr,0.0,1991
blr,0.0,1992
blr,0.1,1993
blr,0.2,1994
blr,0.3,1995
blr,0.5,1996
blr,0.7,1997
blr,0.9,1998
blr,1.1,1999
blr,1.1,2000
blr,1.1,2001
blr,1.0,2002
blr,1.0,2003
blr,1.1,2004
blr,1.1,2005
blr,1.1,2006
blr,1.1,2007
bel,0.1,1990
bel,0.2,1991
bel,0.2,1992
bel,0.2,1993
bel,0.2,1994
bel,0.2,1995
bel,0.2,1996
bel,0.2,1997
bel,0.2,1998
bel,0.2,1999
bel,0.2,2000
bel,0.3,2001
bel,0.2,2002
bel,0.2,2003
bel,0.2,2004
bel,0.2,2005
bel,0.2,2006
bel,0.2,2007
blz,0.1,1990
blz,0.2,1991
blz,0.8,1992
blz,1.9,1993
blz,2.9,1994
blz,3.4,1995
blz,3.6,1996
blz,3.7,1997
blz,3.7,1998
blz,3.8,1999
blz,3.8,2000
blz,3.9,2001
blz,3.9,2002
blz,4.0,2003
blz,4.0,2004
blz,4.1,2005
blz,4.1,2006
blz,4.2,2007
ben,0.7,1990
ben,1.0,1991
ben,1.5,1992
ben,2.2,1993
ben,3.0,1994
ben,3.8,1995
ben,4.6,1996
ben,5.3,1997
ben,5.8,1998
ben,6.2,1999
ben,6.5,2000
ben,6.7,2001
ben,6.9,2002
ben,7.0,2003
ben,7.0,2004
ben,7.1,2005
ben,7.1,2006
ben,7.2,2007
bmu,0.0,1995
bmu,0.0,1996
bmu,0.0,1997
bmu,0.0,1998
bmu,0.0,1999
bmu,0.0,2000
bmu,0.0,2001
bmu,0.0,2002
bmu,0.0,2003
bmu,0.0,2004
bmu,0.0,2005
bmu,0.0,2006
btn,0.0,1990
btn,0.0,1991
btn,0.0,1992
btn,0.0,1993
btn,0.0,1994
btn,0.0,1995
btn,0.0,1996
