geo,tetanus_deaths_in_newborn_total_deaths,time
afg,2761,2008
alb,2,2008
dza,184,2008
ago,653,2008
arg,0,2008
arm,0,2008
aus,0,2008
aut,0,2008
aze,7,2008
bhs,0,2008
bhr,0,2008
bgd,2644,2008
brb,0,2008
blr,0,2008
bel,0,2008
blz,0,2008
ben,188,2008
btn,9,2008
bol,51,2008
bih,0,2008
bwa,5,2008
bra,210,2008
brn,0,2008
bgr,0,2008
bfa,1248,2008
bdi,254,2008
khm,121,2008
cmr,185,2008
can,0,2008
cpv,3,2008
caf,86,2008
tcd,1899,2008
chl,0,2008
chn,0,2008
col,83,2008
com,6,2008
cog,19,2008
cri,0,2008
civ,319,2008
hrv,0,2008
cub,0,2008
cyp,0,2008
cze,0,2008
prk,16,2008
cod,1017,2008
dnk,0,2008
dji,8,2008
dom,17,2008
ecu,31,2008
egy,518,2008
slv,12,2008
gnq,7,2008
eri,101,2008
est,0,2008
eth,4883,2008
fji,1,2008
fin,0,2008
fra,0,2008
gab,9,2008
gmb,36,2008
geo,2,2008
deu,0,2008
gha,242,2008
grc,0,2008
grd,0,2008
gtm,227,2008
gin,326,2008
gnb,31,2008
guy,1,2008
hti,437,2008
hnd,20,2008
hun,0,2008
isl,0,2008
ind,11710,2008
idn,642,2008
irn,170,2008
irq,345,2008
irl,0,2008
isr,0,2008
ita,0,2008
jam,9,2008
jpn,0,2008
jor,11,2008
kaz,0,2008
ken,437,2008
kwt,0,2008
kgz,4,2008
lao,264,2008
lva,0,2008
lbn,0,2008
lso,9,2008
lbr,77,2008
lby,0,2008
ltu,0,2008
lux,0,2008
mdg,264,2008
mwi,188,2008
mys,42,2008
mdv,0,2008
mli,566,2008
mlt,0,2008
mrt,83,2008
mus,0,2008
mex,79,2008
fsm,0,2008
mng,0,2008
mne,0,2008
mar,276,2008
moz,775,2008
mmr,112,2008
nam,7,2008
npl,403,2008
nld,0,2008
nzl,0,2008
nic,25,2008
ner,1894,2008
nga,8600,2008
nor,0,2008
omn,7,2008
pak,5589,2008
pan,0,2008
png,153,2008
pry,19,2008
per,131,2008
phl,583,2008
pol,0,2008
prt,0,2008
qat,0,2008
kor,0,2008
mda,0,2008
rou,0,2008
rus,0,2008
rwa,158,2008
lca,0,2008
vct,0,2008
wsm,0,2008
stp,2,2008
sau,0,2008
sen,336,2008
srb,0,2008
sle,168,2008
sgp,0,2008
svk,0,2008
svn,0,2008
slb,2,2008
som,2067,2008
zaf,139,2008
esp,0,2008
lka,21,2008
sdn,538,2008
sur,0,2008
swz,5,2008
swe,0,2008
che,0,2008
syr,60,2008
tjk,22,2008
tha,53,2008
mkd,0,2008
tgo,121,2008
ton,0,2008
tto,0,2008
tun,17,2008
tur,234,2008
tkm,11,2008
uga,504,2008
ukr,0,2008
are,0,2008
gbr,0,2008
tza,557,2008
usa,0,2008
ury,0,2008
uzb,24,2008
vut,1,2008
ven,65,2008
vnm,134,2008
yem,1370,2008
zmb,114,2008
zwe,59,2008
