geo,total_gdp_us_inflation_adjusted,time
alb,2833000000,1980
alb,2996000000,1981
alb,3085000000,1982
alb,3119000000,1983
alb,3080000000,1984
alb,3134000000,1985
alb,3311000000,1986
alb,3285000000,1987
alb,3238000000,1988
alb,3557000000,1989
alb,3216000000,1990
alb,2265000000,1991
alb,2102000000,1992
alb,2303000000,1993
alb,2495000000,1994
alb,2826000000,1995
alb,3084000000,1996
alb,2769000000,1997
alb,3121000000,1998
alb,3436000000,1999
alb,3687000000,2000
alb,3945000000,2001
alb,4059000000,2002
alb,4290000000,2003
alb,4544000000,2004
alb,4794000000,2005
alb,5033000000,2006
alb,5330000000,2007
alb,5741000000,2008
alb,5930000000,2009
alb,6138000000,2010
alb,6322000000,2011
dza,13830000000,1960
dza,11950000000,1961
dza,9595000000,1962
dza,12890000000,1963
dza,13640000000,1964
dza,14490000000,1965
dza,13790000000,1966
dza,15090000000,1967
dza,16720000000,1968
dza,18130000000,1969
dza,19740000000,1970
dza,17500000000,1971
dza,22300000000,1972
dza,23160000000,1973
dza,24890000000,1974
dza,26150000000,1975
dza,28340000000,1976
dza,29830000000,1977
dza,32580000000,1978
dza,35010000000,1979
dza,35290000000,1980
dza,36350000000,1981
dza,38680000000,1982
dza,40760000000,1983
dza,43050000000,1984
dza,44640000000,1985
dza,44820000000,1986
dza,44510000000,1987
dza,44060000000,1988
dza,46000000000,1989
dza,46370000000,1990
dza,45810000000,1991
dza,46640000000,1992
dza,45660000000,1993
dza,45240000000,1994
dza,46960000000,1995
dza,48890000000,1996
dza,49430000000,1997
dza,51950000000,1998
dza,53610000000,1999
dza,54790000000,2000
dza,56210000000,2001
dza,58860000000,2002
dza,62920000000,2003
dza,66190000000,2004
dza,69570000000,2005
dza,70960000000,2006
dza,73090000000,2007
dza,74840000000,2008
dza,76640000000,2009
dza,79160000000,2010
dza,81140000000,2011
and,444800000,1970
and,465500000,1971
and,503400000,1972
and,542600000,1973
and,573100000,1974
and,576200000,1975
and,595300000,1976
and,612100000,1977
and,621100000,1978
and,621400000,1979
and,635100000,1980
and,634200000,1981
and,642200000,1982
and,653500000,1983
and,665200000,1984
and,680600000,1985
and,702800000,1986
and,741700000,1987
and,779500000,1988
and,817200000,1989
and,848100000,1990
and,869700000,1991
and,877700000,1992
and,868700000,1993
and,889400000,1994
and,913900000,1995
and,956400000,1996
and,1043000000,1997
