geo,total_health_spending_per_person_international_dollar,time
afg,22.11,2002
afg,29.68,2003
afg,32.12,2004
afg,35.58,2005
afg,36.17,2006
afg,40.36,2007
afg,38.26,2008
afg,45.57,2009
afg,44.47,2010
alb,105.9,1995
alb,145.9,1996
alb,156.1,1997
alb,183.8,1998
alb,225.3,1999
alb,266.4,2000
alb,279.1,2001
alb,303.1,2002
alb,326.0,2003
alb,379.8,2004
alb,406.9,2005
alb,450.9,2006
alb,493.9,2007
alb,557.4,2008
alb,591.5,2009
alb,577.3,2010
dza,192.2,1995
dza,180.4,1996
dza,196.1,1997
dza,206.1,1998
dza,202.6,1999
dza,188.1,2000
dza,212.2,2001
dza,225.2,2002
dza,234.9,2003
dza,227.2,2004
dza,221.5,2005
dza,232.8,2006
dza,273.1,2007
dza,299.4,2008
dza,364.5,2009
dza,330.0,2010
and,1469.0,1995
and,1596.0,1996
and,1786.0,1997
and,2320.0,1998
and,1825.0,1999
and,1967.0,2000
and,1954.0,2001
and,2153.0,2002
and,2225.0,2003
and,2328.0,2004
and,2476.0,2005
and,2850.0,2006
and,3023.0,2007
and,3218.0,2008
and,3403.0,2009
and,3255.0,2010
ago,68.57,1995
ago,43.05,1996
ago,48.13,1997
ago,41.65,1998
ago,44.32,1999
ago,56.25,2000
ago,82.24,2001
ago,63.36,2002
ago,72.09,2003
ago,62.97,2004
ago,71.33,2005
ago,104.3,2006
ago,130.9,2007
ago,190.8,2008
ago,297.3,2009
ago,168.1,2010
atg,501.8,1995
atg,502.3,1996
atg,527.2,1997
atg,543.9,1998
atg,565.3,1999
atg,584.7,2000
atg,579.8,2001
atg,595.3,2002
atg,641.5,2003
atg,689.3,2004
atg,734.3,2005
atg,815.2,2006
atg,896.0,2007
atg,886.9,2008
atg,872.5,2009
atg,990.6,2010
arg,648.1,1995
arg,663.9,1996
arg,753.1,1997
arg,800.2,1998
arg,850.0,1999
arg,839.3,2000
arg,829.9,2001
arg,658.0,2002
arg,724.2,2003
arg,806.3,2004
arg,915.8,2005
arg,1017.0,2006
arg,1125.0,2007
