geo,total_health_spending_per_person_us,time
afg,14.82,2002
afg,18.31,2003
afg,20.67,2004
afg,21.86,2005
afg,23.82,2006
afg,28.81,2007
afg,31.81,2008
afg,33.71,2009
afg,37.67,2010
alb,27.91,1995
alb,43.05,1996
alb,36.14,1997
alb,47.1,1998
alb,65.02,1999
alb,75.24,2000
alb,79.86,2001
alb,90.26,2002
alb,113.0,2003
alb,160.9,2004
alb,177.6,2005
alb,191.8,2006
alb,232.2,2007
alb,275.1,2008
alb,259.6,2009
alb,240.8,2010
dza,62.06,1995
dza,61.77,1996
dza,66.89,1997
dza,65.98,1998
dza,62.52,1999
dza,62.61,2000
dza,67.81,2001
dza,69.92,2002
dza,79.62,2003
dza,88.99,2004
dza,96.15,2005
dza,109.8,2006
dza,140.9,2007
dza,185.8,2008
dza,180.5,2009
dza,178.2,2010
and,1392.0,1995
and,1507.0,1996
and,1460.0,1997
and,1858.0,1998
and,1425.0,1999
and,1330.0,2000
and,1294.0,2001
and,1486.0,2002
and,1891.0,2003
and,2193.0,2004
and,2356.0,2005
and,2631.0,2006
and,3012.0,2007
and,3391.0,2008
and,3364.0,2009
and,3099.0,2010
ago,15.57,1995
ago,11.34,1996
ago,13.52,1997
ago,9.102,1998
ago,8.825,1999
ago,15.79,2000
ago,21.43,2001
ago,18.15,2002
ago,23.89,2003
ago,25.86,2004
ago,36.41,2005
ago,64.12,2006
ago,85.29,2007
ago,148.9,2008
ago,201.3,2009
ago,123.2,2010
atg,350.7,1995
atg,353.8,1996
atg,372.3,1997
atg,387.9,1998
atg,401.2,1999
atg,407.8,2000
atg,405.6,2001
atg,409.6,2002
atg,434.0,2003
atg,458.7,2004
atg,482.5,2005
atg,534.1,2006
atg,597.5,2007
atg,601.9,2008
atg,600.8,2009
atg,689.7,2010
arg,615.3,1995
arg,618.9,1996
arg,685.7,1997
arg,706.2,1998
arg,725.7,1999
arg,708.7,2000
arg,677.7,2001
arg,225.4,2002
arg,283.3,2003
arg,332.4,2004
arg,400.3,2005
arg,464.2,2006
arg,562.4,2007
arg,698.5,2008
arg,734.1,2009
arg,741.8,2010
arm,25.74,1995
arm,29.26,1996
arm,30.28,1997
arm,35.16,1998
arm,34.03,1999
arm,38.98,2000
arm,41.14,2001
arm,41.99,2002
arm,51.04,2003
arm,64.13,2004
arm,77.69,2005
arm,86.87,2006
arm,116.3,2007
arm,142.7,2008
arm,128.8,2009
arm,133.5,2010
aus,1565.0,1995
aus,1760.0,1996
aus,1761.0,1997
aus,1587.0,1998
aus,1745.0,1999
aus,1713.0,2000
aus,1632.0,2001
aus,1847.0,2002
aus,2323.0,2003
aus,2872.0,2004
aus,3136.0,2005
aus,3330.0,2006
aus,3956.0,2007
aus,4229.0,2008
aus,3945.0,2009
aus,4775.0,2010
aut,2856.0,1995
aut,2789.0,1996
aut,2550.0,1997
aut,2655.0,1998
aut,2670.0,1999
aut,2374.0,2000
aut,2385.0,2001
aut,2577.0,2002
aut,3195.0,2003
aut,3683.0,2004
aut,3831.0,2005
aut,4001.0,2006
aut,4604.0,2007
aut,5153.0,2008
aut,5035.0,2009
aut,4958.0,2010
aze,18.24,1995
aze,25.12,1996
aze,27.48,1997
aze,30.6,1998
aze,30.76,1999
aze,30.4,2000
aze,31.2,2001
aze,33.64,2002
aze,56.92,2003
aze,80.89,2004
aze,120.3,2005
aze,146.8,2006
aze,187.4,2007
aze,233.9,2008
aze,282.7,2009
aze,331.5,2010
bhs,839.6,1995
bhs,879.9,1996
bhs,947.7,1997
bhs,1019.0,1998
bhs,1062.0,1999
bhs,1098.0,2000
bhs,1103.0,2001
bhs,1181.0,2002
bhs,1248.0,2003
bhs,1342.0,2004
bhs,1434.0,2005
bhs,1704.0,2006
bhs,1790.0,2007
bhs,1833.0,2008
bhs,1741.0,2009
bhs,1735.0,2010
bhr,481.9,1995
bhr,485.8,1996
bhr,504.2,1997
bhr,479.3,1998
bhr,496.0,1999
bhr,496.7,2000
bhr,528.3,2001
bhr,580.2,2002
bhr,639.5,2003
bhr,660.5,2004
bhr,688.2,2005
bhr,692.6,2006
bhr,725.3,2007
bhr,793.5,2008
bhr,770.6,2009
bhr,864.1,2010
brb,450.1,1995
brb,465.0,1996
brb,493.9,1997
brb,530.2,1998
brb,569.0,1999
brb,601.2,2000
brb,635.0,2001
brb,670.9,2002
brb,695.8,2003
brb,731.5,2004
brb,773.5,2005
brb,837.6,2006
brb,874.5,2007
brb,958.2,2008
brb,842.7,2009
brb,1003.0,2010
blr,69.13,1995
blr,88.26,1996
blr,91.08,1997
blr,89.27,1998
blr,74.02,1999
blr,63.48,2000
blr,81.77,2001
blr,94.78,2002
blr,118.4,2003
