geo,total_population_with_projections,time
afg,3280000,1800
afg,3280000,1820
afg,4207000,1870
afg,5730000,1913
afg,8151000,1950
afg,8277000,1951
afg,8407000,1952
afg,8543000,1953
afg,8684000,1954
afg,8832000,1955
afg,8986000,1956
afg,9147000,1957
afg,9315000,1958
afg,9489000,1959
afg,9671000,1960
afg,9860000,1961
afg,10060000,1962
afg,10260000,1963
afg,10470000,1964
afg,10700000,1965
afg,10930000,1966
afg,11160000,1967
afg,11410000,1968
afg,11680000,1969
afg,11960000,1970
afg,12270000,1971
afg,12590000,1972
afg,12920000,1973
afg,13220000,1974
afg,13510000,1975
afg,13770000,1976
afg,14000000,1977
afg,14180000,1978
afg,14250000,1979
afg,14190000,1980
afg,13980000,1981
afg,13670000,1982
afg,13300000,1983
afg,12930000,1984
afg,12630000,1985
afg,12370000,1986
afg,12180000,1987
afg,12160000,1988
afg,12410000,1989
afg,13030000,1990
afg,14070000,1991
afg,15470000,1992
afg,17050000,1993
afg,18550000,1994
afg,19790000,1995
afg,20680000,1996
afg,21300000,1997
afg,21750000,1998
afg,22230000,1999
afg,22860000,2000
afg,23680000,2001
afg,24640000,2002
afg,25680000,2003
afg,26690000,2004
afg,27610000,2005
afg,28420000,2006
afg,29150000,2007
afg,29840000,2008
afg,30580000,2009
afg,31410000,2010
afg,32360000,2011
afg,33400000,2012
afg,34500000,2013
afg,76250000,2050
afg,110900000,2100
akr_a_dhe,3710,1800
akr_a_dhe,15700,2005
akr_a_dhe,15700,2008
alb,200000,1600
alb,300000,1700
alb,410400,1800
alb,437000,1820
alb,500000,1850
alb,603000,1870
alb,726000,1890
alb,800000,1900
alb,874000,1910
alb,898000,1913
alb,932000,1920
alb,937000,1921
alb,942000,1922
alb,947000,1923
alb,952000,1924
alb,956000,1925
alb,962000,1926
alb,967000,1927
alb,972000,1928
alb,977000,1929
alb,982000,1930
alb,988000,1931
alb,993000,1932
alb,998000,1933
alb,1003000,1934
alb,1009000,1935
alb,1014000,1936
alb,1030000,1937
alb,1040000,1938
alb,1070000,1939
alb,1088000,1940
alb,1100000,1941
alb,1117000,1942
alb,1119000,1943
alb,1122000,1944
alb,1138000,1945
alb,1154000,1946
alb,1175000,1947
alb,1192000,1948
alb,1209000,1949
alb,1215000,1950
alb,1240000,1951
alb,1269000,1952
alb,1303000,1953
alb,1339000,1954
alb,1379000,1955
alb,1421000,1956
alb,1466000,1957
alb,1513000,1958
alb,1561000,1959
alb,1611000,1960
alb,1661000,1961
alb,1713000,1962
alb,1765000,1963
alb,1817000,1964
alb,1870000,1965
alb,1923000,1966
alb,1976000,1967
alb,2029000,1968
alb,2082000,1969
alb,2136000,1970
alb,2189000,1971
alb,2242000,1972
alb,2295000,1973
alb,2348000,1974
alb,2401000,1975
alb,2454000,1976
alb,2508000,1977
alb,2562000,1978
alb,2617000,1979
alb,2671000,1980
alb,2725000,1981
alb,2778000,1982
alb,2832000,1983
alb,2891000,1984
alb,2957000,1985
alb,3033000,1986
alb,3116000,1987
alb,3195000,1988
alb,3256000,1989
alb,3289000,1990
alb,3292000,1991
alb,3267000,1992
alb,3225000,1993
alb,3179000,1994
alb,3141000,1995
alb,3113000,1996
alb,3092000,1997
alb,3079000,1998
alb,3073000,1999
alb,3072000,2000
alb,3077000,2001
alb,3090000,2002
alb,3107000,2003
alb,3125000,2004
alb,3142000,2005
alb,3157000,2006
alb,3170000,2007
alb,3181000,2008
alb,3193000,2009
alb,3204000,2010
alb,3216000,2011
alb,3227000,2012
alb,3238000,2013
alb,2990000,2050
alb,1863000,2100
dza,2250000,1600
dza,1750000,1700
dza,2503000,1800
dza,2689000,1820
dza,3776000,1870
dza,5497000,1913
dza,8753000,1950
dza,8953000,1951
dza,9141000,1952
dza,9326000,1953
dza,9516000,1954
dza,9715000,1955
dza,9924000,1956
dza,10140000,1957
dza,10360000,1958
dza,10590000,1959
dza,10800000,1960
dza,11010000,1961
dza,11210000,1962
dza,11420000,1963
dza,11650000,1964
dza,11920000,1965
dza,12230000,1966
dza,12570000,1967
dza,12950000,1968
dza,13340000,1969
dza,13750000,1970
dza,14170000,1971
dza,14600000,1972
dza,15050000,1973
dza,15520000,1974
dza,16020000,1975
dza,16530000,1976
dza,17070000,1977
dza,17620000,1978
dza,18210000,1979
dza,18810000,1980
dza,19440000,1981
dza,20100000,1982
dza,20760000,1983
dza,21430000,1984
dza,22100000,1985
dza,22750000,1986
dza,23400000,1987
dza,24040000,1988
dza,24670000,1989
dza,25300000,1990
dza,25930000,1991
dza,26560000,1992
dza,27170000,1993
dza,27750000,1994
dza,28290000,1995
dza,28790000,1996
dza,29240000,1997
dza,29670000,1998
