total_reserves_percent_of_debt_to_foreigners,geo,time
21.18,alb,1993
25.32,alb,1994
57.82,alb,1995
65.23,alb,1996
65.59,alb,1997
65.69,alb,1998
72.84,alb,1999
60.42,alb,2000
69.8,alb,2001
76.9,alb,2002
69.54,alb,2003
89.18,alb,2004
70.07,alb,2005
74.84,alb,2006
75.75,alb,2007
60.55,alb,2008
50.48,alb,2009
53.65,alb,2010
37.49,dza,1970
42.62,dza,1971
41.31,dza,1972
51.02,dza,1973
73.52,dza,1974
40.92,dza,1975
40.92,dza,1976
24.44,dza,1977
20.53,dza,1978
29.81,dza,1979
36.48,dza,1980
32.2,dza,1981
28.19,dza,1982
24.5,dza,1983
20.05,dza,1984
25.44,dza,1985
16.97,dza,1986
17.79,dza,1987
12.23,dza,1988
11.33,dza,1989
9.605,dza,1990
12.15,dza,1991
12.13,dza,1992
13.91,dza,1993
15.92,dza,1994
12.6,dza,1995
18.71,dza,1996
31.28,dza,1997
27.54,dza,1998
21.95,dza,1999
53.4,dza,2000
86.95,dza,2001
110.2,dza,2002
150.6,dza,2003
206.0,dza,2004
350.7,dza,2005
1424.0,dza,2006
1946.0,dza,2007
2496.0,dza,2008
2860.0,dza,2009
3231.0,dza,2010
1.851,ago,1995
5.231,ago,1996
3.985,ago,1997
1.887,ago,1998
4.817,ago,1999
12.74,ago,2000
8.678,ago,2001
4.297,ago,2002
7.294,ago,2003
14.68,ago,2004
27.01,ago,2005
90.77,ago,2006
97.43,ago,2007
118.3,ago,2008
82.23,ago,2009
106.4,ago,2010
11.74,arg,1970
4.868,arg,1971
8.452,arg,1972
22.11,arg,1973
24.77,arg,1974
10.98,arg,1975
21.38,arg,1976
33.59,arg,1977
44.69,arg,1978
55.5,arg,1979
34.23,arg,1980
14.05,arg,1981
10.33,arg,1982
6.185,arg,1983
5.302,arg,1984
9.231,arg,1985
8.441,arg,1986
6.387,arg,1987
8.766,arg,1988
4.93,arg,1989
9.998,arg,1990
11.41,arg,1991
16.75,arg,1992
24.06,arg,1993
21.39,arg,1994
16.23,arg,1995
17.75,arg,1996
17.72,arg,1997
17.78,arg,1998
18.78,arg,1999
17.85,arg,2000
9.795,arg,2001
7.241,arg,2002
8.833,arg,2003
12.11,arg,2004
22.48,arg,2005
27.64,arg,2006
39.34,arg,2007
39.01,arg,2008
39.91,arg,2009
40.84,arg,2010
10.15,arm,1993
16.85,arm,1994
30.0,arm,1995
32.31,arm,1996
37.47,arm,1997
36.45,arm,1998
33.66,arm,1999
34.29,arm,2000
25.53,arm,2001
27.07,arm,2002
26.94,arm,2003
27.81,arm,2004
36.34,arm,2005
53.49,arm,2006
57.25,arm,2007
41.31,arm,2008
41.01,arm,2009
30.57,arm,2010
1.66,aze,1993
1.803,aze,1994
37.66,aze,1995
48.75,aze,1996
91.98,aze,1997
63.48,aze,1998
62.38,aze,1999
49.09,aze,2000
54.85,aze,2001
48.66,aze,2002
46.85,aze,2003
58.23,aze,2004
60.68,aze,2005
100.3,aze,2006
121.3,aze,2007
151.7,aze,2008
118.4,aze,2009
91.9,aze,2010
184.6,bgd,1972
28.76,bgd,1973
10.99,bgd,1974
8.823,bgd,1975
14.49,bgd,1976
10.36,bgd,1977
11.39,bgd,1978
13.94,bgd,1979
8.71,bgd,1980
3.794,bgd,1981
4.221,bgd,1982
10.21,bgd,1983
7.364,bgd,1984
5.455,bgd,1985
5.495,bgd,1986
8.999,bgd,1987
10.48,bgd,1988
4.974,bgd,1989
5.369,bgd,1990
10.07,bgd,1991
13.81,bgd,1992
17.33,bgd,1993
20.51,bgd,1994
15.11,bgd,1995
12.33,bgd,1996
11.3,bgd,1997
12.49,bgd,1998
9.978,bgd,1999
9.757,bgd,2000
8.783,bgd,2001
10.39,bgd,2002
14.33,bgd,2003
16.45,bgd,2004
15.37,bgd,2005
19.35,bgd,2006
24.78,bgd,2007
25.29,bgd,2008
43.45,bgd,2009
44.77,bgd,2010
7.789,blr,1994
22.25,blr,1995
23.94,blr,1996
18.9,blr,1997
29.43,blr,1998
13.01,blr,1999
16.38,blr,2000
16.73,blr,2001
23.72,blr,2002
19.7,blr,2003
20.77,blr,2004
28.33,blr,2005
25.91,blr,2006
40.41,blr,2007
24.97,blr,2008
32.25,blr,2009
19.53,blr,2010
59.9,blz,1976
38.8,blz,1977
42.09,blz,1978
14.59,blz,1979
20.13,blz,1980
17.18,blz,1981
14.11,blz,1982
9.252,blz,1983
6.152,blz,1984
12.55,blz,1985
22.08,blz,1986
26.55,blz,1987
39.06,blz,1988
43.65,blz,1989
48.89,blz,1990
32.77,blz,1991
29.26,blz,1992
19.92,blz,1993
17.38,blz,1994
14.74,blz,1995
20.74,blz,1996
13.2,blz,1997
13.08,blz,1998
18.02,blz,1999
19.98,blz,2000
15.64,blz,2001
13.34,blz,2002
7.906,blz,2003
4.973,blz,2004
6.99,blz,2005
10.87,blz,2006
10.24,blz,2007
15.92,blz,2008
19.96,blz,2009
