trade_balance_percent_of_gdp,geo,time
-2.893,afg,1960
-3.644,afg,1961
-4.472,afg,1962
-7.692,afg,1963
-9.167,afg,1964
-10.15,afg,1965
-10.0,afg,1966
-7.437,afg,1967
-6.311,afg,1968
-4.89,afg,1969
-2.16,afg,1970
-5.218,afg,1971
-3.343,afg,1972
-1.795,afg,1973
-0.8247,afg,1974
-1.596,afg,1975
-1.652,afg,1976
-3.16,afg,1977
-3.03,afg,1978
-31.04,afg,2002
-48.9,afg,2003
-47.31,afg,2004
-46.06,afg,2005
-43.52,afg,2006
-40.98,afg,2007
-32.09,afg,2008
-42.89,afg,2009
-38.08,afg,2010
0.4061,alb,1980
1.468,alb,1981
-4.503,alb,1982
-2.612,alb,1983
-1.964,alb,1984
-2.214,alb,1985
-0.41,alb,1986
-0.09621,alb,1987
-2.836,alb,1988
-2.778,alb,1989
-8.327,alb,1990
-20.37,alb,1991
-77.02,alb,1992
-46.87,alb,1993
-27.6,alb,1994
-22.04,alb,1995
-22.91,alb,1996
-26.27,alb,1997
-23.61,alb,1998
-14.74,alb,1999
-18.35,alb,2000
-18.19,alb,2001
-26.3,alb,2002
-25.25,alb,2003
-21.76,alb,2004
-24.05,alb,2005
-24.06,alb,2006
-26.19,alb,2007
-26.61,alb,2008
-25.64,alb,2009
-21.98,alb,2010
-28.1,dza,1960
-21.26,dza,1961
-1.025,dza,1962
-12.14,dza,1963
-4.356,dza,1964
-3.229,dza,1965
1.333,dza,1966
1.803,dza,1967
-1.052,dza,1968
-4.282,dza,1969
-7.08,dza,1970
-9.221,dza,1971
-5.277,dza,1972
-6.086,dza,1973
3.259,dza,1974
-9.277,dza,1975
-4.064,dza,1976
-11.15,dza,1977
-14.63,dza,1978
-1.717,dza,1979
4.0,dza,1980
3.71,dza,1981
1.927,dza,1982
2.139,dza,1983
-1.756,dza,1984
-3.158,dza,1985
-10.32,dza,1986
-4.14,dza,1987
-7.096,dza,1988
-9.875,dza,1989
-1.493,dza,1990
5.518,dza,1991
1.45,dza,1992
-1.355,dza,1993
-3.523,dza,1994
-2.801,dza,1995
5.816,dza,1996
9.569,dza,1997
0.06226,dza,1998
3.125,dza,1999
19.82,dza,2000
14.65,dza,2001
9.676,dza,2002
14.39,dza,2003
14.42,dza,2004
23.38,dza,2005
27.09,dza,2006
23.32,dza,2007
23.37,dza,2008
4.469,dza,2009
9.334,dza,2010
10.38,ago,1985
6.415,ago,1986
3.305,ago,1987
10.89,ago,1988
14.68,ago,1989
17.98,ago,1990
3.21,ago,1991
-1.939,ago,1992
-1.255,ago,1993
9.508,ago,1994
14.11,ago,1996
0.4193,ago,1997
-16.27,ago,1998
-6.401,ago,1999
26.8,ago,2000
1.683,ago,2001
11.34,ago,2002
6.556,ago,2003
15.97,ago,2004
29.84,ago,2005
37.76,ago,2006
30.44,ago,2007
25.09,ago,2008
