geo,traffic_deaths_per_100000_people,time
afg,41.04,2002
afg,34.53,2004
afg,40.7,2007
alb,2.557,2002
alb,12.35,2004
alb,14.1,2007
dza,20.74,2002
dza,18.19,2004
and,13.83,2002
and,12.66,2004
ago,65.58,2002
ago,68.28,2004
ago,45.4,2007
atg,10.39,2002
atg,7.48,2004
arg,13.33,1966
arg,16.21,1967
arg,16.95,1968
arg,18.61,1969
arg,19.62,1970
arg,15.9,1977
arg,14.39,1978
arg,14.44,1979
arg,13.98,1980
arg,13.67,1981
arg,12.06,1982
arg,12.06,1983
arg,11.57,1984
arg,8.907,1985
arg,10.36,1986
arg,10.16,1987
arg,9.745,1988
arg,9.936,1989
arg,9.281,1990
arg,9.677,1991
arg,10.31,1992
arg,11.04,1993
arg,12.26,1994
arg,10.99,1995
arg,10.71,1996
arg,9.973,1997
arg,11.67,1998
arg,11.01,1999
arg,9.663,2000
arg,9.724,2001
arg,8.171,2002
arg,8.528,2003
arg,8.415,2004
arg,8.839,2005
arg,9.956,2006
arg,9.514,2007
arm,9.749,2002
arm,11.53,2004
arm,13.1,2007
aus,22.31,1950
aus,25.58,1951
aus,24.83,1952
aus,23.01,1953
aus,24.26,1954
aus,24.77,1955
aus,24.64,1956
aus,24.94,1957
aus,24.98,1958
aus,25.26,1959
aus,26.86,1960
aus,25.74,1961
aus,25.71,1962
aus,25.28,1963
aus,27.4,1964
aus,28.55,1965
aus,28.85,1966
aus,28.7,1967
aus,29.15,1968
aus,30.34,1969
aus,31.72,1970
aus,30.28,1971
aus,27.57,1972
aus,29.11,1973
aus,28.46,1974
aus,27.35,1975
aus,25.67,1976
aus,26.72,1977
aus,26.43,1978
aus,24.59,1979
aus,23.56,1980
aus,21.76,1981
aus,21.41,1982
aus,17.89,1983
aus,18.1,1984
aus,18.59,1985
aus,17.87,1986
aus,16.75,1987
aus,17.11,1988
aus,16.68,1989
aus,13.54,1990
aus,12.17,1991
aus,11.29,1992
aus,10.8,1993
aus,10.54,1994
aus,10.39,1995
aus,10.48,1996
aus,9.341,1997
aus,9.119,1998
aus,9.096,1999
aus,9.282,2000
aus,8.77,2001
aus,8.503,2002
aus,7.644,2003
aus,7.102,2004
aus,6.464,2006
aus,7.6,2007
aut,9.855,1955
aut,20.9,1956
aut,28.78,1957
aut,26.51,1958
aut,28.18,1959
aut,26.5,1960
aut,21.51,1961
aut,19.91,1962
aut,23.21,1963
aut,25.43,1964
aut,23.06,1965
aut,26.23,1966
aut,30.35,1967
aut,31.22,1968
aut,29.9,1969
aut,31.92,1970
aut,35.46,1971
aut,37.22,1972
aut,34.54,1973
aut,30.91,1974
aut,31.09,1975
aut,27.34,1976
aut,26.84,1977
aut,27.26,1978
aut,25.94,1979
aut,23.64,1980
aut,22.84,1981
aut,23.33,1982
aut,24.02,1983
aut,22.13,1984
aut,18.41,1985
aut,17.4,1986
aut,17.39,1987
aut,17.87,1988
aut,17.68,1989
aut,17.1,1990
aut,16.36,1991
aut,14.35,1992
aut,14.82,1993
aut,15.03,1994
aut,13.41,1995
aut,11.56,1996
aut,12.44,1997
aut,10.07,1998
aut,11.52,1999
aut,10.62,2000
aut,10.19,2001
aut,10.05,2002
aut,9.969,2003
aut,8.955,2004
aut,8.086,2005
aut,7.324,2006
aut,6.999,2007
aze,13.51,1981
aze,12.25,1982
aze,11.63,1985
aze,14.93,1986
aze,13.18,1987
aze,16.18,1988
aze,16.5,1989
aze,15.76,1990
aze,14.46,1991
aze,14.97,1992
aze,12.26,1993
aze,2.063,1994
aze,3.273,1995
aze,5.844,1996
aze,5.535,1997
aze,5.526,1998
aze,4.582,1999
aze,5.226,2000
aze,5.963,2002
aze,5.218,2004
aze,13.6,2007
bhs,20.55,2002
bhs,22.0,2004
bhs,14.7,2007
bhr,6.719,1985
bhr,15.49,1987
bhr,12.19,1988
bhr,13.45,1997
bhr,13.98,1998
bhr,2.551,1999
bhr,10.49,2000
bhr,11.48,2001
bhr,14.98,2002
bhr,14.63,2004
bhr,13.8,2007
bgd,17.97,2002
bgd,17.75,2004
bgd,15.9,2007
brb,6.353,2002
brb,12.86,2004
brb,11.9,2007
blr,15.12,1981
blr,13.87,1982
blr,10.56,1985
blr,10.96,1986
blr,11.68,1987
blr,15.96,1988
blr,20.48,1989
blr,22.61,1990
blr,23.84,1991
blr,20.82,1992
blr,16.29,1993
blr,15.6,1994
blr,17.11,1995
blr,16.07,1997
blr,17.61,1998
blr,16.47,1999
blr,14.49,2000
blr,14.3,2001
blr,20.57,2002
blr,20.66,2003
blr,21.03,2004
blr,17.87,2007
bel,10.52,1954
bel,10.75,1955
bel,12.33,1956
bel,13.79,1957
bel,15.91,1958
bel,15.64,1959
bel,18.61,1960
bel,18.04,1961
bel,17.5,1962
bel,18.37,1963
bel,22.57,1964
bel,23.63,1965
bel,22.92,1966
bel,24.34,1967
bel,25.81,1968
bel,26.31,1969
bel,28.73,1970
bel,28.49,1971
bel,28.75,1972
bel,27.12,1973
bel,25.02,1974
bel,22.81,1975
bel,23.9,1976
bel,23.3,1977
bel,23.32,1978
bel,22.25,1979
bel,23.76,1980
bel,22.36,1981
bel,20.86,1982
bel,21.57,1983
bel,18.76,1984
bel,17.26,1985
bel,19.56,1986
bel,18.37,1987
bel,17.62,1988
bel,17.61,1989
bel,17.52,1990
bel,16.79,1991
bel,15.75,1992
bel,16.31,1993
bel,17.54,1994
bel,15.42,1995
bel,14.16,1996
bel,13.87,1997
bel,15.09,1998
bel,14.46,1999
bel,13.19,2002
bel,10.7,2004
bel,9.7,2007
blz,39.1,2002
blz,42.75,2004
blz,18.4,2006
ben,36.63,2002
ben,25.5,2004
ben,37.5,2007
btn,19.5,2002
btn,17.95,2004
btn,18.2,2007
bol,21.24,2002
bol,19.61,2004
bol,19.9,2007
bih,3.937,2002
bih,3.762,2004
bih,10.5,2007
bwa,20.96,2002
bwa,26.71,2004
bwa,41.7,2007
bra,19.35,1982
bra,17.77,1983
bra,19.04,1984
bra,20.65,1985
bra,24.8,1986
bra,22.25,1987
bra,21.88,1988
bra,22.03,1989
bra,21.33,1990
bra,20.27,1991
bra,18.9,1992
bra,18.95,1993
bra,19.58,1994
bra,22.0,1995
bra,20.57,1996
bra,21.46,1997
bra,18.57,1998
bra,17.31,1999
bra,16.39,2000
bra,16.83,2001
bra,17.53,2002
bra,17.54,2003
bra,18.46,2004
bra,18.61,2005
bra,19.1,2006
vgb,21.7,2007
brn,17.72,2002
brn,16.6,2004
brn,15.4,2007
bgr,6.465,1964
bgr,7.089,1965
bgr,12.6,1966
bgr,13.03,1967
bgr,13.66,1968
bgr,12.64,1969
bgr,12.51,1970
bgr,13.06,1971
bgr,13.16,1972
bgr,12.68,1973
bgr,11.16,1974
bgr,12.91,1975
bgr,12.08,1976
bgr,12.57,1977
bgr,13.34,1978
bgr,13.64,1979
bgr,12.92,1980
bgr,12.97,1981
bgr,13.99,1982
bgr,11.16,1983
bgr,12.45,1984
bgr,11.95,1985
bgr,11.43,1986
bgr,12.2,1987
bgr,11.84,1988
bgr,12.78,1989
bgr,15.59,1990
bgr,10.61,1991
bgr,12.91,1992
bgr,12.09,1993
bgr,13.73,1994
bgr,12.69,1995
bgr,10.24,1996
bgr,9.334,1997
bgr,9.76,1998
bgr,10.34,1999
bgr,10.17,2000
bgr,11.32,2001
bgr,10.59,2002
bgr,10.17,2003
bgr,10.49,2004
bgr,9.535,2005
bgr,11.91,2006
bgr,12.2,2007
bfa,46.59,2002
bfa,33.7,2004
bfa,36.6,2007
bdi,31.94,2002
bdi,43.83,2004
bdi,30.1,2007
khm,22.7,2002
khm,22.97,2004
khm,13.2,2007
cmr,37.21,2002
cmr,29.71,2004
cmr,32.8,2007
can,17.03,1950
can,19.4,1951
can,20.83,1952
can,21.69,1953
can,19.48,1954
can,20.16,1955
can,23.04,1956
can,23.35,1957
can,21.6,1958
can,22.18,1959
can,21.85,1960
can,22.5,1961
can,24.77,1962
can,25.01,1963
can,26.65,1964
can,27.16,1965
can,28.13,1966
can,27.87,1967
can,27.05,1968
can,27.47,1969
can,25.04,1970
can,26.32,1971
can,28.54,1972
can,28.93,1973
can,27.39,1974
can,25.06,1975
can,21.67,1976
can,21.53,1977
can,20.94,1978
can,23.07,1979
can,21.35,1980
can,20.67,1981
can,15.74,1982
can,15.93,1983
can,15.18,1984
can,15.52,1985
can,14.98,1986
can,15.84,1987
can,14.92,1988
can,15.57,1989
can,13.4,1990
can,12.48,1991
can,11.31,1992
can,11.63,1993
can,10.26,1994
can,10.2,1995
can,9.527,1996
can,9.392,1997
can,8.789,1998
can,9.213,1999
can,8.542,2000
can,8.15,2001
can,8.469,2002
can,8.127,2003
can,7.917,2004
can,8.3,2006
cpv,10.73,2002
cpv,18.9,2004
cpv,30.9,2007
caf,40.31,2004
caf,38.4,2007
caf,38.57,2002
tcd,40.27,2002
tcd,35.5,2004
tcd,40.6,2007
chl,4.731,1955
chl,6.89,1956
chl,8.168,1957
chl,7.845,1958
chl,6.952,1959
chl,9.868,1960
chl,10.29,1961
chl,6.346,1962
chl,7.77,1963
chl,6.665,1964
chl,6.449,1965
chl,17.95,1966
chl,8.433,1967
chl,29.03,1968
chl,21.85,1969
chl,18.78,1970
chl,22.75,1971
chl,23.01,1972
chl,17.94,1973
chl,12.77,1974
chl,10.73,1975
chl,9.649,1976
chl,9.942,1977
chl,12.51,1978
chl,13.02,1979
chl,14.44,1980
chl,14.15,1981
chl,11.24,1982
chl,9.137,1983
chl,8.163,1984
chl,7.087,1985
chl,7.077,1986
chl,7.446,1987
chl,7.564,1988
chl,7.803,1989
chl,7.802,1990
chl,9.99,1991
chl,11.91,1992
chl,12.56,1993
chl,12.75,1994
chl,11.89,1995
chl,11.99,1996
chl,12.24,1997
chl,12.89,1998
chl,10.51,1999
chl,13.81,2000
chl,12.39,2001
chl,12.04,2002
chl,13.51,2003
chl,13.25,2004
chl,13.13,2005
chl,13.7,2006
chn,18.96,2002
chn,20.96,2004
chn,15.9,2007
col,9.661,1953
col,7.75,1954
col,9.579,1955
col,9.293,1956
col,9.009,1957
col,10.37,1958
col,10.15,1959
col,9.626,1960
col,9.842,1961
col,13.42,1962
col,13.52,1963
col,14.23,1964
col,14.08,1965
col,13.94,1966
col,13.51,1967
col,14.74,1968
col,12.05,1969
col,15.02,1972
