geo,traffic_deaths_women_per_100000_people,time
afg,20.32,2004
alb,4.952,2004
dza,13.4,2004
and,5.864,2004
ago,28.48,2004
atg,1.354,2004
arg,5.617,1966
arg,7.018,1967
arg,7.097,1968
arg,7.491,1969
arg,8.835,1970
arg,7.519,1977
arg,6.73,1978
arg,6.985,1979
arg,6.661,1980
arg,6.587,1981
arg,5.776,1982
arg,5.616,1983
arg,5.437,1984
arg,4.081,1985
arg,4.894,1986
arg,4.987,1987
arg,4.632,1988
arg,4.758,1989
arg,4.357,1990
arg,4.67,1991
arg,4.787,1992
arg,4.818,1993
arg,5.797,1994
arg,5.012,1995
arg,4.618,1996
arg,4.416,1997
arg,5.204,1998
arg,5.311,1999
arg,4.448,2000
arg,4.482,2001
arg,3.44,2002
arg,3.988,2003
arg,3.709,2004
arm,4.461,2004
aus,7.044,1950
aus,8.594,1951
aus,8.879,1952
aus,8.541,1953
aus,9.818,1954
aus,9.123,1955
aus,10.48,1956
aus,9.647,1957
aus,10.32,1958
aus,10.76,1959
aus,13.07,1960
aus,11.54,1961
aus,11.67,1962
aus,11.38,1963
aus,13.26,1964
aus,13.74,1965
aus,14.76,1966
aus,14.06,1967
aus,13.9,1968
aus,15.79,1969
aus,16.39,1970
aus,14.67,1971
aus,14.41,1972
aus,14.84,1973
aus,14.79,1974
aus,13.29,1975
aus,13.34,1976
aus,13.8,1977
aus,14.33,1978
aus,13.27,1979
aus,12.44,1980
aus,11.16,1981
aus,10.89,1982
aus,9.668,1983
aus,10.52,1984
aus,10.17,1985
aus,10.09,1986
aus,9.724,1987
aus,9.733,1988
aus,9.561,1989
aus,7.89,1990
aus,6.901,1991
aus,6.814,1992
aus,6.05,1993
aus,6.318,1994
aus,6.164,1995
aus,5.709,1996
aus,5.613,1997
aus,5.198,1998
aus,5.299,1999
aus,5.18,2000
aus,4.475,2001
aus,4.433,2002
aus,4.031,2003
aus,3.799,2004
aut,2.847,1955
aut,6.827,1956
aut,9.344,1957
aut,9.23,1958
aut,10.0,1959
aut,9.342,1960
aut,8.415,1961
aut,8.659,1962
aut,8.685,1963
aut,10.78,1964
aut,9.469,1965
aut,11.54,1966
aut,12.52,1967
aut,12.98,1968
aut,12.77,1969
aut,13.58,1970
aut,14.19,1971
aut,16.23,1972
aut,15.72,1973
aut,12.99,1974
aut,14.12,1975
aut,12.36,1976
aut,10.7,1977
aut,12.14,1978
aut,11.04,1979
aut,10.17,1980
aut,9.308,1981
aut,10.0,1982
aut,10.87,1983
aut,8.913,1984
aut,7.732,1985
aut,7.799,1986
aut,8.026,1987
aut,8.767,1988
aut,7.642,1989
aut,7.691,1990
aut,7.282,1991
aut,7.09,1992
aut,6.993,1993
aut,6.463,1994
aut,5.986,1995
aut,5.762,1996
aut,5.74,1997
aut,4.991,1998
aut,5.952,1999
aut,4.626,2000
aut,4.889,2001
aut,5.1,2002
aut,5.177,2003
aut,4.006,2004
aze,6.206,1981
aze,5.015,1982
aze,5.203,1985
aze,6.046,1986
aze,5.5,1987
aze,6.254,1988
aze,5.834,1989
aze,5.57,1990
