traffic_mortality_15_29_per_100000_people,geo,time
12.22,arg,1966
16.6,arg,1967
17.08,arg,1968
18.46,arg,1969
20.29,arg,1970
15.03,arg,1977
13.2,arg,1978
13.8,arg,1979
13.78,arg,1980
13.41,arg,1981
11.93,arg,1982
11.98,arg,1983
11.6,arg,1984
8.842,arg,1985
10.43,arg,1986
9.883,arg,1987
9.816,arg,1988
10.2,arg,1989
8.952,arg,1990
10.26,arg,1991
11.83,arg,1992
13.59,arg,1993
15.33,arg,1994
14.58,arg,1995
14.15,arg,1996
12.29,arg,1997
15.15,arg,1998
13.87,arg,1999
11.31,arg,2000
11.73,arg,2001
9.807,arg,2002
9.478,arg,2003
9.493,arg,2004
10.34,arg,2005
11.94,arg,2006
11.65,arg,2007
36.63,aus,1950
41.16,aus,1951
39.99,aus,1952
36.66,aus,1953
38.45,aus,1954
39.55,aus,1955
37.12,aus,1956
35.98,aus,1957
37.88,aus,1958
37.05,aus,1959
39.66,aus,1960
36.41,aus,1961
38.2,aus,1962
36.05,aus,1963
39.46,aus,1964
42.61,aus,1965
45.35,aus,1966
45.21,aus,1967
49.27,aus,1968
47.11,aus,1969
52.89,aus,1970
53.85,aus,1971
46.96,aus,1972
50.77,aus,1973
50.94,aus,1974
48.6,aus,1975
45.5,aus,1976
49.62,aus,1977
49.47,aus,1978
45.48,aus,1979
43.64,aus,1980
41.08,aus,1981
40.61,aus,1982
35.03,aus,1983
33.55,aus,1984
35.08,aus,1985
33.67,aus,1986
31.36,aus,1987
32.45,aus,1988
30.8,aus,1989
24.75,aus,1990
22.03,aus,1991
20.16,aus,1992
19.63,aus,1993
18.66,aus,1994
18.63,aus,1995
18.23,aus,1996
17.18,aus,1997
16.28,aus,1998
16.57,aus,1999
17.1,aus,2000
15.89,aus,2001
15.44,aus,2002
13.19,aus,2003
12.8,aus,2004
11.48,aus,2006
18.16,aut,1955
35.87,aut,1956
48.65,aut,1957
44.69,aut,1958
45.31,aut,1959
39.31,aut,1960
31.36,aut,1961
28.7,aut,1962
32.2,aut,1963
31.77,aut,1964
29.64,aut,1965
33.23,aut,1966
41.74,aut,1967
41.91,aut,1968
43.18,aut,1969
43.92,aut,1970
51.86,aut,1971
55.82,aut,1972
55.99,aut,1973
48.78,aut,1974
46.13,aut,1975
44.62,aut,1976
48.07,aut,1977
48.19,aut,1978
45.87,aut,1979
40.58,aut,1980
40.84,aut,1981
40.53,aut,1982
42.78,aut,1983
39.83,aut,1984
33.64,aut,1985
30.54,aut,1986
32.18,aut,1987
31.37,aut,1988
32.04,aut,1989
29.72,aut,1990
30.51,aut,1991
27.18,aut,1992
29.22,aut,1993
30.8,aut,1994
25.71,aut,1995
23.21,aut,1996
26.09,aut,1997
18.68,aut,1998
22.52,aut,1999
21.65,aut,2000
18.96,aut,2001
18.67,aut,2002
18.19,aut,2003
16.79,aut,2004
14.78,aut,2005
13.22,aut,2006
13.33,aut,2007
12.17,aut,2008
10.86,aze,1981
8.1,aze,1982
8.23,aze,1985
10.19,aze,1986
10.36,aze,1987
13.72,aze,1988
12.02,aze,1989
11.85,aze,1990
11.18,aze,1991
10.52,aze,1992
8.904,aze,1993
1.16,aze,1994
2.397,aze,1995
3.8,aze,1996
4.436,aze,1997
4.627,aze,1998
3.509,aze,1999
3.636,aze,2000
5.54,bhr,1985
9.965,bhr,1987
5.741,bhr,1988
14.67,bhr,1997
11.7,bhr,1998
1.844,bhr,1999
10.64,bhr,2000
17.5,bhr,2001
20.51,blr,1981
18.67,blr,1982
14.17,blr,1985
15.77,blr,1986
17.31,blr,1987
24.91,blr,1988
30.81,blr,1989
31.7,blr,1990
32.16,blr,1991
27.85,blr,1992
22.09,blr,1993
20.52,blr,1994
21.85,blr,1995
24.61,blr,1997
24.44,blr,1998
21.56,blr,1999
20.29,blr,2000
20.41,blr,2001
27.52,blr,2002
26.37,blr,2003
24.2,blr,2007
11.89,bel,1954
13.15,bel,1955
14.11,bel,1956
17.07,bel,1957
21.32,bel,1958
18.64,bel,1959
25.61,bel,1960
24.98,bel,1961
23.76,bel,1962
25.2,bel,1963
32.18,bel,1964
29.29,bel,1965
27.63,bel,1966
32.3,bel,1967
35.49,bel,1968
35.21,bel,1969
37.01,bel,1970
40.84,bel,1971
41.21,bel,1972
40.01,bel,1973
38.54,bel,1974
34.84,bel,1975
36.99,bel,1976
38.59,bel,1977
37.58,bel,1978
37.57,bel,1979
40.74,bel,1980
38.29,bel,1981
34.79,bel,1982
34.6,bel,1983
31.19,bel,1984
29.15,bel,1985
33.91,bel,1986
30.89,bel,1987
30.21,bel,1988
32.55,bel,1989
32.05,bel,1990
30.12,bel,1991
28.29,bel,1992
29.94,bel,1993
32.05,bel,1994
26.95,bel,1995
26.0,bel,1996
25.0,bel,1997
26.55,bel,1998
25.84,bel,1999
20.68,bel,2004
18.99,bra,1982
18.06,bra,1983
19.53,bra,1984
20.55,bra,1985
26.91,bra,1986
22.64,bra,1987
22.24,bra,1988
22.95,bra,1989
21.98,bra,1990
21.81,bra,1991
20.33,bra,1992
20.46,bra,1993
22.16,bra,1994
23.92,bra,1995
23.57,bra,1996
24.93,bra,1997
21.04,bra,1998
19.75,bra,1999
18.69,bra,2000
19.21,bra,2001
20.95,bra,2002
21.05,bra,2003
22.37,bra,2004
22.93,bra,2005
6.748,bgr,1964
8.183,bgr,1965
14.31,bgr,1966
16.07,bgr,1967
16.65,bgr,1968
15.05,bgr,1969
13.92,bgr,1970
15.36,bgr,1971
14.15,bgr,1972
13.26,bgr,1973
12.72,bgr,1974
13.44,bgr,1975
13.38,bgr,1976
13.89,bgr,1977
13.5,bgr,1978
14.36,bgr,1979
14.91,bgr,1980
13.63,bgr,1981
16.71,bgr,1982
12.55,bgr,1983
13.74,bgr,1984
13.87,bgr,1985
11.73,bgr,1986
15.15,bgr,1987
13.8,bgr,1988
14.77,bgr,1989
20.5,bgr,1990
11.82,bgr,1991
17.18,bgr,1992
14.87,bgr,1993
18.93,bgr,1994
17.07,bgr,1995
11.68,bgr,1996
10.58,bgr,1997
10.45,bgr,1998
12.78,bgr,1999
11.81,bgr,2000
14.33,bgr,2001
14.83,bgr,2002
13.81,bgr,2003
12.77,bgr,2004
12.2,bgr,2005
17.49,bgr,2006
18.91,bgr,2007
19.68,bgr,2008
18.68,can,1950
21.52,can,1951
24.58,can,1952
25.86,can,1953
24.9,can,1954
25.17,can,1955
29.54,can,1956
31.06,can,1957
27.7,can,1958
30.1,can,1959
29.72,can,1960
31.16,can,1961
34.97,can,1962
36.67,can,1963
38.68,can,1964
40.58,can,1965
43.04,can,1966
41.97,can,1967
42.04,can,1968
44.26,can,1969
39.44,can,1970
42.61,can,1971
48.01,can,1972
50.0,can,1973
48.08,can,1974
43.17,can,1975
38.26,can,1976
38.47,can,1977
36.28,can,1978
42.38,can,1979
39.53,can,1980
37.67,can,1981
27.61,can,1982
28.72,can,1983
27.02,can,1984
27.39,can,1985
27.04,can,1986
28.56,can,1987
27.18,can,1988
27.48,can,1989
22.78,can,1990
22.37,can,1991
19.29,can,1992
20.23,can,1993
17.41,can,1994
17.46,can,1995
16.02,can,1996
16.14,can,1997
14.79,can,1998
15.98,can,1999
14.57,can,2000
13.83,can,2001
13.78,can,2002
13.98,can,2003
13.86,can,2004
5.551,chl,1955
7.628,chl,1956
7.831,chl,1957
7.757,chl,1958
5.828,chl,1959
9.138,chl,1960
9.106,chl,1961
4.971,chl,1962
5.961,chl,1963
5.308,chl,1964
5.204,chl,1965
14.04,chl,1966
5.829,chl,1967
20.95,chl,1968
16.93,chl,1969
15.44,chl,1970
17.36,chl,1971
16.94,chl,1972
14.73,chl,1973
9.666,chl,1974
7.938,chl,1975
7.194,chl,1976
6.53,chl,1977
10.07,chl,1978
10.92,chl,1979
12.16,chl,1980
12.16,chl,1981
10.09,chl,1982
7.843,chl,1983
7.144,chl,1984
6.023,chl,1985
6.354,chl,1986
7.24,chl,1987
6.931,chl,1988
7.284,chl,1989
7.156,chl,1990
8.898,chl,1991
11.67,chl,1992
11.55,chl,1993
12.14,chl,1994
11.53,chl,1995
11.91,chl,1996
12.55,chl,1997
13.43,chl,1998
9.407,chl,1999
12.95,chl,2000
11.09,chl,2001
11.15,chl,2002
12.74,chl,2003
11.93,chl,2004
12.08,chl,2005
11.2,col,1953
8.145,col,1954
9.168,col,1955
9.409,col,1956
8.901,col,1957
9.507,col,1958
8.561,col,1959
8.506,col,1960
9.034,col,1961
12.9,col,1962
12.11,col,1963
12.41,col,1964
11.03,col,1965
12.37,col,1966
11.34,col,1967
13.22,col,1968
10.9,col,1969
13.6,col,1972
15.45,col,1974
14.26,col,1975
16.3,col,1976
16.18,col,1977
18.34,col,1984
18.4,col,1985
15.46,col,1986
14.1,col,1987
13.84,col,1988
12.87,col,1989
13.38,col,1990
14.69,col,1991
16.11,col,1992
17.27,col,1993
20.05,col,1994
20.88,col,1995
20.5,col,1996
19.77,col,1997
23.36,col,1998
20.47,col,1999
19.06,col,2000
18.45,col,2001
17.63,col,2002
14.84,col,2004
14.66,col,2005
15.51,col,2006
7.585,cri,1962
12.43,cri,1963
14.17,cri,1964
15.8,cri,1965
19.52,cri,1966
14.2,cri,1967
18.98,cri,1968
19.52,cri,1969
20.85,cri,1970
23.64,cri,1971
20.41,cri,1972
19.93,cri,1973
23.79,cri,1974
21.46,cri,1975
23.29,cri,1976
25.54,cri,1977
23.6,cri,1978
21.96,cri,1979
23.59,cri,1980
16.35,cri,1981
15.31,cri,1982
10.27,cri,1983
12.82,cri,1984
15.82,cri,1985
13.22,cri,1986
15.16,cri,1987
11.57,cri,1988
13.13,cri,1989
15.08,cri,1990
13.76,cri,1991
14.16,cri,1992
13.9,cri,1993
17.48,cri,1994
16.85,cri,1995
13.37,cri,1996
18.41,cri,1997
19.35,cri,1998
18.89,cri,1999
19.49,cri,2000
19.47,cri,2001
18.44,cri,2002
16.51,cri,2003
16.17,cri,2004
14.7,cri,2005
16.8,cri,2006
27.32,hrv,1985
21.19,hrv,1986
21.31,hrv,1987
22.92,hrv,1988
21.18,hrv,1989
25.01,hrv,1990
25.73,hrv,1991
18.82,hrv,1992
16.45,hrv,1993
14.08,hrv,1994
20.05,hrv,1995
17.55,hrv,1996
17.85,hrv,1997
17.42,hrv,1998
15.05,hrv,1999
19.38,hrv,2000
19.58,hrv,2001
22.16,hrv,2002
21.98,hrv,2003
22.51,hrv,2004
21.19,hrv,2005
20.25,hrv,2006
23.81,hrv,2007
23.44,hrv,2008
14.09,cub,1964
13.99,cub,1968
16.25,cub,1969
17.36,cub,1970
13.01,cub,1971
12.11,cub,1972
