traffic_mortality_60plus_per_100000_people,geo,time
29.51,arg,1966
31.44,arg,1967
29.82,arg,1968
32.82,arg,1969
33.1,arg,1970
26.65,arg,1977
25.35,arg,1978
26.12,arg,1979
26.08,arg,1980
23.89,arg,1981
19.27,arg,1982
20.02,arg,1983
20.63,arg,1984
15.72,arg,1985
17.33,arg,1986
17.81,arg,1987
17.01,arg,1988
16.36,arg,1989
17.0,arg,1990
17.19,arg,1991
15.37,arg,1992
17.01,arg,1993
17.12,arg,1994
14.96,arg,1995
14.25,arg,1996
13.75,arg,1997
15.3,arg,1998
14.37,arg,1999
11.87,arg,2000
12.41,arg,2001
10.76,arg,2002
12.45,arg,2003
11.74,arg,2004
12.11,arg,2005
13.06,arg,2006
12.48,arg,2007
32.23,aus,1950
43.59,aus,1951
38.55,aus,1952
35.74,aus,1953
39.6,aus,1954
38.82,aus,1955
42.52,aus,1956
41.49,aus,1957
42.85,aus,1958
41.06,aus,1959
45.93,aus,1960
47.56,aus,1961
46.36,aus,1962
46.24,aus,1963
44.78,aus,1964
48.31,aus,1965
43.9,aus,1966
46.08,aus,1967
41.88,aus,1968
46.39,aus,1969
46.65,aus,1970
40.48,aus,1971
39.16,aus,1972
41.57,aus,1973
39.92,aus,1974
35.5,aus,1975
34.63,aus,1976
34.79,aus,1977
33.21,aus,1978
31.47,aus,1979
30.08,aus,1980
25.62,aus,1981
25.44,aus,1982
21.5,aus,1983
22.74,aus,1984
21.88,aus,1985
20.63,aus,1986
20.7,aus,1987
22.07,aus,1988
19.63,aus,1989
17.81,aus,1990
16.31,aus,1991
14.64,aus,1992
12.72,aus,1993
14.9,aus,1994
13.56,aus,1995
13.34,aus,1996
10.99,aus,1997
11.48,aus,1998
12.1,aus,1999
10.55,aus,2000
11.05,aus,2001
8.938,aus,2002
8.943,aus,2003
8.389,aus,2004
6.92,aus,2006
11.15,aut,1955
26.94,aut,1956
37.11,aut,1957
35.79,aut,1958
40.63,aut,1959
42.82,aut,1960
33.99,aut,1961
31.2,aut,1962
37.16,aut,1963
43.82,aut,1964
41.17,aut,1965
47.64,aut,1966
49.8,aut,1967
48.36,aut,1968
48.27,aut,1969
54.13,aut,1970
54.45,aut,1971
58.35,aut,1972
50.93,aut,1973
49.25,aut,1974
50.59,aut,1975
41.03,aut,1976
40.81,aut,1977
38.17,aut,1978
37.31,aut,1979
33.72,aut,1980
28.89,aut,1981
30.84,aut,1982
32.3,aut,1983
29.1,aut,1984
25.28,aut,1985
22.72,aut,1986
22.3,aut,1987
26.11,aut,1988
25.49,aut,1989
23.91,aut,1990
23.06,aut,1991
18.47,aut,1992
17.75,aut,1993
18.08,aut,1994
14.31,aut,1995
14.0,aut,1996
13.77,aut,1997
13.21,aut,1998
14.56,aut,1999
12.07,aut,2000
13.15,aut,2001
13.54,aut,2002
13.74,aut,2003
11.24,aut,2004
8.91,aut,2005
9.286,aut,2006
9.248,aut,2007
9.428,aut,2008
18.87,aze,1981
18.53,aze,1982
17.67,aze,1985
20.08,aze,1986
19.53,aze,1987
18.35,aze,1988
23.24,aze,1989
20.31,aze,1990
17.64,aze,1991
22.03,aze,1992
16.56,aze,1993
4.007,aze,1994
5.946,aze,1995
9.186,aze,1996
8.981,aze,1997
7.823,aze,1998
7.41,aze,1999
8.143,aze,2000
19.14,bhr,1985
45.38,bhr,1987
39.49,bhr,1988
17.81,bhr,1997
31.93,bhr,1998
0.0,bhr,1999
24.66,bhr,2000
17.67,bhr,2001
15.17,blr,1981
14.88,blr,1982
11.69,blr,1985
13.15,blr,1986
12.7,blr,1987
15.17,blr,1988
21.33,blr,1989
23.31,blr,1990
24.73,blr,1991
19.69,blr,1992
17.41,blr,1993
14.84,blr,1994
17.6,blr,1995
15.88,blr,1997
17.28,blr,1998
16.78,blr,1999
14.63,blr,2000
15.22,blr,2001
21.59,blr,2002
23.71,blr,2003
18.1,blr,2007
17.26,bel,1954
17.65,bel,1955
20.68,bel,1956
22.6,bel,1957
24.0,bel,1958
25.56,bel,1959
29.01,bel,1960
25.53,bel,1961
26.91,bel,1962
24.96,bel,1963
32.0,bel,1964
36.93,bel,1965
39.73,bel,1966
41.11,bel,1967
39.86,bel,1968
40.09,bel,1969
48.92,bel,1970
43.99,bel,1971
43.48,bel,1972
42.85,bel,1973
35.41,bel,1974
35.38,bel,1975
34.67,bel,1976
34.71,bel,1977
32.94,bel,1978
30.12,bel,1979
32.69,bel,1980
27.55,bel,1981
27.97,bel,1982
28.53,bel,1983
24.52,bel,1984
21.75,bel,1985
24.9,bel,1986
24.79,bel,1987
21.37,bel,1988
20.19,bel,1989
19.95,bel,1990
20.48,bel,1991
16.38,bel,1992
18.81,bel,1993
19.68,bel,1994
17.06,bel,1995
16.84,bel,1996
16.58,bel,1997
16.35,bel,1998
16.68,bel,1999
10.38,bel,2004
33.4,bra,1982
29.01,bra,1983
30.96,bra,1984
33.81,bra,1985
39.01,bra,1986
33.87,bra,1987
32.43,bra,1988
34.35,bra,1989
33.95,bra,1990
31.02,bra,1991
28.15,bra,1992
28.1,bra,1993
27.98,bra,1994
34.71,bra,1995
30.25,bra,1996
31.53,bra,1997
28.51,bra,1998
25.94,bra,1999
23.63,bra,2000
25.75,bra,2001
25.21,bra,2002
25.76,bra,2003
27.09,bra,2004
27.24,bra,2005
7.996,bgr,1964
10.65,bgr,1965
17.52,bgr,1966
15.41,bgr,1967
17.28,bgr,1968
19.19,bgr,1969
17.56,bgr,1970
18.32,bgr,1971
21.57,bgr,1972
18.03,bgr,1973
15.75,bgr,1974
18.67,bgr,1975
17.64,bgr,1976
19.42,bgr,1977
21.25,bgr,1978
19.82,bgr,1979
18.17,bgr,1980
