traffic_mortality_children_0_14_per_100000_people,geo,time
4.611,arg,1966
5.488,arg,1967
6.553,arg,1968
7.187,arg,1969
7.919,arg,1970
6.808,arg,1977
6.188,arg,1978
6.098,arg,1979
5.423,arg,1980
5.732,arg,1981
4.998,arg,1982
5.214,arg,1983
4.724,arg,1984
3.589,arg,1985
4.442,arg,1986
4.013,arg,1987
4.015,arg,1988
4.05,arg,1989
3.934,arg,1990
3.568,arg,1991
3.767,arg,1992
3.856,arg,1993
4.389,arg,1994
3.555,arg,1995
3.558,arg,1996
3.189,arg,1997
3.563,arg,1998
3.662,arg,1999
3.611,arg,2000
3.101,arg,2001
2.358,arg,2002
2.444,arg,2003
2.555,arg,2004
3.137,arg,2005
3.425,arg,2006
2.813,arg,2007
8.441,aus,1950
8.075,aus,1951
8.706,aus,1952
8.631,aus,1953
9.174,aus,1954
8.667,aus,1955
9.312,aus,1956
9.045,aus,1957
7.949,aus,1958
8.317,aus,1959
9.261,aus,1960
8.935,aus,1961
7.882,aus,1962
8.24,aus,1963
9.542,aus,1964
9.279,aus,1965
9.846,aus,1966
9.885,aus,1967
9.201,aus,1968
10.74,aus,1969
11.12,aus,1970
10.62,aus,1971
10.78,aus,1972
10.86,aus,1973
9.937,aus,1974
9.833,aus,1975
10.09,aus,1976
9.676,aus,1977
9.568,aus,1978
8.934,aus,1979
9.235,aus,1980
7.607,aus,1981
8.399,aus,1982
6.839,aus,1983
7.368,aus,1984
6.643,aus,1985
7.099,aus,1986
5.795,aus,1987
5.579,aus,1988
5.656,aus,1989
5.081,aus,1990
3.854,aus,1991
3.828,aus,1992
3.498,aus,1993
3.276,aus,1994
3.157,aus,1995
3.359,aus,1996
2.849,aus,1997
2.8,aus,1998
2.473,aus,1999
2.617,aus,2000
1.926,aus,2001
1.828,aus,2002
2.468,aus,2003
1.684,aus,2004
1.437,aus,2006
3.047,aut,1955
5.417,aut,1956
8.36,aut,1957
8.227,aut,1958
8.649,aut,1959
9.224,aut,1960
8.761,aut,1961
7.656,aut,1962
8.775,aut,1963
10.48,aut,1964
8.389,aut,1965
9.562,aut,1966
10.1,aut,1967
12.92,aut,1968
10.23,aut,1969
11.4,aut,1970
11.59,aut,1971
11.75,aut,1972
10.33,aut,1973
9.475,aut,1974
10.86,aut,1975
7.293,aut,1976
5.995,aut,1977
7.2,aut,1978
6.553,aut,1979
6.775,aut,1980
5.78,aut,1981
6.695,aut,1982
6.08,aut,1983
5.464,aut,1984
5.707,aut,1985
4.376,aut,1986
3.93,aut,1987
4.173,aut,1988
4.778,aut,1989
3.918,aut,1990
3.823,aut,1991
3.031,aut,1992
3.914,aut,1993
3.32,aut,1994
3.876,aut,1995
3.128,aut,1996
2.427,aut,1997
2.073,aut,1998
2.179,aut,1999
1.742,aut,2000
1.594,aut,2001
1.297,aut,2002
2.234,aut,2003
1.193,aut,2004
1.513,aut,2005
1.491,aut,2006
1.017,aut,2007
0.6885,aut,2008
4.62,aze,1981
4.328,aze,1982
4.346,aze,1985
5.228,aze,1986
4.319,aze,1987
5.43,aze,1988
5.541,aze,1989
3.942,aze,1990
3.01,aze,1991
3.253,aze,1992
3.61,aze,1993
0.7724,aze,1994
0.7263,aze,1995
2.011,aze,1996
1.639,aze,1997
1.728,aze,1998
1.099,aze,1999
1.505,aze,2000
5.3,bhr,1985
10.79,bhr,1987
6.871,bhr,1988
7.904,bhr,1997
6.504,bhr,1998
4.288,bhr,1999
5.479,bhr,2000
5.393,bhr,2001
6.351,blr,1981
4.354,blr,1982
4.112,blr,1985
4.227,blr,1986
4.96,blr,1987
5.154,blr,1988
5.653,blr,1989
5.75,blr,1990
6.832,blr,1991
5.066,blr,1992
4.144,blr,1993
3.718,blr,1994
4.435,blr,1995
3.739,blr,1997
3.835,blr,1998
3.151,blr,1999
3.241,blr,2000
2.821,blr,2001
3.82,blr,2002
3.248,blr,2003
4.232,blr,2007
5.027,bel,1954
3.988,bel,1955
5.391,bel,1956
5.459,bel,1957
6.938,bel,1958
6.877,bel,1959
7.04,bel,1960
6.973,bel,1961
6.917,bel,1962
8.352,bel,1963
9.292,bel,1964
10.64,bel,1965
10.58,bel,1966
9.607,bel,1967
11.04,bel,1968
12.42,bel,1969
12.53,bel,1970
12.32,bel,1971
11.18,bel,1972
10.96,bel,1973
10.72,bel,1974
9.223,bel,1975
9.673,bel,1976
9.213,bel,1977
9.874,bel,1978
8.722,bel,1979
6.892,bel,1980
8.392,bel,1981
8.093,bel,1982
8.063,bel,1983
6.601,bel,1984
6.32,bel,1985
5.974,bel,1986
5.762,bel,1987
