geo,under_five_mortality_from_ihme_per_1000_born,time
afg,323.5,1970
afg,320.5,1971
afg,317.5,1972
afg,314.5,1973
afg,311.5,1974
afg,308.6,1975
afg,305.7,1976
afg,302.8,1977
afg,299.9,1978
afg,297.1,1979
afg,294.3,1980
afg,291.5,1981
afg,288.7,1982
afg,286.0,1983
afg,283.3,1984
afg,280.6,1985
afg,277.9,1986
afg,275.3,1987
afg,272.7,1988
afg,270.1,1989
afg,267.5,1990
afg,265.0,1991
afg,262.5,1992
afg,260.0,1993
afg,257.5,1994
afg,255.1,1995
afg,252.7,1996
afg,250.3,1997
afg,247.9,1998
afg,245.5,1999
afg,243.2,2000
afg,240.9,2001
afg,238.6,2002
afg,236.3,2003
afg,234.1,2004
afg,231.9,2005
afg,229.7,2006
afg,227.5,2007
afg,225.3,2008
afg,223.2,2009
afg,221.1,2010
afg,219.0,2011
afg,216.9,2012
afg,214.8,2013
afg,212.8,2014
afg,210.8,2015
alb,124.9,1970
alb,118.4,1971
alb,112.2,1972
alb,106.3,1973
alb,100.5,1974
alb,95.3,1975
alb,90.3,1976
alb,85.5,1977
alb,81.1,1978
alb,76.4,1979
alb,71.7,1980
alb,68.1,1981
alb,64.7,1982
alb,61.4,1983
alb,58.3,1984
alb,55.4,1985
alb,52.7,1986
alb,50.0,1987
alb,47.5,1988
alb,45.1,1989
alb,42.8,1990
alb,40.7,1991
alb,38.7,1992
alb,36.8,1993
alb,34.7,1994
alb,32.4,1995
alb,30.2,1996
alb,28.1,1997
alb,26.1,1998
alb,24.3,1999
alb,22.5,2000
alb,20.9,2001
alb,19.4,2002
alb,18.0,2003
alb,16.7,2004
alb,15.5,2005
alb,14.3,2006
alb,13.2,2007
alb,12.2,2008
alb,11.3,2009
alb,10.5,2010
alb,9.7,2011
alb,9.0,2012
alb,8.3,2013
alb,7.7,2014
alb,7.1,2015
dza,181.6,1970
dza,174.3,1971
dza,167.9,1972
dza,161.8,1973
dza,155.8,1974
dza,150.1,1975
dza,144.7,1976
dza,139.5,1977
dza,133.8,1978
dza,127.4,1979
dza,121.3,1980
dza,115.3,1981
dza,109.1,1982
dza,103.1,1983
dza,97.5,1984
dza,92.5,1985
dza,87.6,1986
dza,83.2,1987
dza,79.0,1988
dza,74.7,1989
dza,70.7,1990
dza,67.0,1991
dza,63.5,1992
dza,60.2,1993
dza,57.1,1994
dza,54.2,1995
dza,51.3,1996
dza,48.5,1997
dza,46.0,1998
dza,43.6,1999
dza,41.2,2000
dza,39.0,2001
dza,36.8,2002
dza,34.8,2003
dza,32.9,2004
dza,31.2,2005
dza,29.5,2006
dza,27.9,2007
dza,26.4,2008
dza,25.0,2009
dza,23.7,2010
dza,22.4,2011
dza,21.2,2012
dza,20.1,2013
dza,19.0,2014
dza,18.0,2015
ago,280.1,1970
ago,278.7,1971
ago,277.4,1972
ago,276.0,1973
ago,274.7,1974
ago,273.4,1975
ago,272.1,1976
ago,270.8,1977
ago,269.6,1978
ago,268.3,1979
ago,267.0,1980
ago,265.7,1981
ago,264.2,1982
ago,263.2,1983
ago,262.0,1984
ago,260.9,1985
ago,259.8,1986
ago,258.5,1987
ago,257.7,1988
ago,256.8,1989
ago,256.2,1990
ago,255.5,1991
ago,254.9,1992
ago,254.0,1993
ago,253.2,1994
ago,252.3,1995
ago,251.5,1996
ago,250.2,1997
ago,249.3,1998
ago,248.3,1999
ago,247.3,2000
ago,246.4,2001
ago,245.5,2002
ago,244.5,2003
ago,243.5,2004
ago,242.5,2005
ago,241.6,2006
ago,240.6,2007
ago,239.7,2008
ago,238.7,2009
ago,237.8,2010
ago,236.8,2011
ago,235.9,2012
ago,235.1,2013
ago,234.2,2014
ago,233.2,2015
arg,57.0,1970
arg,54.9,1971
arg,53.0,1972
arg,51.1,1973
arg,49.2,1974
arg,47.4,1975
arg,45.7,1976
arg,44.1,1977
arg,42.7,1978
arg,41.5,1979
arg,40.4,1980
arg,39.5,1981
arg,38.8,1982
arg,37.3,1983
arg,35.9,1984
arg,34.6,1985
arg,33.4,1986
arg,32.4,1987
arg,31.3,1988
arg,30.1,1989
arg,29.0,1990
arg,28.0,1991
arg,27.0,1992
arg,26.0,1993
arg,25.0,1994
arg,24.1,1995
arg,23.2,1996
arg,22.4,1997
arg,21.6,1998
arg,20.8,1999
arg,20.0,2000
arg,19.3,2001
arg,18.6,2002
arg,17.9,2003
arg,17.3,2004
arg,16.7,2005
arg,16.2,2006
arg,15.5,2007
arg,15.0,2008
arg,14.4,2009
arg,13.9,2010
arg,13.4,2011
arg,12.9,2012
arg,12.4,2013
arg,12.0,2014
