geo,water_and_sanitation_aid_given_percent_of_aid,time
aus,47.15,1971
aus,14.79,1972
aus,9.273,1973
aus,2.083,1975
aus,1.52,1976
aus,15.58,1977
aus,4.262,1978
aus,3.768,1979
aus,9.744,1980
aus,10.57,1981
aus,1.583,1982
aus,4.585,1983
aus,3.659,1984
aus,3.31,1985
aus,5.251,1986
aus,4.35,1987
aus,2.144,1988
aus,3.353,1989
aus,2.405,1990
aus,9.229,1991
aus,8.258,1992
aus,6.71,1993
aus,5.187,1994
aus,3.015,1995
aus,7.925,1996
aus,5.291,1997
aus,6.588,1998
aus,3.891,1999
aus,4.134,2000
aus,3.438,2001
aus,3.437,2002
aus,3.181,2003
aus,3.444,2004
aus,3.411,2005
aus,0.5239,2006
aus,0.8973,2007
aut,1.037,1973
aut,0.09533,1975
aut,0.7389,1977
aut,0.6589,1978
aut,0.1908,1979
aut,4.674,1981
aut,0.5346,1982
aut,18.82,1983
aut,0.5295,1984
aut,1.124,1985
aut,5.935,1986
aut,0.268,1987
aut,1.57,1988
aut,16.91,1989
aut,16.71,1990
aut,4.043,1991
aut,4.632,1992
aut,5.182,1993
aut,1.633,1994
aut,12.72,1995
aut,17.07,1996
aut,7.258,1997
aut,22.57,1998
aut,13.06,1999
aut,13.33,2000
aut,4.998,2001
aut,6.397,2002
aut,10.31,2003
aut,9.955,2004
aut,6.848,2005
aut,7.671,2006
aut,6.713,2007
bel,1.693,1971
bel,0.3263,1972
bel,0.8603,1973
bel,0.585,1974
bel,2.415,1975
bel,2.69,1976
bel,1.724,1977
bel,0.9702,1978
bel,3.425,1979
bel,2.21,1980
bel,0.6959,1981
bel,1.779,1982
bel,11.73,1983
bel,4.132,1984
bel,2.601,1985
bel,2.75,1986
bel,2.226,1987
bel,3.877,1988
bel,1.731,1989
bel,1.288,1990
bel,0.9882,1991
bel,4.649,1992
bel,2.676,1993
bel,3.107,1994
bel,2.663,1995
bel,2.815,1996
bel,4.028,1997
bel,3.016,1998
bel,3.306,1999
bel,3.023,2000
bel,2.813,2001
bel,3.125,2002
bel,4.788,2003
bel,4.556,2004
bel,5.898,2005
bel,7.399,2006
bel,6.697,2007
can,1.787,1968
can,4.967,1971
can,1.902,1972
can,8.263,1973
can,14.42,1974
can,30.58,1975
can,8.112,1976
can,2.315,1977
can,1.492,1978
can,5.822,1979
can,0.7338,1980
can,6.011,1981
can,1.586,1982
can,3.031,1983
can,1.404,1984
can,5.273,1985
can,2.408,1986
can,2.449,1987
can,8.534,1988
can,1.534,1989
can,3.382,1990
can,4.754,1991
can,6.024,1992
can,0.8976,1993
can,1.995,1994
can,2.166,1995
can,4.344,1996
can,1.518,1997
can,2.979,1998
can,4.25,1999
can,5.348,2000
can,3.431,2001
can,3.532,2002
can,6.239,2003
can,5.578,2004
can,2.624,2005
can,1.197,2006
can,1.025,2007
dnk,1.247,1974
dnk,2.276,1976
dnk,7.947,1977
dnk,5.455,1978
dnk,9.477,1979
dnk,11.45,1980
dnk,16.52,1982
dnk,10.82,1983
dnk,0.7136,1984
dnk,20.43,1985
dnk,12.9,1986
dnk,10.9,1987
dnk,4.682,1988
dnk,12.53,1989
dnk,33.5,1990
dnk,1.078,1991
dnk,11.93,1992
dnk,20.19,1993
dnk,3.866,1994
dnk,4.448,1995
dnk,17.82,1996
dnk,11.78,1997
dnk,19.45,1998
dnk,25.68,1999
dnk,6.192,2000
dnk,4.629,2001
dnk,5.24,2002
dnk,8.44,2003
dnk,19.5,2004
dnk,7.396,2005
dnk,19.49,2006
dnk,3.346,2007
fin,26.72,1973
fin,5.416,1974
fin,31.83,1981
fin,11.63,1983
fin,5.636,1984
fin,40.0,1986
fin,10.73,1988
fin,14.36,1989
fin,3.588,1990
fin,14.29,1991
fin,11.67,1992
fin,11.51,1993
fin,12.42,1994
fin,11.48,1995
fin,16.18,1996
fin,9.905,1997
fin,6.627,1998
fin,8.813,1999
fin,9.847,2000
fin,5.158,2001
fin,9.013,2002
fin,6.083,2003
fin,2.019,2004
fin,8.975,2005
fin,11.17,2006
fin,8.08,2007
fra,3.832,1971
fra,5.851,1972
fra,0.6248,1973
fra,0.3481,1974
fra,0.7873,1975
fra,0.259,1976
fra,1.002,1977
fra,0.6473,1978
fra,0.3201,1979
fra,0.3047,1980
fra,6.185,1981
fra,0.6723,1982
fra,0.875,1983
fra,1.742,1984
fra,1.675,1985
fra,3.065,1986
fra,1.693,1987
fra,1.538,1988
fra,3.735,1989
fra,1.571,1990
fra,4.958,1991
fra,2.033,1992
fra,2.793,1993
fra,6.076,1994
fra,5.507,1995
fra,8.035,1996
fra,4.726,1997
fra,3.635,1998
fra,5.36,1999
fra,5.658,2000
fra,4.428,2001
fra,8.395,2002
fra,5.654,2003
fra,4.766,2004
fra,3.11,2005
fra,5.046,2006
fra,7.46,2007
deu,0.009561,1971
deu,2.068,1972
deu,2.816,1973
deu,5.367,1974
deu,6.137,1975
deu,5.992,1976
deu,4.887,1977
deu,2.241,1978
deu,1.96,1979
deu,5.117,1980
deu,4.05,1981
deu,4.854,1982
deu,4.52,1983
deu,5.5,1984
deu,8.321,1985
deu,10.81,1986
deu,6.281,1987
deu,5.154,1988
deu,5.004,1989
deu,5.386,1990
deu,8.056,1991
deu,8.777,1992
deu,6.619,1993
deu,10.83,1994
deu,10.6,1995
deu,7.3,1996
deu,11.35,1997
deu,12.41,1998
deu,7.779,1999
deu,15.01,2000
deu,14.13,2001
deu,7.923,2002
deu,10.27,2003
deu,9.318,2004
deu,8.369,2005
deu,8.755,2006
deu,9.937,2007
grc,0.3007,1997
grc,0.1281,1998
grc,0.5264,1999
grc,0.7676,2000
grc,0.393,2001
grc,0.821,2002
grc,0.6167,2003
grc,1.121,2004
grc,0.3555,2005
grc,0.7346,2006
grc,1.345,2007
irl,3.953,1985
irl,8.52,1987
irl,1.295,1988
irl,3.684,1989
irl,7.857,1990
irl,4.459,1991
irl,6.625,1992
irl,9.108,1994
irl,9.474,1995
irl,9.471,1996
irl,5.661,1998
irl,5.879,1999
irl,9.382,2000
irl,5.855,2001
irl,6.475,2002
irl,7.505,2003
irl,6.46,2004
irl,5.49,2005
irl,3.992,2006
irl,4.282,2007
ita,10.43,1982
ita,0.1997,1983
ita,5.572,1984
ita,0.6629,1985
ita,2.713,1986
ita,8.333,1987
ita,8.656,1988
ita,6.171,1989
ita,6.894,1990
ita,14.37,1991
ita,11.03,1992
ita,8.57,1993
ita,7.95,1994
ita,9.553,1995
ita,12.21,1996
ita,17.63,1997
ita,11.62,1998
ita,7.264,1999
ita,15.63,2000
ita,4.692,2001
ita,1.884,2002
ita,2.136,2003
ita,1.086,2004
ita,9.496,2005
ita,7.5,2006
ita,9.275,2007
jpn,2.743,1971
jpn,1.607,1972
jpn,1.867,1973
jpn,3.683,1974
jpn,1.987,1979
jpn,2.273,1980
jpn,3.141,1981
jpn,2.844,1982
jpn,2.383,1983
jpn,18.87,1984
jpn,7.248,1985
jpn,3.75,1986
jpn,3.588,1987
jpn,8.714,1988
jpn,7.709,1989
jpn,7.661,1990
jpn,3.308,1991
jpn,7.828,1992
jpn,12.93,1993
jpn,12.06,1994
jpn,11.52,1995
jpn,12.93,1996
jpn,12.45,1997
jpn,12.79,1998
jpn,8.4,1999
jpn,19.46,2000
jpn,7.539,2001
jpn,5.214,2002
jpn,14.08,2003
jpn,8.46,2004
jpn,22.76,2005
jpn,15.45,2006
jpn,21.77,2007
lux,7.192,1993
lux,2.14,1995
lux,2.142,1996
lux,4.029,1997
lux,5.649,1998
lux,12.44,1999
lux,12.94,2000
lux,12.47,2004
lux,9.416,2005
lux,8.06,2006
lux,7.414,2007
nld,0.07219,1974
nld,2.805,1976
nld,6.302,1977
nld,9.043,1978
nld,4.553,1979
nld,7.168,1980
nld,3.653,1981
nld,5.819,1982
nld,4.246,1983
nld,5.445,1984
nld,1.778,1985
nld,6.525,1986
nld,12.18,1987
nld,5.132,1988
nld,6.408,1989
nld,4.302,1990
nld,4.252,1991
nld,4.092,1992
nld,10.6,1993
nld,6.693,1994
nld,6.257,1995
nld,7.601,1996
nld,8.061,1997
nld,10.94,1998
nld,7.691,1999
nld,4.309,2000
nld,9.412,2001
nld,7.055,2002
nld,7.055,2003
nld,7.143,2004
nld,8.306,2005
nld,10.24,2006
nld,13.23,2007
nzl,4.111,1973
nzl,3.705,1977
nzl,2.87,1978
nzl,4.017,1979
nzl,1.355,1981
nzl,1.511,1982
nzl,1.663,1983
nzl,1.79,1984
nzl,7.326,1985
nzl,1.994,1986
nzl,5.831,1987
nzl,3.163,1988
nzl,1.741,1991
nzl,1.88,1992
nzl,0.6452,1993
nzl,0.7398,1994
nzl,0.7397,1995
nzl,2.288,1998
nzl,2.104,1999
nzl,2.109,2000
nzl,2.32,2001
nzl,2.014,2002
nzl,1.673,2003
nzl,1.924,2004
nzl,2.23,2005
nzl,2.302,2006
nzl,2.714,2007
nor,10.41,1974
nor,6.848,1976
nor,11.68,1982
nor,8.691,1983
nor,15.0,1984
nor,5.552,1985
nor,11.96,1986
nor,11.88,1987
nor,2.372,1988
nor,0.937,1989
nor,8.858,1990
nor,0.5564,1991
nor,1.415,1992
nor,2.282,1993
nor,3.782,1994
nor,4.992,1995
nor,1.157,1996
nor,3.075,1997
nor,7.396,1998
nor,4.523,1999
nor,3.301,2000
nor,5.785,2001
nor,2.91,2002
nor,2.24,2003
nor,3.106,2004
nor,3.127,2005
nor,1.859,2006
nor,2.314,2007
prt,0.3481,1994
prt,0.4471,1995
prt,0.1341,1996
prt,0.01943,1997
prt,0.6968,1998
prt,0.4001,1999
prt,0.2058,2000
prt,0.8843,2001
prt,0.1925,2002
prt,0.08764,2003
prt,1.598,2004
prt,1.381,2005
prt,0.3417,2006
prt,0.6193,2007
esp,0.04598,1991
esp,3.571,1992
esp,9.743,1993
esp,0.284,1994
esp,6.228,1995
esp,3.905,1996
esp,2.838,1997
esp,3.827,1998
esp,3.121,1999
esp,3.143,2000
esp,5.023,2001
esp,5.993,2002
esp,6.589,2003
esp,7.24,2004
esp,5.123,2005
esp,4.893,2006
esp,4.654,2007
swe,10.82,1971
swe,6.91,1972
swe,4.502,1973
swe,14.36,1974
swe,9.436,1975
swe,10.14,1976
swe,8.852,1977
swe,6.286,1978
swe,7.361,1979
swe,3.011,1980
swe,5.742,1981
swe,6.151,1982
swe,5.757,1983
swe,4.27,1984
swe,0.4791,1986
swe,3.243,1987
swe,8.616,1988
swe,4.263,1989
swe,4.359,1990
swe,2.719,1991
swe,5.226,1992
swe,4.362,1993
swe,7.32,1994
swe,4.738,1995
swe,4.84,1996
swe,2.28,1997
swe,3.764,1998
swe,6.834,1999
swe,4.64,2000
swe,8.117,2001
swe,3.365,2002
swe,4.404,2003
swe,4.103,2004
swe,5.593,2005
swe,4.464,2006
swe,3.064,2007
che,2.638,1971
che,7.924,1974
che,12.4,1975
che,16.52,1976
che,6.98,1977
che,2.521,1979
che,4.238,1980
che,3.431,1981
che,3.035,1982
che,4.563,1983
che,5.645,1984
che,2.91,1985
che,9.603,1986
che,2.122,1987
che,13.73,1988
che,3.549,1989
che,9.721,1990
che,3.369,1991
che,6.509,1992
che,4.001,1993
che,3.896,1994
che,4.232,1995
che,9.73,1996
che,8.723,1998
che,6.738,1999
che,6.696,2000
che,5.674,2001
che,4.469,2002
che,5.999,2003
che,4.83,2004
che,5.358,2005
che,4.84,2006
che,5.661,2007
gbr,3.557,1971
gbr,20.95,1972
gbr,1.285,1973
gbr,2.603,1974
gbr,1.242,1975
gbr,1.161,1976
gbr,1.034,1977
gbr,0.8917,1978
gbr,1.006,1979
gbr,0.302,1980
gbr,0.1025,1981
gbr,1.192,1985
gbr,11.86,1986
gbr,0.485,1987
gbr,2.727,1988
gbr,5.89,1989
gbr,4.739,1990
gbr,3.991,1991
gbr,4.179,1992
gbr,5.177,1993
gbr,4.855,1994
gbr,3.68,1995
gbr,4.458,1996
gbr,4.407,1997
gbr,4.372,1998
gbr,4.216,1999
gbr,2.968,2000
gbr,3.453,2001
gbr,1.037,2002
gbr,1.337,2003
gbr,1.011,2004
gbr,1.483,2005
gbr,1.598,2006
gbr,2.537,2007
usa,2.843,1971
usa,6.789,1972
usa,0.1017,1973
usa,3.918,1975
usa,4.07,1976
usa,1.879,1981
usa,2.096,1982
usa,3.351,1983
usa,2.377,1984
usa,1.588,1985
usa,1.944,1986
usa,10.19,1987
usa,7.144,1988
usa,5.233,1989
usa,10.64,1990
usa,10.62,1991
usa,10.62,1992
usa,10.62,1993
usa,1.688,1994
usa,1.677,1995
usa,2.871,1996
usa,3.57,1997
usa,5.313,1998
usa,3.717,1999
usa,1.688,2000
usa,7.876,2001
usa,1.088,2002
usa,0.8921,2003
usa,5.263,2004
usa,6.055,2005
usa,4.849,2006
usa,2.321,2007
