basomrade,year,cumulative_immigration_surplus
1010120_skeppsbron,2000,4
1010120_skeppsbron,2001,9
1010120_skeppsbron,2002,27
1010120_skeppsbron,2003,5
1010120_skeppsbron,2004,18
1010120_skeppsbron,2005,14
1010120_skeppsbron,2006,20
1010120_skeppsbron,2007,41
1010120_skeppsbron,2008,40
1010120_skeppsbron,2009,26
1010120_skeppsbron,2010,38
1010120_skeppsbron,2011,36
1010120_skeppsbron,2012,28
1010120_skeppsbron,2013,23
1010120_skeppsbron,2014,45
1010130_munkbron,2000,11
1010130_munkbron,2001,41
1010130_munkbron,2002,3
1010130_munkbron,2003,-20
1010130_munkbron,2004,-42
1010130_munkbron,2005,-37
1010130_munkbron,2006,-29
1010130_munkbron,2007,-28
1010130_munkbron,2008,-53
1010130_munkbron,2009,-33
1010130_munkbron,2010,-33
1010130_munkbron,2011,-16
1010130_munkbron,2012,5
1010130_munkbron,2013,-3
1010130_munkbron,2014,5
1010140_stortorget,2000,-4
1010140_stortorget,2001,-13
1010140_stortorget,2002,-23
1010140_stortorget,2003,-1
1010140_stortorget,2004,-7
1010140_stortorget,2005,-2
1010140_stortorget,2006,-5
1010140_stortorget,2007,-35
1010140_stortorget,2008,-32
1010140_stortorget,2009,-24
1010140_stortorget,2010,-34
1010140_stortorget,2011,-64
1010140_stortorget,2012,-58
1010140_stortorget,2013,-36
1010140_stortorget,2014,-47
1010201_centralstationen_n,2000,0
1010201_centralstationen_n,2001,-17
1010201_centralstationen_n,2002,-32
1010201_centralstationen_n,2003,-41
1010201_centralstationen_n,2004,-42
1010201_centralstationen_n,2005,-47
1010201_centralstationen_n,2006,-66
1010201_centralstationen_n,2007,-70
1010201_centralstationen_n,2008,-92
1010201_centralstationen_n,2009,-107
1010201_centralstationen_n,2010,-121
1010201_centralstationen_n,2011,-133
1010201_centralstationen_n,2012,-138
1010201_centralstationen_n,2013,-154
1010201_centralstationen_n,2014,-172
1010220_klara_kyrka,2000,6
1010220_klara_kyrka,2001,2
1010220_klara_kyrka,2002,59
1010220_klara_kyrka,2003,71
1010220_klara_kyrka,2004,71
1010220_klara_kyrka,2005,64
1010220_klara_kyrka,2006,64
1010220_klara_kyrka,2007,62
1010220_klara_kyrka,2008,66
1010220_klara_kyrka,2009,73
1010220_klara_kyrka,2010,71
1010220_klara_kyrka,2011,49
1010220_klara_kyrka,2012,55
1010220_klara_kyrka,2013,49
1010220_klara_kyrka,2014,41
1010230_centralposten,2000,-11
1010230_centralposten,2001,-14
1010230_centralposten,2002,-8
1010230_centralposten,2003,91
1010230_centralposten,2004,94
1010230_centralposten,2005,91
1010230_centralposten,2006,90
1010230_centralposten,2007,88
1010230_centralposten,2008,91
1010230_centralposten,2009,103
1010230_centralposten,2010,105
1010230_centralposten,2011,103
1010230_centralposten,2012,119
1010230_centralposten,2013,124
1010230_centralposten,2014,116
1010240_oscarsteatern,2000,1
1010240_oscarsteatern,2001,-21
1010240_oscarsteatern,2002,-16
1010240_oscarsteatern,2003,-26
1010240_oscarsteatern,2004,-32
1010240_oscarsteatern,2005,-40
1010240_oscarsteatern,2006,-56
1010240_oscarsteatern,2007,-74
1010240_oscarsteatern,2008,-77
1010240_oscarsteatern,2009,-75
1010240_oscarsteatern,2010,-75
1010240_oscarsteatern,2011,-33
1010240_oscarsteatern,2012,-46
1010240_oscarsteatern,2013,-59
1010240_oscarsteatern,2014,-69
1010250_brunkeberg,2000,2
1010250_brunkeberg,2001,-6
1010250_brunkeberg,2002,-18
1010250_brunkeberg,2003,-25
1010250_brunkeberg,2004,-29
1010250_brunkeberg,2005,-30
1010250_brunkeberg,2006,-45
1010250_brunkeberg,2007,-56
1010250_brunkeberg,2008,-58
1010250_brunkeberg,2009,-57
1010250_brunkeberg,2010,-59
1010250_brunkeberg,2011,-56
1010250_brunkeberg,2012,-56
1010250_brunkeberg,2013,-60
1010250_brunkeberg,2014,-60
1010290_oxtorget,2000,-4
1010290_oxtorget,2001,-20
1010290_oxtorget,2002,-24
1010290_oxtorget,2003,11
1010290_oxtorget,2004,16
1010290_oxtorget,2005,5
1010290_oxtorget,2006,9
1010290_oxtorget,2007,4
1010290_oxtorget,2008,-2
1010290_oxtorget,2009,17
1010290_oxtorget,2010,10
1010290_oxtorget,2011,-10
1010290_oxtorget,2012,-10
1010290_oxtorget,2013,-20
1010290_oxtorget,2014,-41
1010310_norrlandsgatan,2000,3
1010310_norrlandsgatan,2001,-2
1010310_norrlandsgatan,2002,26
1010310_norrlandsgatan,2003,35
1010310_norrlandsgatan,2004,38
1010310_norrlandsgatan,2005,32
1010310_norrlandsgatan,2006,46
1010310_norrlandsgatan,2007,50
1010310_norrlandsgatan,2008,45
1010310_norrlandsgatan,2009,35
1010310_norrlandsgatan,2010,48
1010310_norrlandsgatan,2011,47
1010310_norrlandsgatan,2012,69
1010310_norrlandsgatan,2013,88
1010310_norrlandsgatan,2014,99
1110111_brunnsgatan_n,2000,-8
1110111_brunnsgatan_n,2001,-17
1110111_brunnsgatan_n,2002,-2
1110111_brunnsgatan_n,2003,3
1110111_brunnsgatan_n,2004,-1
1110111_brunnsgatan_n,2005,3
1110111_brunnsgatan_n,2006,5
1110111_brunnsgatan_n,2007,-3
1110111_brunnsgatan_n,2008,-9
1110111_brunnsgatan_n,2009,5
1110111_brunnsgatan_n,2010,27
1110111_brunnsgatan_n,2011,17
1110111_brunnsgatan_n,2012,21
1110111_brunnsgatan_n,2013,16
1110111_brunnsgatan_n,2014,13
1110112_brunnsgatan_s,2000,28
1110112_brunnsgatan_s,2001,72
1110112_brunnsgatan_s,2002,71
