basomrade,year,cumulative_immigration_surplus_female
1010120_skeppsbron,2000,-1
1010120_skeppsbron,2001,5
1010120_skeppsbron,2002,18
1010120_skeppsbron,2003,11
1010120_skeppsbron,2004,15
1010120_skeppsbron,2005,13
1010120_skeppsbron,2006,16
1010120_skeppsbron,2007,23
1010120_skeppsbron,2008,18
1010120_skeppsbron,2009,10
1010120_skeppsbron,2010,12
1010120_skeppsbron,2011,16
1010120_skeppsbron,2012,12
1010120_skeppsbron,2013,15
1010120_skeppsbron,2014,23
1010130_munkbron,2000,-1
1010130_munkbron,2001,16
1010130_munkbron,2002,-11
1010130_munkbron,2003,-29
1010130_munkbron,2004,-35
1010130_munkbron,2005,-20
1010130_munkbron,2006,-11
1010130_munkbron,2007,-16
1010130_munkbron,2008,-22
1010130_munkbron,2009,-12
1010130_munkbron,2010,-15
1010130_munkbron,2011,-6
1010130_munkbron,2012,0
1010130_munkbron,2013,-16
1010130_munkbron,2014,-3
1010140_stortorget,2000,16
1010140_stortorget,2001,6
1010140_stortorget,2002,-8
1010140_stortorget,2003,10
1010140_stortorget,2004,5
1010140_stortorget,2005,14
1010140_stortorget,2006,5
1010140_stortorget,2007,-14
1010140_stortorget,2008,-14
1010140_stortorget,2009,0
1010140_stortorget,2010,-6
1010140_stortorget,2011,-25
1010140_stortorget,2012,-19
1010140_stortorget,2013,-8
1010140_stortorget,2014,-20
1010201_centralstationen_n,2000,-1
1010201_centralstationen_n,2001,-10
1010201_centralstationen_n,2002,-16
1010201_centralstationen_n,2003,-18
1010201_centralstationen_n,2004,-18
1010201_centralstationen_n,2005,-17
1010201_centralstationen_n,2006,-24
1010201_centralstationen_n,2007,-31
1010201_centralstationen_n,2008,-42
1010201_centralstationen_n,2009,-52
1010201_centralstationen_n,2010,-54
1010201_centralstationen_n,2011,-59
1010201_centralstationen_n,2012,-66
1010201_centralstationen_n,2013,-78
1010201_centralstationen_n,2014,-80
1010220_klara_kyrka,2000,2
1010220_klara_kyrka,2001,2
1010220_klara_kyrka,2002,31
1010220_klara_kyrka,2003,39
1010220_klara_kyrka,2004,40
1010220_klara_kyrka,2005,33
1010220_klara_kyrka,2006,34
1010220_klara_kyrka,2007,34
1010220_klara_kyrka,2008,36
1010220_klara_kyrka,2009,41
1010220_klara_kyrka,2010,37
1010220_klara_kyrka,2011,31
1010220_klara_kyrka,2012,29
1010220_klara_kyrka,2013,25
1010220_klara_kyrka,2014,20
1010230_centralposten,2000,-13
1010230_centralposten,2001,-12
1010230_centralposten,2002,-8
1010230_centralposten,2003,32
1010230_centralposten,2004,24
1010230_centralposten,2005,25
1010230_centralposten,2006,23
1010230_centralposten,2007,20
1010230_centralposten,2008,18
1010230_centralposten,2009,27
1010230_centralposten,2010,32
1010230_centralposten,2011,33
1010230_centralposten,2012,41
1010230_centralposten,2013,46
1010230_centralposten,2014,37
1010240_oscarsteatern,2000,2
1010240_oscarsteatern,2001,-5
1010240_oscarsteatern,2002,0
1010240_oscarsteatern,2003,-8
1010240_oscarsteatern,2004,-10
1010240_oscarsteatern,2005,-16
1010240_oscarsteatern,2006,-28
1010240_oscarsteatern,2007,-42
1010240_oscarsteatern,2008,-42
1010240_oscarsteatern,2009,-43
1010240_oscarsteatern,2010,-40
1010240_oscarsteatern,2011,-22
1010240_oscarsteatern,2012,-29
1010240_oscarsteatern,2013,-32
1010240_oscarsteatern,2014,-37
1010250_brunkeberg,2000,-2
1010250_brunkeberg,2001,-9
1010250_brunkeberg,2002,-16
1010250_brunkeberg,2003,-19
1010250_brunkeberg,2004,-22
1010250_brunkeberg,2005,-19
1010250_brunkeberg,2006,-24
1010250_brunkeberg,2007,-29
1010250_brunkeberg,2008,-29
1010250_brunkeberg,2009,-29
1010250_brunkeberg,2010,-26
1010250_brunkeberg,2011,-24
1010250_brunkeberg,2012,-23
1010250_brunkeberg,2013,-25
1010250_brunkeberg,2014,-29
1010290_oxtorget,2000,-2
1010290_oxtorget,2001,-15
1010290_oxtorget,2002,-18
1010290_oxtorget,2003,-9
1010290_oxtorget,2004,-9
1010290_oxtorget,2005,-11
1010290_oxtorget,2006,-16
1010290_oxtorget,2007,-23
1010290_oxtorget,2008,-23
1010290_oxtorget,2009,-17
1010290_oxtorget,2010,-13
1010290_oxtorget,2011,-17
1010290_oxtorget,2012,-14
1010290_oxtorget,2013,-25
1010290_oxtorget,2014,-32
1010310_norrlandsgatan,2000,2
1010310_norrlandsgatan,2001,0
1010310_norrlandsgatan,2002,17
1010310_norrlandsgatan,2003,14
1010310_norrlandsgatan,2004,17
1010310_norrlandsgatan,2005,9
1010310_norrlandsgatan,2006,9
1010310_norrlandsgatan,2007,9
1010310_norrlandsgatan,2008,7
1010310_norrlandsgatan,2009,8
1010310_norrlandsgatan,2010,14
1010310_norrlandsgatan,2011,14
1010310_norrlandsgatan,2012,19
1010310_norrlandsgatan,2013,24
1010310_norrlandsgatan,2014,28
1110111_brunnsgatan_n,2000,-1
1110111_brunnsgatan_n,2001,-10
1110111_brunnsgatan_n,2002,-14
1110111_brunnsgatan_n,2003,-19
1110111_brunnsgatan_n,2004,-17
1110111_brunnsgatan_n,2005,-4
1110111_brunnsgatan_n,2006,-11
1110111_brunnsgatan_n,2007,-7
1110111_brunnsgatan_n,2008,-9
1110111_brunnsgatan_n,2009,-12
1110111_brunnsgatan_n,2010,-1
1110111_brunnsgatan_n,2011,-7
1110111_brunnsgatan_n,2012,0
1110111_brunnsgatan_n,2013,5
1110111_brunnsgatan_n,2014,1
1110112_brunnsgatan_s,2000,21
1110112_brunnsgatan_s,2001,59
1110112_brunnsgatan_s,2002,62
1110112_brunnsgatan_s,2003,81
1110112_brunnsgatan_s,2004,78
1110112_brunnsgatan_s,2005,94
1110112_brunnsgatan_s,2006,104
1110112_brunnsgatan_s,2007,129
1110112_brunnsgatan_s,2008,146
1110112_brunnsgatan_s,2009,151
1110112_brunnsgatan_s,2010,158
1110112_brunnsgatan_s,2011,163
1110112_brunnsgatan_s,2012,184
1110112_brunnsgatan_s,2013,200
1110112_brunnsgatan_s,2014,207
1110120_johannes_kyrka,2000,-2
1110120_johannes_kyrka,2001,-32
1110120_johannes_kyrka,2002,-30
1110120_johannes_kyrka,2003,-6
1110120_johannes_kyrka,2004,-23
1110120_johannes_kyrka,2005,-13
1110120_johannes_kyrka,2006,-37
1110120_johannes_kyrka,2007,-35
1110120_johannes_kyrka,2008,-44
1110120_johannes_kyrka,2009,-43
1110120_johannes_kyrka,2010,-44
1110120_johannes_kyrka,2011,-52
1110120_johannes_kyrka,2012,-57
1110120_johannes_kyrka,2013,-59
1110120_johannes_kyrka,2014,-62
1110210_wenner_gren_center,2000,-11
1110210_wenner_gren_center,2001,-30
1110210_wenner_gren_center,2002,-47
1110210_wenner_gren_center,2003,-59
1110210_wenner_gren_center,2004,-73
1110210_wenner_gren_center,2005,-91
1110210_wenner_gren_center,2006,-103
1110210_wenner_gren_center,2007,-128
1110210_wenner_gren_center,2008,-120
1110210_wenner_gren_center,2009,-141
1110210_wenner_gren_center,2010,-133
1110210_wenner_gren_center,2011,-143
1110210_wenner_gren_center,2012,-130
1110210_wenner_gren_center,2013,-126
1110210_wenner_gren_center,2014,-125
1110220_vanadislunden,2000,17
1110220_vanadislunden,2001,39
1110220_vanadislunden,2002,15
1110220_vanadislunden,2003,-2
1110220_vanadislunden,2004,-11
1110220_vanadislunden,2005,-13
1110220_vanadislunden,2006,-26
1110220_vanadislunden,2007,-81
1110220_vanadislunden,2008,-35
1110220_vanadislunden,2009,-108
1110220_vanadislunden,2010,-98
1110220_vanadislunden,2011,-79
1110220_vanadislunden,2012,-50
1110220_vanadislunden,2013,-46
1110220_vanadislunden,2014,-78
1110230_surbrunnsomradet,2000,13
1110230_surbrunnsomradet,2001,1
1110230_surbrunnsomradet,2002,-27
1110230_surbrunnsomradet,2003,-2
1110230_surbrunnsomradet,2004,-8
1110230_surbrunnsomradet,2005,-28
1110230_surbrunnsomradet,2006,-36
1110230_surbrunnsomradet,2007,-45
1110230_surbrunnsomradet,2008,-24
1110230_surbrunnsomradet,2009,-40
1110230_surbrunnsomradet,2010,-43
1110230_surbrunnsomradet,2011,-36
1110230_surbrunnsomradet,2012,-31
1110230_surbrunnsomradet,2013,0
1110230_surbrunnsomradet,2014,19
1110240_norra_real,2000,-5
1110240_norra_real,2001,-5
1110240_norra_real,2002,-17
1110240_norra_real,2003,-12
