basomrade,year,cumulative_immigration_surplus_min_3_years_of_higher_education_aged_25_64
1010120_skeppsbron,2000,6
1010120_skeppsbron,2001,3
1010120_skeppsbron,2002,5
1010120_skeppsbron,2003,-1
1010120_skeppsbron,2004,-7
1010120_skeppsbron,2005,-10
1010120_skeppsbron,2006,-6
1010120_skeppsbron,2007,0
1010120_skeppsbron,2008,-3
1010120_skeppsbron,2009,-10
1010120_skeppsbron,2010,-6
1010120_skeppsbron,2011,2
1010120_skeppsbron,2012,-7
1010120_skeppsbron,2013,-5
1010120_skeppsbron,2014,9
1010130_munkbron,2000,10
1010130_munkbron,2001,14
1010130_munkbron,2002,-1
1010130_munkbron,2003,-18
1010130_munkbron,2004,-21
1010130_munkbron,2005,-34
1010130_munkbron,2006,-27
1010130_munkbron,2007,-24
1010130_munkbron,2008,-20
1010130_munkbron,2009,-21
1010130_munkbron,2010,-24
1010130_munkbron,2011,-11
1010130_munkbron,2012,0
1010130_munkbron,2013,-3
1010130_munkbron,2014,15
1010140_stortorget,2000,-3
1010140_stortorget,2001,-7
1010140_stortorget,2002,-1
1010140_stortorget,2003,0
1010140_stortorget,2004,-4
1010140_stortorget,2005,-8
1010140_stortorget,2006,-9
1010140_stortorget,2007,-23
1010140_stortorget,2008,-23
1010140_stortorget,2009,-12
1010140_stortorget,2010,-10
1010140_stortorget,2011,-26
1010140_stortorget,2012,-31
1010140_stortorget,2013,-33
1010140_stortorget,2014,-39
1010201_centralstationen_n,2000,1
1010201_centralstationen_n,2001,-9
1010201_centralstationen_n,2002,-23
1010201_centralstationen_n,2003,-25
1010201_centralstationen_n,2004,-28
1010201_centralstationen_n,2005,-35
1010201_centralstationen_n,2006,-34
1010201_centralstationen_n,2007,-36
1010201_centralstationen_n,2008,-48
1010201_centralstationen_n,2009,-49
1010201_centralstationen_n,2010,-59
1010201_centralstationen_n,2011,-62
1010201_centralstationen_n,2012,-69
1010201_centralstationen_n,2013,-88
1010201_centralstationen_n,2014,-95
1010220_klara_kyrka,2000,3
1010220_klara_kyrka,2001,3
1010220_klara_kyrka,2002,31
1010220_klara_kyrka,2003,41
1010220_klara_kyrka,2004,38
1010220_klara_kyrka,2005,37
1010220_klara_kyrka,2006,37
1010220_klara_kyrka,2007,37
1010220_klara_kyrka,2008,35
1010220_klara_kyrka,2009,38
1010220_klara_kyrka,2010,33
1010220_klara_kyrka,2011,29
1010220_klara_kyrka,2012,30
1010220_klara_kyrka,2013,30
1010220_klara_kyrka,2014,30
1010230_centralposten,2000,-4
1010230_centralposten,2001,-4
1010230_centralposten,2002,-4
1010230_centralposten,2003,37
1010230_centralposten,2004,35
1010230_centralposten,2005,44
1010230_centralposten,2006,44
1010230_centralposten,2007,37
1010230_centralposten,2008,43
1010230_centralposten,2009,41
1010230_centralposten,2010,32
1010230_centralposten,2011,28
1010230_centralposten,2012,36
1010230_centralposten,2013,39
1010230_centralposten,2014,37
1010240_oscarsteatern,2000,7
1010240_oscarsteatern,2001,2
1010240_oscarsteatern,2002,9
1010240_oscarsteatern,2003,-3
1010240_oscarsteatern,2004,4
1010240_oscarsteatern,2005,-1
1010240_oscarsteatern,2006,-8
1010240_oscarsteatern,2007,-17
1010240_oscarsteatern,2008,-16
1010240_oscarsteatern,2009,-26
1010240_oscarsteatern,2010,-24
1010240_oscarsteatern,2011,-13
1010240_oscarsteatern,2012,-21
1010240_oscarsteatern,2013,-28
1010240_oscarsteatern,2014,-43
1010250_brunkeberg,2000,2
1010250_brunkeberg,2001,10
1010250_brunkeberg,2002,3
1010250_brunkeberg,2003,9
1010250_brunkeberg,2004,6
1010250_brunkeberg,2005,4
1010250_brunkeberg,2006,2
1010250_brunkeberg,2007,2
1010250_brunkeberg,2008,-5
1010250_brunkeberg,2009,-2
1010250_brunkeberg,2010,6
1010250_brunkeberg,2011,3
1010250_brunkeberg,2012,0
1010250_brunkeberg,2013,-5
1010250_brunkeberg,2014,-7
1010290_oxtorget,2000,1
1010290_oxtorget,2001,-1
1010290_oxtorget,2002,4
1010290_oxtorget,2003,19
1010290_oxtorget,2004,20
1010290_oxtorget,2005,8
1010290_oxtorget,2006,12
1010290_oxtorget,2007,3
1010290_oxtorget,2008,8
1010290_oxtorget,2009,13
1010290_oxtorget,2010,11
1010290_oxtorget,2011,5
1010290_oxtorget,2012,2
1010290_oxtorget,2013,5
1010290_oxtorget,2014,2
1010310_norrlandsgatan,2000,-3
1010310_norrlandsgatan,2001,-3
1010310_norrlandsgatan,2002,6
1010310_norrlandsgatan,2003,2
1010310_norrlandsgatan,2004,2
1010310_norrlandsgatan,2005,5
1010310_norrlandsgatan,2006,15
1010310_norrlandsgatan,2007,11
1010310_norrlandsgatan,2008,8
1010310_norrlandsgatan,2009,7
1010310_norrlandsgatan,2010,7
1010310_norrlandsgatan,2011,3
1010310_norrlandsgatan,2012,7
1010310_norrlandsgatan,2013,12
1010310_norrlandsgatan,2014,12
1110111_brunnsgatan_n,2000,7
1110111_brunnsgatan_n,2001,-3
1110111_brunnsgatan_n,2002,16
1110111_brunnsgatan_n,2003,17
1110111_brunnsgatan_n,2004,7
1110111_brunnsgatan_n,2005,-2
1110111_brunnsgatan_n,2006,-15
1110111_brunnsgatan_n,2007,-26
1110111_brunnsgatan_n,2008,-33
1110111_brunnsgatan_n,2009,-26
1110111_brunnsgatan_n,2010,-20
1110111_brunnsgatan_n,2011,-33
1110111_brunnsgatan_n,2012,-35
1110111_brunnsgatan_n,2013,-44
1110111_brunnsgatan_n,2014,-38
1110112_brunnsgatan_s,2000,-1
1110112_brunnsgatan_s,2001,6
1110112_brunnsgatan_s,2002,6
1110112_brunnsgatan_s,2003,6
1110112_brunnsgatan_s,2004,2
1110112_brunnsgatan_s,2005,11
1110112_brunnsgatan_s,2006,17
1110112_brunnsgatan_s,2007,12
1110112_brunnsgatan_s,2008,15
1110112_brunnsgatan_s,2009,15
1110112_brunnsgatan_s,2010,19
1110112_brunnsgatan_s,2011,26
1110112_brunnsgatan_s,2012,18
1110112_brunnsgatan_s,2013,19
1110112_brunnsgatan_s,2014,25
1110120_johannes_kyrka,2000,-6
1110120_johannes_kyrka,2001,-12
1110120_johannes_kyrka,2002,-5
1110120_johannes_kyrka,2003,11
1110120_johannes_kyrka,2004,6
1110120_johannes_kyrka,2005,4
1110120_johannes_kyrka,2006,-4
1110120_johannes_kyrka,2007,20
1110120_johannes_kyrka,2008,9
1110120_johannes_kyrka,2009,18
1110120_johannes_kyrka,2010,22
1110120_johannes_kyrka,2011,22
1110120_johannes_kyrka,2012,30
1110120_johannes_kyrka,2013,27
1110120_johannes_kyrka,2014,34
1110210_wenner_gren_center,2000,-10
1110210_wenner_gren_center,2001,-19
1110210_wenner_gren_center,2002,-39
1110210_wenner_gren_center,2003,-53
1110210_wenner_gren_center,2004,-66
1110210_wenner_gren_center,2005,-73
1110210_wenner_gren_center,2006,-91
1110210_wenner_gren_center,2007,-119
1110210_wenner_gren_center,2008,-102
1110210_wenner_gren_center,2009,-122
1110210_wenner_gren_center,2010,-102
1110210_wenner_gren_center,2011,-103
1110210_wenner_gren_center,2012,-97
1110210_wenner_gren_center,2013,-91
1110210_wenner_gren_center,2014,-70
1110220_vanadislunden,2000,28
1110220_vanadislunden,2001,45
1110220_vanadislunden,2002,39
1110220_vanadislunden,2003,52
1110220_vanadislunden,2004,19
1110220_vanadislunden,2005,-11
1110220_vanadislunden,2006,5
1110220_vanadislunden,2007,-6
1110220_vanadislunden,2008,30
1110220_vanadislunden,2009,29
1110220_vanadislunden,2010,28
1110220_vanadislunden,2011,38
1110220_vanadislunden,2012,6
1110220_vanadislunden,2013,-41
1110220_vanadislunden,2014,-61
1110230_surbrunnsomradet,2000,12
1110230_surbrunnsomradet,2001,-13
1110230_surbrunnsomradet,2002,-20
1110230_surbrunnsomradet,2003,-25
1110230_surbrunnsomradet,2004,5
1110230_surbrunnsomradet,2005,-23
1110230_surbrunnsomradet,2006,-33
1110230_surbrunnsomradet,2007,-26
1110230_surbrunnsomradet,2008,-24
1110230_surbrunnsomradet,2009,-41
1110230_surbrunnsomradet,2010,-13
1110230_surbrunnsomradet,2011,13
1110230_surbrunnsomradet,2012,8
1110230_surbrunnsomradet,2013,47
1110230_surbrunnsomradet,2014,57
1110240_norra_real,2000,-1
1110240_norra_real,2001,19
1110240_norra_real,2002,31
1110240_norra_real,2003,34
1110240_norra_real,2004,54
1110240_norra_real,2005,62
1110240_norra_real,2006,64
1110240_norra_real,2007,47
1110240_norra_real,2008,36
1110240_norra_real,2009,41
1110240_norra_real,2010,49
1110240_norra_real,2011,45
1110240_norra_real,2012,36
1110240_norra_real,2013,37
1110240_norra_real,2014,22
1110250_elverket,2000,7
1110250_elverket,2001,14
1110250_elverket,2002,12
1110250_elverket,2003,12
1110250_elverket,2004,17
1110250_elverket,2005,21
1110250_elverket,2006,23
1110250_elverket,2007,23
1110250_elverket,2008,20
1110250_elverket,2009,22
1110250_elverket,2010,24
1110250_elverket,2011,22
1110250_elverket,2012,22
1110250_elverket,2013,16
1110250_elverket,2014,8
1120110_tegnerlunden,2000,-1
1120110_tegnerlunden,2001,-10
1120110_tegnerlunden,2002,20
1120110_tegnerlunden,2003,11
1120110_tegnerlunden,2004,-3
1120110_tegnerlunden,2005,11
1120110_tegnerlunden,2006,24
1120110_tegnerlunden,2007,29
1120110_tegnerlunden,2008,18
1120110_tegnerlunden,2009,3
1120110_tegnerlunden,2010,-16
1120110_tegnerlunden,2011,1
1120110_tegnerlunden,2012,-24
1120110_tegnerlunden,2013,-26
1120110_tegnerlunden,2014,-24
1120120_tandlakarhogskolan,2000,-12
1120120_tandlakarhogskolan,2001,-17
1120120_tandlakarhogskolan,2002,-18
1120120_tandlakarhogskolan,2003,-32
1120120_tandlakarhogskolan,2004,-39
1120120_tandlakarhogskolan,2005,-59
1120120_tandlakarhogskolan,2006,-68
1120120_tandlakarhogskolan,2007,-86
1120120_tandlakarhogskolan,2008,-87
1120120_tandlakarhogskolan,2009,-100
1120120_tandlakarhogskolan,2010,-112
1120120_tandlakarhogskolan,2011,-116
1120120_tandlakarhogskolan,2012,-120
1120120_tandlakarhogskolan,2013,-118
1120120_tandlakarhogskolan,2014,-123
1120131_norra_bantorget_o,2000,3
1120131_norra_bantorget_o,2001,0
1120131_norra_bantorget_o,2002,-10
1120131_norra_bantorget_o,2003,-7
1120131_norra_bantorget_o,2004,-4
1120131_norra_bantorget_o,2005,7
1120131_norra_bantorget_o,2006,10
1120131_norra_bantorget_o,2007,9
1120131_norra_bantorget_o,2008,49
1120131_norra_bantorget_o,2009,73
1120131_norra_bantorget_o,2010,68
1120131_norra_bantorget_o,2011,62
1120131_norra_bantorget_o,2012,69
1120131_norra_bantorget_o,2013,64
1120131_norra_bantorget_o,2014,79
1120132_norra_bantorget_v,2010,19
1120132_norra_bantorget_v,2011,19
1120132_norra_bantorget_v,2012,15
1120132_norra_bantorget_v,2013,16
1120132_norra_bantorget_v,2014,20
1120140_adolf_fredriks_kyrka,2000,-2
1120140_adolf_fredriks_kyrka,2001,-11
1120140_adolf_fredriks_kyrka,2002,-11
1120140_adolf_fredriks_kyrka,2003,-7
1120140_adolf_fredriks_kyrka,2004,1
1120140_adolf_fredriks_kyrka,2005,12
1120140_adolf_fredriks_kyrka,2006,7
1120140_adolf_fredriks_kyrka,2007,12
1120140_adolf_fredriks_kyrka,2008,24
1120140_adolf_fredriks_kyrka,2009,15
1120140_adolf_fredriks_kyrka,2010,14
1120140_adolf_fredriks_kyrka,2011,14
1120140_adolf_fredriks_kyrka,2012,6
1120140_adolf_fredriks_kyrka,2013,17
1120140_adolf_fredriks_kyrka,2014,32
1120150_skandiahuset,2000,0
1120150_skandiahuset,2001,1
1120150_skandiahuset,2002,-7
1120150_skandiahuset,2003,-1
1120150_skandiahuset,2004,-2
1120150_skandiahuset,2005,8
1120150_skandiahuset,2006,4
1120150_skandiahuset,2007,16
1120150_skandiahuset,2008,11
1120150_skandiahuset,2009,11
1120150_skandiahuset,2010,14
1120150_skandiahuset,2011,11
1120150_skandiahuset,2012,21
1120150_skandiahuset,2013,15
1120150_skandiahuset,2014,0
1120210_kungsstenen,2000,-2
1120210_kungsstenen,2001,3
1120210_kungsstenen,2002,-4
1120210_kungsstenen,2003,-17
1120210_kungsstenen,2004,-3
1120210_kungsstenen,2005,0
1120210_kungsstenen,2006,8
1120210_kungsstenen,2007,30
