basomrade,year,employment_rate_aged_20_64_female
4111110_norra_runby,2000,0.80328
4111110_norra_runby,2001,0.80196
4111110_norra_runby,2002,0.80066
4111110_norra_runby,2003,0.76139
4111110_norra_runby,2004,0.75602
4111110_norra_runby,2005,0.78809
4111110_norra_runby,2006,0.79083
4111110_norra_runby,2007,0.78947
4111110_norra_runby,2008,0.78394
4111110_norra_runby,2009,0.75459
4111110_norra_runby,2010,0.78029
4111110_norra_runby,2011,0.77974
4111110_norra_runby,2012,0.79421
4111110_norra_runby,2013,0.78364
4111110_norra_runby,2014,0.76085
4111120_sodra_runby,2000,0.81481
4111120_sodra_runby,2001,0.85821
4111120_sodra_runby,2002,0.864
4111120_sodra_runby,2003,0.84167
4111120_sodra_runby,2004,0.84167
4111120_sodra_runby,2005,0.82927
4111120_sodra_runby,2006,0.82946
4111120_sodra_runby,2007,0.81739
4111120_sodra_runby,2008,0.86508
4111120_sodra_runby,2009,0.83065
4111120_sodra_runby,2010,0.81746
4111120_sodra_runby,2011,0.86047
4111120_sodra_runby,2012,0.89474
4111120_sodra_runby,2013,0.84733
4111120_sodra_runby,2014,0.9
4111130_runby_lovsta,2000,0.8136
4111130_runby_lovsta,2001,0.80412
4111130_runby_lovsta,2002,0.78811
4111130_runby_lovsta,2003,0.78892
4111130_runby_lovsta,2004,0.79339
4111130_runby_lovsta,2005,0.79944
4111130_runby_lovsta,2006,0.79944
4111130_runby_lovsta,2007,0.81899
4111130_runby_lovsta,2008,0.80117
4111130_runby_lovsta,2009,0.82263
4111130_runby_lovsta,2010,0.81424
4111130_runby_lovsta,2011,0.78932
4111130_runby_lovsta,2012,0.80712
4111130_runby_lovsta,2013,0.82006
4111130_runby_lovsta,2014,0.82012
4111140_prastgardsmarken,2000,0.78689
4111140_prastgardsmarken,2001,0.803
4111140_prastgardsmarken,2002,0.79167
4111140_prastgardsmarken,2003,0.77944
4111140_prastgardsmarken,2004,0.78131
4111140_prastgardsmarken,2005,0.77893
4111140_prastgardsmarken,2006,0.78632
4111140_prastgardsmarken,2007,0.78279
4111140_prastgardsmarken,2008,0.78243
4111140_prastgardsmarken,2009,0.76842
4111140_prastgardsmarken,2010,0.76149
4111140_prastgardsmarken,2011,0.77007
4111140_prastgardsmarken,2012,0.74627
4111140_prastgardsmarken,2013,0.75054
4111140_prastgardsmarken,2014,0.71608
4111900_eds_glesbygd,2000,0.79592
4111900_eds_glesbygd,2001,0.81081
4111900_eds_glesbygd,2002,0.79452
4111900_eds_glesbygd,2003,0.76429
4111900_eds_glesbygd,2004,0.8
4111900_eds_glesbygd,2005,0.82517
4111900_eds_glesbygd,2006,0.8042
4111900_eds_glesbygd,2007,0.80153
4111900_eds_glesbygd,2008,0.8626
4111900_eds_glesbygd,2009,0.82203
4111900_eds_glesbygd,2010,0.84615
4111900_eds_glesbygd,2011,0.77372
4111900_eds_glesbygd,2012,0.83459
4111900_eds_glesbygd,2013,0.81343
4111900_eds_glesbygd,2014,0.83721
4122100_lowenstromska_sjukhuset,2000,0.68927
4122100_lowenstromska_sjukhuset,2001,0.72093
4122100_lowenstromska_sjukhuset,2002,0.75269
4122100_lowenstromska_sjukhuset,2003,0.74033
4122100_lowenstromska_sjukhuset,2004,0.67416
4122100_lowenstromska_sjukhuset,2005,0.69767
4122100_lowenstromska_sjukhuset,2006,0.74522
4122100_lowenstromska_sjukhuset,2007,0.71895
4122100_lowenstromska_sjukhuset,2008,0.68519
4122100_lowenstromska_sjukhuset,2009,0.60403
4122100_lowenstromska_sjukhuset,2010,0.67347
4122100_lowenstromska_sjukhuset,2011,0.67974
4122100_lowenstromska_sjukhuset,2012,0.68387
4122100_lowenstromska_sjukhuset,2013,0.63636
4122100_lowenstromska_sjukhuset,2014,0.63584
4122210_norra_vilunda,2000,0.81953
4122210_norra_vilunda,2001,0.84545
4122210_norra_vilunda,2002,0.84709
4122210_norra_vilunda,2003,0.82716
4122210_norra_vilunda,2004,0.80503
4122210_norra_vilunda,2005,0.83601
4122210_norra_vilunda,2006,0.82315
4122210_norra_vilunda,2007,0.82201
4122210_norra_vilunda,2008,0.82736
4122210_norra_vilunda,2009,0.81731
4122210_norra_vilunda,2010,0.82508
4122210_norra_vilunda,2011,0.83673
4122210_norra_vilunda,2012,0.81605
4122210_norra_vilunda,2013,0.82237
4122210_norra_vilunda,2014,0.82095
4122230_apoteksskogen,2000,0.73123
4122230_apoteksskogen,2001,0.75033
4122230_apoteksskogen,2002,0.74576
4122230_apoteksskogen,2003,0.71175
4122230_apoteksskogen,2004,0.69932
4122230_apoteksskogen,2005,0.68994
4122230_apoteksskogen,2006,0.6898
4122230_apoteksskogen,2007,0.71019
4122230_apoteksskogen,2008,0.71
4122230_apoteksskogen,2009,0.68511
4122230_apoteksskogen,2010,0.64978
4122230_apoteksskogen,2011,0.68175
4122230_apoteksskogen,2012,0.69031
4122230_apoteksskogen,2013,0.68742
4122230_apoteksskogen,2014,0.68519
4122240_vasbyskogen,2000,0.707
4122240_vasbyskogen,2001,0.71179
4122240_vasbyskogen,2002,0.68328
4122240_vasbyskogen,2003,0.68391
4122240_vasbyskogen,2004,0.66567
4122240_vasbyskogen,2005,0.64955
4122240_vasbyskogen,2006,0.65895
4122240_vasbyskogen,2007,0.67818
4122240_vasbyskogen,2008,0.67308
4122240_vasbyskogen,2009,0.6176
4122240_vasbyskogen,2010,0.62736
4122240_vasbyskogen,2011,0.64297
4122240_vasbyskogen,2012,0.62618
4122240_vasbyskogen,2013,0.63679
4122240_vasbyskogen,2014,0.63511
4122310_korpkulla,2000,0.76555
4122310_korpkulla,2001,0.78206
4122310_korpkulla,2002,0.76596
4122310_korpkulla,2003,0.75493
4122310_korpkulla,2004,0.73654
4122310_korpkulla,2005,0.73846
4122310_korpkulla,2006,0.7714
4122310_korpkulla,2007,0.77622
4122310_korpkulla,2008,0.76994
4122310_korpkulla,2009,0.76365
4122310_korpkulla,2010,0.7655
4122310_korpkulla,2011,0.78584
4122310_korpkulla,2012,0.78169
4122310_korpkulla,2013,0.76032
4122310_korpkulla,2014,0.77867
4122340_vilunda,2000,0.57143
4122340_vilunda,2001,0.58966
4122340_vilunda,2002,0.60035
4122340_vilunda,2003,0.57914
4122340_vilunda,2004,0.56801
4122340_vilunda,2005,0.55323
4122340_vilunda,2006,0.54563
4122340_vilunda,2007,0.5509
4122340_vilunda,2008,0.56137
4122340_vilunda,2009,0.50823
4122340_vilunda,2010,0.5625
4122340_vilunda,2011,0.5491
4122340_vilunda,2012,0.54617
4122340_vilunda,2013,0.56471
4122340_vilunda,2014,0.58577
4122420_norra_smedby,2000,0.72757
4122420_norra_smedby,2001,0.74359
4122420_norra_smedby,2002,0.76171
4122420_norra_smedby,2003,0.72544
4122420_norra_smedby,2004,0.70323
4122420_norra_smedby,2005,0.69231
4122420_norra_smedby,2006,0.67629
4122420_norra_smedby,2007,0.68806
4122420_norra_smedby,2008,0.6913
4122420_norra_smedby,2009,0.66954
4122420_norra_smedby,2010,0.66806
4122420_norra_smedby,2011,0.67866
4122420_norra_smedby,2012,0.68246
4122420_norra_smedby,2013,0.69149
4122420_norra_smedby,2014,0.69005
4122430_sodra_smedby,2000,0.75833
4122430_sodra_smedby,2001,0.79835
4122430_sodra_smedby,2002,0.79918
4122430_sodra_smedby,2003,0.77236
4122430_sodra_smedby,2004,0.7479
4122430_sodra_smedby,2005,0.73504
4122430_sodra_smedby,2006,0.71179
4122430_sodra_smedby,2007,0.71983
4122430_sodra_smedby,2008,0.72034
4122430_sodra_smedby,2009,0.73991
4122430_sodra_smedby,2010,0.78261
4122430_sodra_smedby,2011,0.78182
4122430_sodra_smedby,2012,0.77578
4122430_sodra_smedby,2013,0.73478
4122430_sodra_smedby,2014,0.73894
4122520_skalby,2000,0.78082
4122520_skalby,2001,0.79037
4122520_skalby,2002,0.8284
4122520_skalby,2003,0.80606
4122520_skalby,2004,0.80564
4122520_skalby,2005,0.81935
4122520_skalby,2006,0.84818
4122520_skalby,2007,0.87543
4122520_skalby,2008,0.87179
4122520_skalby,2009,0.8717
4122520_skalby,2010,0.87031
4122520_skalby,2011,0.87417
4122520_skalby,2012,0.85382
4122520_skalby,2013,0.85
4122520_skalby,2014,0.84797
4122530_carlslund,2000,0.77282
4122530_carlslund,2001,0.80196
4122530_carlslund,2002,0.77689
4122530_carlslund,2003,0.74089
4122530_carlslund,2004,0.72784
4122530_carlslund,2005,0.71429
4122530_carlslund,2006,0.74081
4122530_carlslund,2007,0.71747
4122530_carlslund,2008,0.72797
4122530_carlslund,2009,0.71107
4122530_carlslund,2010,0.68654
4122530_carlslund,2011,0.69293
4122530_carlslund,2012,0.71226
4122530_carlslund,2013,0.73521
4122530_carlslund,2014,0.75036
4122540_brunnby,2000,0.83746
4122540_brunnby,2001,0.84342
4122540_brunnby,2002,0.85305
4122540_brunnby,2003,0.82482
4122540_brunnby,2004,0.84387
4122540_brunnby,2005,0.85185
4122540_brunnby,2006,0.8386
4122540_brunnby,2007,0.84926
4122540_brunnby,2008,0.83509
4122540_brunnby,2009,0.83929
4122540_brunnby,2010,0.87546
4122540_brunnby,2011,0.89377
4122540_brunnby,2012,0.8913
4122540_brunnby,2013,0.86029
4122540_brunnby,2014,0.89338
4122600_vastra_odenslunda,2000,0.85204
4122600_vastra_odenslunda,2001,0.83117
4122600_vastra_odenslunda,2002,0.83514
4122600_vastra_odenslunda,2003,0.85154
4122600_vastra_odenslunda,2004,0.84444
4122600_vastra_odenslunda,2005,0.81768
4122600_vastra_odenslunda,2006,0.8
4122600_vastra_odenslunda,2007,0.83807
