basomrade,year,employment_rate_aged_20_64_male
4111110_norra_runby,2000,0.83574
4111110_norra_runby,2001,0.8206
4111110_norra_runby,2002,0.82048
4111110_norra_runby,2003,0.81102
4111110_norra_runby,2004,0.81561
4111110_norra_runby,2005,0.79907
4111110_norra_runby,2006,0.77156
4111110_norra_runby,2007,0.80523
4111110_norra_runby,2008,0.8125
4111110_norra_runby,2009,0.80046
4111110_norra_runby,2010,0.79473
4111110_norra_runby,2011,0.81356
4111110_norra_runby,2012,0.83633
4111110_norra_runby,2013,0.82851
4111110_norra_runby,2014,0.81068
4111120_sodra_runby,2000,0.89916
4111120_sodra_runby,2001,0.87931
4111120_sodra_runby,2002,0.88793
4111120_sodra_runby,2003,0.89655
4111120_sodra_runby,2004,0.90435
4111120_sodra_runby,2005,0.92105
4111120_sodra_runby,2006,0.9009
4111120_sodra_runby,2007,0.90741
4111120_sodra_runby,2008,0.89091
4111120_sodra_runby,2009,0.85321
4111120_sodra_runby,2010,0.82883
4111120_sodra_runby,2011,0.87179
4111120_sodra_runby,2012,0.87069
4111120_sodra_runby,2013,0.88288
4111120_sodra_runby,2014,0.86555
4111130_runby_lovsta,2000,0.83514
4111130_runby_lovsta,2001,0.84324
4111130_runby_lovsta,2002,0.84022
4111130_runby_lovsta,2003,0.81197
4111130_runby_lovsta,2004,0.80712
4111130_runby_lovsta,2005,0.79228
4111130_runby_lovsta,2006,0.78235
4111130_runby_lovsta,2007,0.81586
4111130_runby_lovsta,2008,0.83735
4111130_runby_lovsta,2009,0.81105
4111130_runby_lovsta,2010,0.81471
4111130_runby_lovsta,2011,0.84483
4111130_runby_lovsta,2012,0.8209
4111130_runby_lovsta,2013,0.83284
4111130_runby_lovsta,2014,0.83626
4111140_prastgardsmarken,2000,0.82772
4111140_prastgardsmarken,2001,0.8433
4111140_prastgardsmarken,2002,0.83195
4111140_prastgardsmarken,2003,0.81395
4111140_prastgardsmarken,2004,0.82549
4111140_prastgardsmarken,2005,0.78629
4111140_prastgardsmarken,2006,0.81466
4111140_prastgardsmarken,2007,0.83951
4111140_prastgardsmarken,2008,0.83673
4111140_prastgardsmarken,2009,0.79046
4111140_prastgardsmarken,2010,0.82636
4111140_prastgardsmarken,2011,0.83368
4111140_prastgardsmarken,2012,0.82485
4111140_prastgardsmarken,2013,0.82672
4111140_prastgardsmarken,2014,0.8383
4111900_eds_glesbygd,2000,0.83333
4111900_eds_glesbygd,2001,0.85235
4111900_eds_glesbygd,2002,0.81081
4111900_eds_glesbygd,2003,0.81944
4111900_eds_glesbygd,2004,0.82517
4111900_eds_glesbygd,2005,0.79433
4111900_eds_glesbygd,2006,0.78788
4111900_eds_glesbygd,2007,0.79259
4111900_eds_glesbygd,2008,0.81752
4111900_eds_glesbygd,2009,0.81818
4111900_eds_glesbygd,2010,0.79167
4111900_eds_glesbygd,2011,0.83108
4111900_eds_glesbygd,2012,0.82014
4111900_eds_glesbygd,2013,0.82979
4111900_eds_glesbygd,2014,0.88489
4122100_lowenstromska_sjukhuset,2000,0.75
4122100_lowenstromska_sjukhuset,2001,0.75362
4122100_lowenstromska_sjukhuset,2002,0.76555
4122100_lowenstromska_sjukhuset,2003,0.73303
4122100_lowenstromska_sjukhuset,2004,0.69811
4122100_lowenstromska_sjukhuset,2005,0.695
4122100_lowenstromska_sjukhuset,2006,0.71635
4122100_lowenstromska_sjukhuset,2007,0.69484
4122100_lowenstromska_sjukhuset,2008,0.71946
4122100_lowenstromska_sjukhuset,2009,0.7235
4122100_lowenstromska_sjukhuset,2010,0.69907
4122100_lowenstromska_sjukhuset,2011,0.74167
4122100_lowenstromska_sjukhuset,2012,0.73191
4122100_lowenstromska_sjukhuset,2013,0.71983
4122100_lowenstromska_sjukhuset,2014,0.6988
4122210_norra_vilunda,2000,0.86944
4122210_norra_vilunda,2001,0.84478
4122210_norra_vilunda,2002,0.87117
4122210_norra_vilunda,2003,0.86774
4122210_norra_vilunda,2004,0.85294
4122210_norra_vilunda,2005,0.85437
4122210_norra_vilunda,2006,0.88065
4122210_norra_vilunda,2007,0.87138
4122210_norra_vilunda,2008,0.8495
4122210_norra_vilunda,2009,0.8557
4122210_norra_vilunda,2010,0.86093
4122210_norra_vilunda,2011,0.86039
4122210_norra_vilunda,2012,0.87584
4122210_norra_vilunda,2013,0.85284
4122210_norra_vilunda,2014,0.85512
4122230_apoteksskogen,2000,0.7704
4122230_apoteksskogen,2001,0.77343
4122230_apoteksskogen,2002,0.7507
4122230_apoteksskogen,2003,0.73508
4122230_apoteksskogen,2004,0.73699
4122230_apoteksskogen,2005,0.73362
4122230_apoteksskogen,2006,0.74326
4122230_apoteksskogen,2007,0.77534
4122230_apoteksskogen,2008,0.79498
4122230_apoteksskogen,2009,0.72011
4122230_apoteksskogen,2010,0.73517
4122230_apoteksskogen,2011,0.72739
4122230_apoteksskogen,2012,0.74108
4122230_apoteksskogen,2013,0.76106
4122230_apoteksskogen,2014,0.74939
4122240_vasbyskogen,2000,0.73777
4122240_vasbyskogen,2001,0.76217
4122240_vasbyskogen,2002,0.7106
4122240_vasbyskogen,2003,0.70043
4122240_vasbyskogen,2004,0.68997
4122240_vasbyskogen,2005,0.68615
4122240_vasbyskogen,2006,0.69844
4122240_vasbyskogen,2007,0.73752
4122240_vasbyskogen,2008,0.70323
4122240_vasbyskogen,2009,0.66825
4122240_vasbyskogen,2010,0.70348
4122240_vasbyskogen,2011,0.67933
4122240_vasbyskogen,2012,0.6997
4122240_vasbyskogen,2013,0.69341
4122240_vasbyskogen,2014,0.67489
4122310_korpkulla,2000,0.79637
4122310_korpkulla,2001,0.80096
4122310_korpkulla,2002,0.79522
4122310_korpkulla,2003,0.77684
4122310_korpkulla,2004,0.7948
4122310_korpkulla,2005,0.78598
4122310_korpkulla,2006,0.80129
4122310_korpkulla,2007,0.81985
4122310_korpkulla,2008,0.82958
4122310_korpkulla,2009,0.81028
4122310_korpkulla,2010,0.80631
4122310_korpkulla,2011,0.81897
4122310_korpkulla,2012,0.82491
4122310_korpkulla,2013,0.81918
4122310_korpkulla,2014,0.81478
4122340_vilunda,2000,0.66723
4122340_vilunda,2001,0.65709
4122340_vilunda,2002,0.62857
4122340_vilunda,2003,0.61844
4122340_vilunda,2004,0.60727
4122340_vilunda,2005,0.56766
4122340_vilunda,2006,0.58046
4122340_vilunda,2007,0.61351
4122340_vilunda,2008,0.61598
4122340_vilunda,2009,0.60816
4122340_vilunda,2010,0.62525
4122340_vilunda,2011,0.64008
4122340_vilunda,2012,0.64143
4122340_vilunda,2013,0.676
4122340_vilunda,2014,0.65618
4122420_norra_smedby,2000,0.80527
4122420_norra_smedby,2001,0.78987
4122420_norra_smedby,2002,0.77487
4122420_norra_smedby,2003,0.7602
4122420_norra_smedby,2004,0.74719
4122420_norra_smedby,2005,0.72227
4122420_norra_smedby,2006,0.73232
4122420_norra_smedby,2007,0.77074
4122420_norra_smedby,2008,0.75265
4122420_norra_smedby,2009,0.71802
4122420_norra_smedby,2010,0.73488
4122420_norra_smedby,2011,0.73973
4122420_norra_smedby,2012,0.7563
4122420_norra_smedby,2013,0.75164
4122420_norra_smedby,2014,0.76194
4122430_sodra_smedby,2000,0.875
4122430_sodra_smedby,2001,0.81364
4122430_sodra_smedby,2002,0.84
4122430_sodra_smedby,2003,0.8341
4122430_sodra_smedby,2004,0.84141
4122430_sodra_smedby,2005,0.81735
4122430_sodra_smedby,2006,0.82063
4122430_sodra_smedby,2007,0.83333
4122430_sodra_smedby,2008,0.83482
4122430_sodra_smedby,2009,0.78947
4122430_sodra_smedby,2010,0.82883
4122430_sodra_smedby,2011,0.84188
4122430_sodra_smedby,2012,0.84615
4122430_sodra_smedby,2013,0.84332
4122430_sodra_smedby,2014,0.84685
4122520_skalby,2000,0.84866
4122520_skalby,2001,0.85976
4122520_skalby,2002,0.85987
4122520_skalby,2003,0.85437
4122520_skalby,2004,0.84228
4122520_skalby,2005,0.84429
4122520_skalby,2006,0.84722
4122520_skalby,2007,0.89568
4122520_skalby,2008,0.89434
4122520_skalby,2009,0.8876
4122520_skalby,2010,0.94182
4122520_skalby,2011,0.93617
4122520_skalby,2012,0.90559
4122520_skalby,2013,0.90526
4122520_skalby,2014,0.90845
4122530_carlslund,2000,0.80444
4122530_carlslund,2001,0.78182
4122530_carlslund,2002,0.7674
4122530_carlslund,2003,0.75301
4122530_carlslund,2004,0.73156
4122530_carlslund,2005,0.74468
4122530_carlslund,2006,0.76938
4122530_carlslund,2007,0.78505
4122530_carlslund,2008,0.81227
4122530_carlslund,2009,0.7698
4122530_carlslund,2010,0.77219
4122530_carlslund,2011,0.78084
4122530_carlslund,2012,0.79463
4122530_carlslund,2013,0.79346
4122530_carlslund,2014,0.80707
4122540_brunnby,2000,0.88591
4122540_brunnby,2001,0.85382
4122540_brunnby,2002,0.86926
4122540_brunnby,2003,0.875
4122540_brunnby,2004,0.875
4122540_brunnby,2005,0.90253
4122540_brunnby,2006,0.89583
4122540_brunnby,2007,0.92391
4122540_brunnby,2008,0.89416
4122540_brunnby,2009,0.87319
4122540_brunnby,2010,0.90074
4122540_brunnby,2011,0.91209
4122540_brunnby,2012,0.84266
4122540_brunnby,2013,0.86486
4122540_brunnby,2014,0.84797
4122600_vastra_odenslunda,2000,0.8312
4122600_vastra_odenslunda,2001,0.83896
4122600_vastra_odenslunda,2002,0.85106
4122600_vastra_odenslunda,2003,0.82192
4122600_vastra_odenslunda,2004,0.84257
4122600_vastra_odenslunda,2005,0.85879
4122600_vastra_odenslunda,2006,0.81967
4122600_vastra_odenslunda,2007,0.8453
4122600_vastra_odenslunda,2008,0.81844
4122600_vastra_odenslunda,2009,0.81375
4122600_vastra_odenslunda,2010,0.85586
4122600_vastra_odenslunda,2011,0.87988
4122600_vastra_odenslunda,2012,0.88252
4122600_vastra_odenslunda,2013,0.87719
4122600_vastra_odenslunda,2014,0.85205
4133110_sanda,2000,0.86957
4133110_sanda,2001,0.85714
4133110_sanda,2002,1
4133110_sanda,2003,0.66667
4133110_sanda,2004,0.79412
4133110_sanda,2005,0.82143
4133110_sanda,2006,0.8125
4133110_sanda,2007,0.83871
4133110_sanda,2008,0.91803
4133110_sanda,2009,0.91667
4133110_sanda,2010,0.91045
4133110_sanda,2011,0.91558
4133110_sanda,2012,0.93333
4133110_sanda,2013,0.90955
4133110_sanda,2014,0.92925
4133120_ostra_odenslunda,2000,0.86573
4133120_ostra_odenslunda,2001,0.89162
4133120_ostra_odenslunda,2002,0.87751
4133120_ostra_odenslunda,2003,0.86172
4133120_ostra_odenslunda,2004,0.84704
4133120_ostra_odenslunda,2005,0.88519
4133120_ostra_odenslunda,2006,0.85526
4133120_ostra_odenslunda,2007,0.88015
4133120_ostra_odenslunda,2008,0.86406
4133120_ostra_odenslunda,2009,0.83748
4133120_ostra_odenslunda,2010,0.85687
4133120_ostra_odenslunda,2011,0.87403
4133120_ostra_odenslunda,2012,0.8729
4133120_ostra_odenslunda,2013,0.85529
4133120_ostra_odenslunda,2014,0.84926
4133200_frestaby,2000,0.8532
4133200_frestaby,2001,0.88869
4133200_frestaby,2002,0.88909
4133200_frestaby,2003,0.88126
4133200_frestaby,2004,0.88783
4133200_frestaby,2005,0.87016
4133200_frestaby,2006,0.88996
4133200_frestaby,2007,0.89962
4133200_frestaby,2008,0.88544
4133200_frestaby,2009,0.86133
4133200_frestaby,2010,0.87078
4133200_frestaby,2011,0.90103
4133200_frestaby,2012,0.89918
4133200_frestaby,2013,0.90264
4133200_frestaby,2014,0.9084
4133310_vastra_bollstanas,2000,0.88145
4133310_vastra_bollstanas,2001,0.87129
4133310_vastra_bollstanas,2002,0.87149
4133310_vastra_bollstanas,2003,0.86013
4133310_vastra_bollstanas,2004,0.85745
4133310_vastra_bollstanas,2005,0.86609
4133310_vastra_bollstanas,2006,0.87361
4133310_vastra_bollstanas,2007,0.87333
4133310_vastra_bollstanas,2008,0.87955
4133310_vastra_bollstanas,2009,0.86449
4133310_vastra_bollstanas,2010,0.8818
4133310_vastra_bollstanas,2011,0.87097
4133310_vastra_bollstanas,2012,0.89583
4133310_vastra_bollstanas,2013,0.88759
4133310_vastra_bollstanas,2014,0.86417
4133330_ostra_bollstanas,2000,0.88078
4133330_ostra_bollstanas,2001,0.88659
4133330_ostra_bollstanas,2002,0.88292
4133330_ostra_bollstanas,2003,0.8731
4133330_ostra_bollstanas,2004,0.87703
4133330_ostra_bollstanas,2005,0.86439
4133330_ostra_bollstanas,2006,0.89292
4133330_ostra_bollstanas,2007,0.90279
4133330_ostra_bollstanas,2008,0.89054
4133330_ostra_bollstanas,2009,0.88411
4133330_ostra_bollstanas,2010,0.89665
4133330_ostra_bollstanas,2011,0.87834
4133330_ostra_bollstanas,2012,0.88701
4133330_ostra_bollstanas,2013,0.87606
4133330_ostra_bollstanas,2014,0.88122
4133350_sodra_bollstanas,2000,0.91816
4133350_sodra_bollstanas,2001,0.89831
4133350_sodra_bollstanas,2002,0.89242
4133350_sodra_bollstanas,2003,0.90732
4133350_sodra_bollstanas,2004,0.90453
4133350_sodra_bollstanas,2005,0.8972
4133350_sodra_bollstanas,2006,0.8861
4133350_sodra_bollstanas,2007,0.90869
4133350_sodra_bollstanas,2008,0.90308
4133350_sodra_bollstanas,2009,0.86842
4133350_sodra_bollstanas,2010,0.89091
4133350_sodra_bollstanas,2011,0.89438
4133350_sodra_bollstanas,2012,0.8714
4133350_sodra_bollstanas,2013,0.88742
