basomrade,year,higher_education_min_3_years_percent_of_population_aged_25_64
4111110_norra_runby,2000,0.16002
4111110_norra_runby,2001,0.1683
4111110_norra_runby,2002,0.17106
4111110_norra_runby,2003,0.18182
4111110_norra_runby,2004,0.19262
4111110_norra_runby,2005,0.19654
4111110_norra_runby,2006,0.20844
4111110_norra_runby,2007,0.21564
4111110_norra_runby,2008,0.2206
4111110_norra_runby,2009,0.22251
4111110_norra_runby,2010,0.23488
4111110_norra_runby,2011,0.23195
4111110_norra_runby,2012,0.23317
4111110_norra_runby,2013,0.24148
4111110_norra_runby,2014,0.25411
4111120_sodra_runby,2000,0.15086
4111120_sodra_runby,2001,0.1453
4111120_sodra_runby,2002,0.14732
4111120_sodra_runby,2003,0.13699
4111120_sodra_runby,2004,0.1267
4111120_sodra_runby,2005,0.12981
4111120_sodra_runby,2006,0.13084
4111120_sodra_runby,2007,0.15122
4111120_sodra_runby,2008,0.16514
4111120_sodra_runby,2009,0.20737
4111120_sodra_runby,2010,0.20188
4111120_sodra_runby,2011,0.1982
4111120_sodra_runby,2012,0.16742
4111120_sodra_runby,2013,0.20642
4111120_sodra_runby,2014,0.22596
4111130_runby_lovsta,2000,0.16713
4111130_runby_lovsta,2001,0.15804
4111130_runby_lovsta,2002,0.1669
4111130_runby_lovsta,2003,0.17155
4111130_runby_lovsta,2004,0.18598
4111130_runby_lovsta,2005,0.20552
4111130_runby_lovsta,2006,0.19466
4111130_runby_lovsta,2007,0.2048
4111130_runby_lovsta,2008,0.20328
4111130_runby_lovsta,2009,0.21943
4111130_runby_lovsta,2010,0.21849
4111130_runby_lovsta,2011,0.22712
4111130_runby_lovsta,2012,0.25085
4111130_runby_lovsta,2013,0.27027
4111130_runby_lovsta,2014,0.26711
4111140_prastgardsmarken,2000,0.18151
4111140_prastgardsmarken,2001,0.19185
4111140_prastgardsmarken,2002,0.19544
4111140_prastgardsmarken,2003,0.19905
4111140_prastgardsmarken,2004,0.17929
4111140_prastgardsmarken,2005,0.18277
4111140_prastgardsmarken,2006,0.18095
4111140_prastgardsmarken,2007,0.19114
4111140_prastgardsmarken,2008,0.18875
4111140_prastgardsmarken,2009,0.18824
4111140_prastgardsmarken,2010,0.18825
4111140_prastgardsmarken,2011,0.19008
4111140_prastgardsmarken,2012,0.18382
4111140_prastgardsmarken,2013,0.18333
4111140_prastgardsmarken,2014,0.19366
4111900_eds_glesbygd,2000,0.2029
