basomrade,year,higher_education_min_3_years_percent_of_population_aged_25_64_male
4111110_norra_runby,2000,0.1598
4111110_norra_runby,2001,0.16065
4111110_norra_runby,2002,0.16377
4111110_norra_runby,2003,0.16604
4111110_norra_runby,2004,0.17413
4111110_norra_runby,2005,0.16816
4111110_norra_runby,2006,0.17949
4111110_norra_runby,2007,0.19401
4111110_norra_runby,2008,0.19195
4111110_norra_runby,2009,0.19355
4111110_norra_runby,2010,0.20655
4111110_norra_runby,2011,0.19296
4111110_norra_runby,2012,0.19495
4111110_norra_runby,2013,0.19955
4111110_norra_runby,2014,0.21725
4111120_sodra_runby,2000,0.125
4111120_sodra_runby,2001,0.12037
4111120_sodra_runby,2002,0.1215
4111120_sodra_runby,2003,0.12037
4111120_sodra_runby,2004,0.10092
4111120_sodra_runby,2005,0.10891
4111120_sodra_runby,2006,0.09804
4111120_sodra_runby,2007,0.1068
4111120_sodra_runby,2008,0.13592
4111120_sodra_runby,2009,0.14706
4111120_sodra_runby,2010,0.13725
4111120_sodra_runby,2011,0.12381
4111120_sodra_runby,2012,0.08654
4111120_sodra_runby,2013,0.13
4111120_sodra_runby,2014,0.14563
4111130_runby_lovsta,2000,0.15759
4111130_runby_lovsta,2001,0.14327
4111130_runby_lovsta,2002,0.14451
4111130_runby_lovsta,2003,0.14804
4111130_runby_lovsta,2004,0.16511
4111130_runby_lovsta,2005,0.16614
4111130_runby_lovsta,2006,0.14148
4111130_runby_lovsta,2007,0.15873
4111130_runby_lovsta,2008,0.15646
4111130_runby_lovsta,2009,0.16722
4111130_runby_lovsta,2010,0.18212
4111130_runby_lovsta,2011,0.18447
4111130_runby_lovsta,2012,0.21356
4111130_runby_lovsta,2013,0.23729
4111130_runby_lovsta,2014,0.22368
4111140_prastgardsmarken,2000,0.17713
4111140_prastgardsmarken,2001,0.16986
4111140_prastgardsmarken,2002,0.17523
4111140_prastgardsmarken,2003,0.19093
4111140_prastgardsmarken,2004,0.1692
4111140_prastgardsmarken,2005,0.16591
4111140_prastgardsmarken,2006,0.1659
4111140_prastgardsmarken,2007,0.16859
4111140_prastgardsmarken,2008,0.16317
4111140_prastgardsmarken,2009,0.15935
4111140_prastgardsmarken,2010,0.15925
4111140_prastgardsmarken,2011,0.14815
4111140_prastgardsmarken,2012,0.14806
4111140_prastgardsmarken,2013,0.13882
4111140_prastgardsmarken,2014,0.14558
4111900_eds_glesbygd,2000,0.18841
4111900_eds_glesbygd,2001,0.18978
4111900_eds_glesbygd,2002,0.18705
4111900_eds_glesbygd,2003,0.19231
4111900_eds_glesbygd,2004,0.18462
4111900_eds_glesbygd,2005,0.17188
4111900_eds_glesbygd,2006,0.19512
4111900_eds_glesbygd,2007,0.1746
4111900_eds_glesbygd,2008,0.1626
4111900_eds_glesbygd,2009,0.13846
4111900_eds_glesbygd,2010,0.14844
4111900_eds_glesbygd,2011,0.13534
4111900_eds_glesbygd,2012,0.13178
4111900_eds_glesbygd,2013,0.14615
4111900_eds_glesbygd,2014,0.16794
4122100_lowenstromska_sjukhuset,2000,0.0582
4122100_lowenstromska_sjukhuset,2001,0.05882
4122100_lowenstromska_sjukhuset,2002,0.06736
4122100_lowenstromska_sjukhuset,2003,0.08867
4122100_lowenstromska_sjukhuset,2004,0.07216
4122100_lowenstromska_sjukhuset,2005,0.08939
4122100_lowenstromska_sjukhuset,2006,0.09392
4122100_lowenstromska_sjukhuset,2007,0.08511
4122100_lowenstromska_sjukhuset,2008,0.09268
4122100_lowenstromska_sjukhuset,2009,0.075
4122100_lowenstromska_sjukhuset,2010,0.08629
4122100_lowenstromska_sjukhuset,2011,0.09756
4122100_lowenstromska_sjukhuset,2012,0.13366
4122100_lowenstromska_sjukhuset,2013,0.12745
4122100_lowenstromska_sjukhuset,2014,0.15068
