basomrade,year,immigration_surplus
4111110_norra_runby,2000,26
4111110_norra_runby,2001,17
4111110_norra_runby,2002,4
4111110_norra_runby,2003,-24
4111110_norra_runby,2004,6
4111110_norra_runby,2005,-85
4111110_norra_runby,2006,-39
4111110_norra_runby,2007,-26
4111110_norra_runby,2008,-68
4111110_norra_runby,2009,65
4111110_norra_runby,2010,30
4111110_norra_runby,2011,28
4111110_norra_runby,2012,24
4111110_norra_runby,2013,72
4111110_norra_runby,2014,39
4111120_sodra_runby,2000,-6
4111120_sodra_runby,2001,-13
4111120_sodra_runby,2002,-14
4111120_sodra_runby,2003,-12
4111120_sodra_runby,2004,0
4111120_sodra_runby,2005,-15
4111120_sodra_runby,2006,-10
4111120_sodra_runby,2007,-26
4111120_sodra_runby,2008,13
4111120_sodra_runby,2009,0
4111120_sodra_runby,2010,-16
4111120_sodra_runby,2011,-5
4111120_sodra_runby,2012,-10
4111120_sodra_runby,2013,-26
4111120_sodra_runby,2014,-18
4111130_runby_lovsta,2000,10
4111130_runby_lovsta,2001,-64
4111130_runby_lovsta,2002,-9
4111130_runby_lovsta,2003,-44
4111130_runby_lovsta,2004,-33
4111130_runby_lovsta,2005,-23
4111130_runby_lovsta,2006,-6
4111130_runby_lovsta,2007,-11
4111130_runby_lovsta,2008,-29
4111130_runby_lovsta,2009,-17
4111130_runby_lovsta,2010,-9
4111130_runby_lovsta,2011,16
4111130_runby_lovsta,2012,-28
4111130_runby_lovsta,2013,3
4111130_runby_lovsta,2014,2
4111140_prastgardsmarken,2000,12
4111140_prastgardsmarken,2001,-49
4111140_prastgardsmarken,2002,-33
4111140_prastgardsmarken,2003,-38
4111140_prastgardsmarken,2004,69
4111140_prastgardsmarken,2005,-69
4111140_prastgardsmarken,2006,-28
4111140_prastgardsmarken,2007,3
4111140_prastgardsmarken,2008,-23
4111140_prastgardsmarken,2009,-27
4111140_prastgardsmarken,2010,-38
4111140_prastgardsmarken,2011,4
4111140_prastgardsmarken,2012,22
4111140_prastgardsmarken,2013,-25
4111140_prastgardsmarken,2014,-7
4111900_eds_glesbygd,2000,14
4111900_eds_glesbygd,2001,4
4111900_eds_glesbygd,2002,4
4111900_eds_glesbygd,2003,-21
