basomrade,year,immigration_surplus_female
4111110_norra_runby,2000,18
4111110_norra_runby,2001,18
4111110_norra_runby,2002,-2
4111110_norra_runby,2003,-6
4111110_norra_runby,2004,16
4111110_norra_runby,2005,-63
4111110_norra_runby,2006,-32
4111110_norra_runby,2007,-4
4111110_norra_runby,2008,-31
4111110_norra_runby,2009,24
4111110_norra_runby,2010,7
4111110_norra_runby,2011,13
4111110_norra_runby,2012,15
4111110_norra_runby,2013,12
4111110_norra_runby,2014,21
4111120_sodra_runby,2000,-2
4111120_sodra_runby,2001,-7
4111120_sodra_runby,2002,-14
4111120_sodra_runby,2003,-10
4111120_sodra_runby,2004,-4
4111120_sodra_runby,2005,-4
4111120_sodra_runby,2006,0
4111120_sodra_runby,2007,-15
4111120_sodra_runby,2008,17
4111120_sodra_runby,2009,2
4111120_sodra_runby,2010,-5
4111120_sodra_runby,2011,-6
4111120_sodra_runby,2012,-11
4111120_sodra_runby,2013,-13
4111120_sodra_runby,2014,-12
4111130_runby_lovsta,2000,8
4111130_runby_lovsta,2001,-41
4111130_runby_lovsta,2002,-1
4111130_runby_lovsta,2003,-24
4111130_runby_lovsta,2004,-12
4111130_runby_lovsta,2005,-13
4111130_runby_lovsta,2006,-7
4111130_runby_lovsta,2007,-22
4111130_runby_lovsta,2008,-1
4111130_runby_lovsta,2009,-24
4111130_runby_lovsta,2010,-2
4111130_runby_lovsta,2011,3
4111130_runby_lovsta,2012,-4
4111130_runby_lovsta,2013,2
4111130_runby_lovsta,2014,-2
4111140_prastgardsmarken,2000,0
4111140_prastgardsmarken,2001,-17
4111140_prastgardsmarken,2002,-19
4111140_prastgardsmarken,2003,-9
4111140_prastgardsmarken,2004,29
4111140_prastgardsmarken,2005,-38
4111140_prastgardsmarken,2006,-16
4111140_prastgardsmarken,2007,1
4111140_prastgardsmarken,2008,-25
4111140_prastgardsmarken,2009,-13
4111140_prastgardsmarken,2010,-24
4111140_prastgardsmarken,2011,17
4111140_prastgardsmarken,2012,13
4111140_prastgardsmarken,2013,-12
4111140_prastgardsmarken,2014,1
4111900_eds_glesbygd,2000,4
4111900_eds_glesbygd,2001,4
4111900_eds_glesbygd,2002,3
4111900_eds_glesbygd,2003,-9
4111900_eds_glesbygd,2004,-7
4111900_eds_glesbygd,2005,7
4111900_eds_glesbygd,2006,0
4111900_eds_glesbygd,2007,-5
4111900_eds_glesbygd,2008,13
4111900_eds_glesbygd,2009,-4
4111900_eds_glesbygd,2010,22
4111900_eds_glesbygd,2011,11
4111900_eds_glesbygd,2012,3
4111900_eds_glesbygd,2013,8
4111900_eds_glesbygd,2014,9
4122100_lowenstromska_sjukhuset,2000,-14
4122100_lowenstromska_sjukhuset,2001,-11
4122100_lowenstromska_sjukhuset,2002,12
4122100_lowenstromska_sjukhuset,2003,-8
4122100_lowenstromska_sjukhuset,2004,-15
4122100_lowenstromska_sjukhuset,2005,-13
4122100_lowenstromska_sjukhuset,2006,-19
4122100_lowenstromska_sjukhuset,2007,-6
4122100_lowenstromska_sjukhuset,2008,7
4122100_lowenstromska_sjukhuset,2009,-24
4122100_lowenstromska_sjukhuset,2010,-9
4122100_lowenstromska_sjukhuset,2011,-6
4122100_lowenstromska_sjukhuset,2012,-7
4122100_lowenstromska_sjukhuset,2013,0
4122100_lowenstromska_sjukhuset,2014,3
4122210_norra_vilunda,2000,-15
4122210_norra_vilunda,2001,-10
4122210_norra_vilunda,2002,-1
4122210_norra_vilunda,2003,-9
4122210_norra_vilunda,2004,-1
4122210_norra_vilunda,2005,0
4122210_norra_vilunda,2006,-3
4122210_norra_vilunda,2007,-13
4122210_norra_vilunda,2008,3
4122210_norra_vilunda,2009,7
4122210_norra_vilunda,2010,-10
4122210_norra_vilunda,2011,-10
4122210_norra_vilunda,2012,8
4122210_norra_vilunda,2013,15
4122210_norra_vilunda,2014,-7
4122230_apoteksskogen,2000,-8
4122230_apoteksskogen,2001,-1
4122230_apoteksskogen,2002,-27
4122230_apoteksskogen,2003,-44
4122230_apoteksskogen,2004,-3
4122230_apoteksskogen,2005,-29
4122230_apoteksskogen,2006,-25
4122230_apoteksskogen,2007,-28
4122230_apoteksskogen,2008,5
4122230_apoteksskogen,2009,-36
4122230_apoteksskogen,2010,-73
4122230_apoteksskogen,2011,37
4122230_apoteksskogen,2012,-27
4122230_apoteksskogen,2013,-19
4122230_apoteksskogen,2014,-17
4122240_vasbyskogen,2000,-7
4122240_vasbyskogen,2001,-10
4122240_vasbyskogen,2002,-13
4122240_vasbyskogen,2003,11
4122240_vasbyskogen,2004,-36
4122240_vasbyskogen,2005,-4
4122240_vasbyskogen,2006,-31
4122240_vasbyskogen,2007,-5
4122240_vasbyskogen,2008,-22
4122240_vasbyskogen,2009,9
4122240_vasbyskogen,2010,-8
4122240_vasbyskogen,2011,4
4122240_vasbyskogen,2012,-46
4122240_vasbyskogen,2013,28
4122240_vasbyskogen,2014,6
4122310_korpkulla,2000,31
4122310_korpkulla,2001,-11
4122310_korpkulla,2002,4
4122310_korpkulla,2003,44
4122310_korpkulla,2004,-13
4122310_korpkulla,2005,90
4122310_korpkulla,2006,51
4122310_korpkulla,2007,-14
4122310_korpkulla,2008,28
4122310_korpkulla,2009,-18
4122310_korpkulla,2010,56
4122310_korpkulla,2011,100
4122310_korpkulla,2012,-12
4122310_korpkulla,2013,-18
4122310_korpkulla,2014,4
4122340_vilunda,2000,22
4122340_vilunda,2001,5
4122340_vilunda,2002,-11
4122340_vilunda,2003,-2
4122340_vilunda,2004,-2
4122340_vilunda,2005,-20
4122340_vilunda,2006,-17
4122340_vilunda,2007,7
4122340_vilunda,2008,-27
4122340_vilunda,2009,-23
4122340_vilunda,2010,38
4122340_vilunda,2011,-2
4122340_vilunda,2012,-5
4122340_vilunda,2013,9
4122340_vilunda,2014,-56
4122420_norra_smedby,2000,-1
4122420_norra_smedby,2001,-39
4122420_norra_smedby,2002,-41
4122420_norra_smedby,2003,-44
4122420_norra_smedby,2004,-33
4122420_norra_smedby,2005,-33
4122420_norra_smedby,2006,-64
4122420_norra_smedby,2007,-27
4122420_norra_smedby,2008,8
4122420_norra_smedby,2009,19
4122420_norra_smedby,2010,-5
4122420_norra_smedby,2011,-30
4122420_norra_smedby,2012,-5
4122420_norra_smedby,2013,22
4122420_norra_smedby,2014,-4
4122430_sodra_smedby,2000,5
4122430_sodra_smedby,2001,0
4122430_sodra_smedby,2002,-8
4122430_sodra_smedby,2003,-8
4122430_sodra_smedby,2004,-14
4122430_sodra_smedby,2005,-15
4122430_sodra_smedby,2006,-14
4122430_sodra_smedby,2007,-12
4122430_sodra_smedby,2008,-9
4122430_sodra_smedby,2009,-10
4122430_sodra_smedby,2010,-7
4122430_sodra_smedby,2011,-17
4122430_sodra_smedby,2012,-12
4122430_sodra_smedby,2013,6
4122430_sodra_smedby,2014,-9
4122520_skalby,2000,3
4122520_skalby,2001,2
4122520_skalby,2002,-2
4122520_skalby,2003,0
4122520_skalby,2004,-8
4122520_skalby,2005,-3
4122520_skalby,2006,-14
4122520_skalby,2007,-4
4122520_skalby,2008,-18
4122520_skalby,2009,-19
4122520_skalby,2010,29
4122520_skalby,2011,11
4122520_skalby,2012,4
4122520_skalby,2013,2
4122520_skalby,2014,-2
4122530_carlslund,2000,25
4122530_carlslund,2001,-2
4122530_carlslund,2002,-25
4122530_carlslund,2003,-22
