basomrade,year,immigration_surplus_male
4111110_norra_runby,2000,8
4111110_norra_runby,2001,-1
4111110_norra_runby,2002,6
4111110_norra_runby,2003,-18
4111110_norra_runby,2004,-10
4111110_norra_runby,2005,-22
4111110_norra_runby,2006,-7
4111110_norra_runby,2007,-22
4111110_norra_runby,2008,-37
4111110_norra_runby,2009,41
4111110_norra_runby,2010,23
4111110_norra_runby,2011,15
4111110_norra_runby,2012,9
4111110_norra_runby,2013,60
4111110_norra_runby,2014,18
4111120_sodra_runby,2000,-4
4111120_sodra_runby,2001,-6
4111120_sodra_runby,2002,0
4111120_sodra_runby,2003,-2
4111120_sodra_runby,2004,4
4111120_sodra_runby,2005,-11
4111120_sodra_runby,2006,-10
4111120_sodra_runby,2007,-11
4111120_sodra_runby,2008,-4
4111120_sodra_runby,2009,-2
4111120_sodra_runby,2010,-11
4111120_sodra_runby,2011,1
4111120_sodra_runby,2012,1
4111120_sodra_runby,2013,-13
4111120_sodra_runby,2014,-6
4111130_runby_lovsta,2000,2
4111130_runby_lovsta,2001,-23
4111130_runby_lovsta,2002,-8
4111130_runby_lovsta,2003,-20
4111130_runby_lovsta,2004,-21
4111130_runby_lovsta,2005,-10
4111130_runby_lovsta,2006,1
4111130_runby_lovsta,2007,11
4111130_runby_lovsta,2008,-28
4111130_runby_lovsta,2009,7
4111130_runby_lovsta,2010,-7
4111130_runby_lovsta,2011,13
4111130_runby_lovsta,2012,-24
4111130_runby_lovsta,2013,1
4111130_runby_lovsta,2014,4
4111140_prastgardsmarken,2000,12
4111140_prastgardsmarken,2001,-32
4111140_prastgardsmarken,2002,-14
4111140_prastgardsmarken,2003,-29
4111140_prastgardsmarken,2004,40
4111140_prastgardsmarken,2005,-31
4111140_prastgardsmarken,2006,-12
4111140_prastgardsmarken,2007,2
4111140_prastgardsmarken,2008,2
4111140_prastgardsmarken,2009,-14
4111140_prastgardsmarken,2010,-14
4111140_prastgardsmarken,2011,-13
4111140_prastgardsmarken,2012,9
4111140_prastgardsmarken,2013,-13
4111140_prastgardsmarken,2014,-8
4111900_eds_glesbygd,2000,10
4111900_eds_glesbygd,2001,0
4111900_eds_glesbygd,2002,1
4111900_eds_glesbygd,2003,-12
4111900_eds_glesbygd,2004,1
4111900_eds_glesbygd,2005,-4
4111900_eds_glesbygd,2006,-6
