basomrade,year,mean_income_aged_lt_20_male
4111110_norra_runby,2000,244116.11
4111110_norra_runby,2001,255647
4111110_norra_runby,2002,257273.49
4111110_norra_runby,2003,257282.19
4111110_norra_runby,2004,262675.39
4111110_norra_runby,2005,268729.99
4111110_norra_runby,2006,272659.46
4111110_norra_runby,2007,289395.38
4111110_norra_runby,2008,299966.35
4111110_norra_runby,2009,297153.96
4111110_norra_runby,2010,299065.31
4111110_norra_runby,2011,304272.38
4111110_norra_runby,2012,315882.5
4111110_norra_runby,2013,316694.67
4111110_norra_runby,2014,321167.78
4111120_sodra_runby,2000,263842.1
4111120_sodra_runby,2001,253007.62
4111120_sodra_runby,2002,255734.5
4111120_sodra_runby,2003,265840.37
4111120_sodra_runby,2004,272606.56
4111120_sodra_runby,2005,274530.15
4111120_sodra_runby,2006,281410.19
4111120_sodra_runby,2007,287435.06
4111120_sodra_runby,2008,303484.68
4111120_sodra_runby,2009,299559.75
4111120_sodra_runby,2010,298096.41
4111120_sodra_runby,2011,302765.88
4111120_sodra_runby,2012,316417.49
4111120_sodra_runby,2013,317745.19
4111120_sodra_runby,2014,317297.36
4111130_runby_lovsta,2000,277433.99
4111130_runby_lovsta,2001,268736.57
4111130_runby_lovsta,2002,277771.7
4111130_runby_lovsta,2003,288413.86
4111130_runby_lovsta,2004,290064.97
4111130_runby_lovsta,2005,295983.47
4111130_runby_lovsta,2006,292599.89
4111130_runby_lovsta,2007,305889.55
4111130_runby_lovsta,2008,319911.42
4111130_runby_lovsta,2009,318437.2
4111130_runby_lovsta,2010,326235.03
4111130_runby_lovsta,2011,331951.54
4111130_runby_lovsta,2012,337770.89
4111130_runby_lovsta,2013,340654.28
4111130_runby_lovsta,2014,355122.73
4111140_prastgardsmarken,2000,239150.54
4111140_prastgardsmarken,2001,255462.43
4111140_prastgardsmarken,2002,257289
4111140_prastgardsmarken,2003,259246.15
4111140_prastgardsmarken,2004,264315.24
4111140_prastgardsmarken,2005,259046.2
4111140_prastgardsmarken,2006,272224.29
4111140_prastgardsmarken,2007,287470.41
4111140_prastgardsmarken,2008,302968.43
4111140_prastgardsmarken,2009,300947.57
4111140_prastgardsmarken,2010,304955.99
4111140_prastgardsmarken,2011,309217.94
4111140_prastgardsmarken,2012,315204.17
4111140_prastgardsmarken,2013,316647.8
4111140_prastgardsmarken,2014,326782.19
4111900_eds_glesbygd,2000,276250.71
4111900_eds_glesbygd,2001,286215.41
4111900_eds_glesbygd,2002,307525.75
4111900_eds_glesbygd,2003,292339.69
4111900_eds_glesbygd,2004,297764.22
4111900_eds_glesbygd,2005,311282.69
4111900_eds_glesbygd,2006,325501.29
4111900_eds_glesbygd,2007,334711.19
4111900_eds_glesbygd,2008,320855.87
4111900_eds_glesbygd,2009,317806.76
4111900_eds_glesbygd,2010,354214.53
4111900_eds_glesbygd,2011,371499.55
