basomrade,year,population_20xx_12_31_female
4111110_norra_runby,2000,1496
4111110_norra_runby,2001,1519
4111110_norra_runby,2002,1524
4111110_norra_runby,2003,1520
4111110_norra_runby,2004,1534
4111110_norra_runby,2005,1472
4111110_norra_runby,2006,1452
4111110_norra_runby,2007,1452
4111110_norra_runby,2008,1421
4111110_norra_runby,2009,1451
4111110_norra_runby,2010,1495
4111110_norra_runby,2011,1528
4111110_norra_runby,2012,1547
4111110_norra_runby,2013,1579
4111110_norra_runby,2014,1609
4111120_sodra_runby,2000,222
4111120_sodra_runby,2001,219
4111120_sodra_runby,2002,212
4111120_sodra_runby,2003,209
4111120_sodra_runby,2004,207
4111120_sodra_runby,2005,207
4111120_sodra_runby,2006,209
4111120_sodra_runby,2007,199
4111120_sodra_runby,2008,225
4111120_sodra_runby,2009,227
4111120_sodra_runby,2010,233
4111120_sodra_runby,2011,234
4111120_sodra_runby,2012,227
4111120_sodra_runby,2013,219
4111120_sodra_runby,2014,209
4111130_runby_lovsta,2000,643
4111130_runby_lovsta,2001,616
4111130_runby_lovsta,2002,620
4111130_runby_lovsta,2003,601
4111130_runby_lovsta,2004,597
4111130_runby_lovsta,2005,588
4111130_runby_lovsta,2006,586
4111130_runby_lovsta,2007,567
4111130_runby_lovsta,2008,575
4111130_runby_lovsta,2009,560
4111130_runby_lovsta,2010,563
4111130_runby_lovsta,2011,571
4111130_runby_lovsta,2012,573
4111130_runby_lovsta,2013,577
4111130_runby_lovsta,2014,571
4111140_prastgardsmarken,2000,720
4111140_prastgardsmarken,2001,710
4111140_prastgardsmarken,2002,698
4111140_prastgardsmarken,2003,705
4111140_prastgardsmarken,2004,737
4111140_prastgardsmarken,2005,709
4111140_prastgardsmarken,2006,696
4111140_prastgardsmarken,2007,703
4111140_prastgardsmarken,2008,684
4111140_prastgardsmarken,2009,684
4111140_prastgardsmarken,2010,674
4111140_prastgardsmarken,2011,698
4111140_prastgardsmarken,2012,726
4111140_prastgardsmarken,2013,724
4111140_prastgardsmarken,2014,741
4111900_eds_glesbygd,2000,228
4111900_eds_glesbygd,2001,235
4111900_eds_glesbygd,2002,238
4111900_eds_glesbygd,2003,228
4111900_eds_glesbygd,2004,225
4111900_eds_glesbygd,2005,231
4111900_eds_glesbygd,2006,227
4111900_eds_glesbygd,2007,223
4111900_eds_glesbygd,2008,234
4111900_eds_glesbygd,2009,229
4111900_eds_glesbygd,2010,239
4111900_eds_glesbygd,2011,245
4111900_eds_glesbygd,2012,239
4111900_eds_glesbygd,2013,242
4111900_eds_glesbygd,2014,241
4122100_lowenstromska_sjukhuset,2000,248
4122100_lowenstromska_sjukhuset,2001,239
4122100_lowenstromska_sjukhuset,2002,259
4122100_lowenstromska_sjukhuset,2003,257
4122100_lowenstromska_sjukhuset,2004,248
4122100_lowenstromska_sjukhuset,2005,239
4122100_lowenstromska_sjukhuset,2006,224
4122100_lowenstromska_sjukhuset,2007,223
4122100_lowenstromska_sjukhuset,2008,241
4122100_lowenstromska_sjukhuset,2009,230
4122100_lowenstromska_sjukhuset,2010,226
4122100_lowenstromska_sjukhuset,2011,227
4122100_lowenstromska_sjukhuset,2012,229
4122100_lowenstromska_sjukhuset,2013,248
4122100_lowenstromska_sjukhuset,2014,263
4122210_norra_vilunda,2000,510
4122210_norra_vilunda,2001,503
4122210_norra_vilunda,2002,507
4122210_norra_vilunda,2003,496
4122210_norra_vilunda,2004,497
4122210_norra_vilunda,2005,496
4122210_norra_vilunda,2006,500
4122210_norra_vilunda,2007,495
4122210_norra_vilunda,2008,500
4122210_norra_vilunda,2009,507
4122210_norra_vilunda,2010,496
4122210_norra_vilunda,2011,484
4122210_norra_vilunda,2012,498
4122210_norra_vilunda,2013,520
4122210_norra_vilunda,2014,512
4122230_apoteksskogen,2000,1271
