municipality,name,county,is--municipality,rank,shape_lores_svg
0114_upplands_vasby,Upplands Väsby,01_stockholms_l_n,TRUE,14,
0115_vallentuna,Vallentuna,01_stockholms_l_n,TRUE,13,
0117_osteraker,Österåker,01_stockholms_l_n,TRUE,31,
0120_varmdo,Värmdö,01_stockholms_l_n,TRUE,63,
0123_jarfalla,Järfälla,01_stockholms_l_n,TRUE,23,
0125_ekero,Ekerö,01_stockholms_l_n,TRUE,22,
0126_huddinge,Huddinge,01_stockholms_l_n,TRUE,71,
0127_botkyrka,Botkyrka,01_stockholms_l_n,TRUE,72,
0128_salem,Salem,01_stockholms_l_n,TRUE,51,
0136_haninge,Haninge,01_stockholms_l_n,TRUE,73,
0138_tyreso,Tyresö,01_stockholms_l_n,TRUE,62,
0139_upplands_bro,Upplands-Bro,01_stockholms_l_n,TRUE,21,
0140_nykvarn,Nykvarn,01_stockholms_l_n,TRUE,53,
0160_taby,Täby,01_stockholms_l_n,TRUE,15,
0162_danderyd,Danderyd,01_stockholms_l_n,TRUE,41,
0163_sollentuna,Sollentuna,01_stockholms_l_n,TRUE,16,
0180_stockholm,Stockholm,01_stockholms_l_n,TRUE,43,
0181_sodertalje,Södertälje,01_stockholms_l_n,TRUE,52,
0182_nacka,Nacka,01_stockholms_l_n,TRUE,61,
0183_sundbyberg,Sundbyberg,01_stockholms_l_n,TRUE,24,
0184_solna,Solna,01_stockholms_l_n,TRUE,42,
0186_lidingo,Lidingö,01_stockholms_l_n,TRUE,33,
0187_vaxholm,Vaxholm,01_stockholms_l_n,TRUE,32,
0188_norrtalje,Norrtälje,01_stockholms_l_n,TRUE,11,
0191_sigtuna,Sigtuna,01_stockholms_l_n,TRUE,12,
0192_nynashamn,Nynäshamn,01_stockholms_l_n,TRUE,74,
