geo,co2_emissions_tonnes_per_person,time
abw,0.78,1986
abw,1.98,1987
abw,2.73,1988
abw,2.89,1989
abw,8.08,1990
abw,8.13,1991
abw,6.88,1992
abw,6.66,1993
abw,6.27,1994
abw,6.06,1995
abw,5.91,1996
abw,5.88,1997
abw,5.38,1998
abw,5.40,1999
abw,7.01,2000
abw,6.96,2001
abw,6.84,2002
abw,6.80,2003
abw,6.66,2004
abw,6.74,2005
abw,6.63,2006
abw,6.99,2007
abw,6.75,2008
abw,6.79,2009
abw,6.59,2010
abw,6.52,2011
afg,0.00,1950
afg,0.00,1951
afg,0.00,1952
afg,0.00,1953
afg,0.00,1954
afg,0.00,1955
afg,0.01,1956
afg,0.01,1957
afg,0.01,1958
afg,0.01,1959
afg,0.01,1960
afg,0.01,1961
afg,0.02,1962
afg,0.02,1963
afg,0.02,1964
afg,0.03,1965
afg,0.03,1966
afg,0.03,1967
afg,0.03,1968
afg,0.02,1969
afg,0.04,1970
afg,0.04,1971
afg,0.03,1972
afg,0.03,1973
afg,0.04,1974
afg,0.04,1975
afg,0.04,1976
afg,0.05,1977
afg,0.04,1978
afg,0.04,1979
afg,0.03,1980
afg,0.04,1981
afg,0.04,1982
afg,0.05,1983
afg,0.06,1984
afg,0.08,1985
afg,0.07,1986
afg,0.07,1987
afg,0.06,1988
afg,0.06,1989
afg,0.06,1990
afg,0.05,1991
afg,0.03,1992
afg,0.02,1993
afg,0.02,1994
afg,0.02,1995
afg,0.02,1996
afg,0.01,1997
afg,0.01,1998
afg,0.01,1999
afg,0.01,2000
afg,0.01,2001
afg,0.01,2002
afg,0.01,2003
afg,0.01,2004
afg,0.01,2005
afg,0.02,2006
afg,0.02,2007
afg,0.04,2008
afg,0.07,2009
afg,0.08,2010
afg,0.11,2011
ago,0.01,1950
ago,0.02,1951
ago,0.02,1952
ago,0.02,1953
ago,0.02,1954
ago,0.02,1955
ago,0.03,1956
ago,0.04,1957
ago,0.03,1958
ago,0.03,1959
ago,0.03,1960
ago,0.02,1961
ago,0.06,1962
ago,0.06,1963
ago,0.06,1964
ago,0.06,1965
ago,0.08,1966
ago,0.05,1967
ago,0.08,1968
ago,0.13,1969
ago,0.16,1970
ago,0.15,1971
ago,0.20,1972
ago,0.21,1973
ago,0.21,1974
ago,0.18,1975
ago,0.13,1976
ago,0.14,1977
ago,0.21,1978
ago,0.20,1979
ago,0.19,1980
ago,0.18,1981
ago,0.15,1982
ago,0.16,1983
ago,0.16,1984
ago,0.14,1985
ago,0.14,1986
ago,0.17,1987
ago,0.14,1988
ago,0.14,1989
ago,0.12,1990
ago,0.11,1991
ago,0.11,1992
ago,0.14,1993
ago,0.09,1994
ago,0.25,1995
ago,0.23,1996
ago,0.16,1997
ago,0.15,1998
ago,0.18,1999
ago,0.19,2000
ago,0.18,2001
ago,0.23,2002
ago,0.16,2003
ago,0.32,2004
ago,0.32,2005
ago,0.36,2006
ago,0.39,2007
ago,0.40,2008
ago,0.42,2009
ago,0.41,2010
ago,0.40,2011
aia,1.14,1997
aia,1.28,1998
aia,1.33,1999
aia,1.51,2000
aia,2.26,2001
aia,2.16,2002
aia,2.27,2003
aia,2.50,2004
aia,2.59,2005
aia,2.81,2006
aia,3.12,2007
aia,3.07,2008
aia,2.96,2009
aia,2.98,2010
aia,2.76,2011
alb,0.07,1950
alb,0.09,1951
alb,0.08,1952
alb,0.09,1953
alb,0.10,1954
alb,0.13,1955
alb,0.16,1956
alb,0.28,1957
alb,0.22,1958
alb,0.25,1959
alb,0.34,1960
alb,0.37,1961
alb,0.39,1962
alb,0.32,1963
alb,0.30,1964
alb,0.32,1965
alb,0.36,1966
alb,0.37,1967
alb,0.41,1968
alb,0.43,1969
alb,0.48,1970
alb,0.54,1971
alb,0.69,1972
alb,0.63,1973
alb,0.50,1974
alb,0.52,1975
alb,0.55,1976
alb,0.62,1977
alb,0.69,1978
alb,0.79,1979
alb,0.53,1980
alb,0.73,1981
alb,0.72,1982
alb,0.73,1983
alb,0.74,1984
alb,0.73,1985
alb,0.72,1986
alb,0.65,1987
alb,0.63,1988
alb,0.75,1989
alb,0.62,1990
alb,0.33,1991
alb,0.20,1992
alb,0.20,1993
alb,0.17,1994
alb,0.18,1995
alb,0.18,1996
alb,0.14,1997
alb,0.16,1998
alb,0.26,1999
alb,0.27,2000
alb,0.29,2001
alb,0.33,2002
alb,0.38,2003
alb,0.36,2004
alb,0.37,2005
alb,0.33,2006
alb,0.39,2007
alb,0.40,2008
alb,0.39,2009
alb,0.38,2010
alb,0.40,2011
and,1.71,1995
and,1.78,1996
and,1.92,1997
and,2.06,1998
and,2.19,1999
and,2.22,2000
and,2.16,2001
and,2.10,2002
and,2.02,2003
and,2.05,2004
and,2.02,2005
and,1.87,2006
and,1.81,2007
and,1.83,2008
and,1.79,2009
and,1.82,2010
and,1.72,2011
ant,17.88,1950
ant,27.71,1951
ant,15.73,1952
ant,17.89,1953
ant,35.58,1954
ant,28.71,1955
ant,36.54,1956
ant,24.56,1957
ant,21.02,1958
ant,26.65,1959
ant,22.41,1960
ant,23.05,1961
ant,24.94,1962
ant,23.55,1963
ant,22.43,1964
ant,19.84,1965
ant,18.18,1966
ant,21.96,1967
ant,20.15,1968
ant,25.87,1969
ant,28.57,1970
ant,24.55,1971
ant,23.66,1972
ant,25.93,1973
ant,23.36,1974
ant,16.82,1975
ant,35.49,1976
ant,18.42,1977
ant,15.51,1978
ant,16.18,1979
ant,16.46,1980
ant,15.58,1981
ant,17.23,1982
ant,8.76,1983
ant,21.74,1984
ant,25.16,1985
ant,7.70,1986
ant,6.85,1987
ant,6.04,1988
ant,8.51,1989
ant,8.90,1990
ant,7.33,1991
ant,6.17,1992
ant,9.55,1993
ant,9.36,1994
ant,9.32,1995
ant,8.89,1996
ant,9.37,1997
ant,0.42,1998
ant,3.19,1999
ant,8.52,2000
ant,8.68,2001
ant,8.34,2002
ant,8.28,2003
ant,8.60,2004
ant,8.41,2005
ant,8.64,2006
ant,9.64,2007
ant,9.00,2008
ant,8.94,2009
ant,6.81,2010
ant,9.06,2011
are,0.03,1959
are,0.03,1960
are,0.03,1961
are,0.05,1962
are,0.05,1963
are,0.04,1964
are,0.04,1965
are,0.04,1966
are,1.50,1967
are,1.88,1968
are,27.80,1969
are,17.94,1970
are,21.20,1971
are,19.81,1972
are,21.80,1973
are,18.84,1974
are,15.88,1975
are,17.32,1976
are,14.59,1977
are,14.75,1978
are,10.76,1979
are,9.90,1980
are,9.20,1981
are,8.69,1982
are,7.92,1983
are,9.89,1984
are,10.09,1985
are,9.02,1986
are,8.57,1987
are,8.19,1988
are,8.69,1989
are,7.84,1990
are,8.14,1991
are,7.87,1992
are,8.48,1993
are,8.93,1994
are,8.20,1995
are,4.53,1996
are,4.35,1997
are,8.07,1998
are,7.38,1999
are,10.12,2000
are,8.78,2001
are,7.10,2002
are,8.57,2003
are,8.44,2004
are,7.78,2005
are,7.24,2006
are,6.56,2007
are,6.38,2008
are,5.74,2009
are,5.41,2010
are,5.45,2011
arg,0.48,1950
arg,0.55,1951
arg,0.55,1952
arg,0.53,1953
arg,0.54,1954
arg,0.57,1955
arg,0.63,1956
arg,0.66,1957
arg,0.60,1958
arg,0.66,1959
arg,0.65,1960
arg,0.67,1961
arg,0.69,1962
arg,0.63,1963
arg,0.69,1964
arg,0.72,1965
arg,0.76,1966
arg,0.78,1967
arg,0.81,1968
arg,0.89,1969
arg,0.94,1970
arg,1.00,1971
arg,0.99,1972
arg,1.02,1973
arg,1.02,1974
arg,0.99,1975
arg,1.03,1976
arg,1.02,1977
arg,1.03,1978
arg,1.09,1979
arg,1.05,1980
arg,0.97,1981
arg,0.97,1982
arg,0.97,1983
arg,0.97,1984
arg,0.90,1985
arg,0.92,1986
arg,1.00,1987
arg,1.04,1988
arg,0.99,1989
arg,0.94,1990
arg,0.96,1991
arg,0.99,1992
arg,0.95,1993
arg,0.98,1994
arg,0.96,1995
arg,1.00,1996
arg,1.03,1997
arg,1.04,1998
arg,1.09,1999
arg,1.04,2000
arg,0.97,2001
arg,0.89,2002
arg,0.96,2003
arg,1.11,2004
arg,1.13,2005
arg,1.22,2006
arg,1.25,2007
arg,1.32,2008
arg,1.23,2009
arg,1.21,2010
arg,1.27,2011
arm,0.32,1992
arm,0.23,1993
arm,0.25,1994
arm,0.30,1995
arm,0.22,1996
arm,0.29,1997
arm,0.30,1998
arm,0.27,1999
arm,0.31,2000
arm,0.31,2001
arm,0.27,2002
arm,0.31,2003
arm,0.32,2004
arm,0.39,2005
arm,0.39,2006
arm,0.46,2007
arm,0.51,2008
arm,0.40,2009
arm,0.39,2010
arm,0.46,2011
atg,0.11,1957
atg,0.16,1958
atg,0.15,1959
atg,0.18,1960
atg,0.23,1961
atg,0.49,1962
atg,0.39,1963
atg,0.43,1964
atg,0.69,1965
atg,1.56,1966
atg,2.48,1967
atg,4.27,1968
atg,5.32,1969
atg,1.91,1970
atg,1.75,1971
atg,1.52,1972
atg,1.33,1973
atg,1.70,1974
atg,2.77,1975
atg,1.57,1976
atg,1.81,1977
atg,1.90,1978
atg,1.58,1979
atg,0.56,1980
atg,0.42,1981
atg,1.16,1982
atg,0.33,1983
atg,0.60,1984
atg,1.03,1985
atg,1.05,1986
atg,1.17,1987
atg,1.24,1988
atg,1.25,1989
atg,1.32,1990
atg,1.25,1991
atg,1.23,1992
atg,1.27,1993
atg,1.26,1994
atg,1.28,1995
atg,1.25,1996
atg,1.27,1997
atg,1.23,1998
atg,1.26,1999
atg,1.21,2000
atg,1.18,2001
atg,1.23,2002
atg,1.30,2003
atg,1.33,2004
atg,1.34,2005
atg,1.37,2006
atg,1.52,2007
atg,1.54,2008
atg,1.61,2009
atg,1.64,2010
atg,1.59,2011
aus,1.83,1950
aus,1.92,1951
aus,1.91,1952
aus,1.84,1953
aus,2.06,1954
aus,2.09,1955
aus,2.12,1956
aus,2.11,1957
aus,2.15,1958
aus,2.27,1959
aus,2.34,1960
aus,2.35,1961
aus,2.42,1962
aus,2.53,1963
aus,2.67,1964
aus,2.90,1965
aus,2.82,1966
aus,2.96,1967
aus,3.02,1968
aus,3.11,1969
aus,3.16,1970
aus,3.21,1971
aus,3.24,1972
aus,3.46,1973
aus,3.43,1974
aus,3.45,1975
aus,3.38,1976
aus,3.60,1977
aus,3.83,1978
aus,3.85,1979
aus,4.09,1980
aus,4.22,1981
aus,4.23,1982
aus,4.00,1983
aus,4.14,1984
aus,4.16,1985
aus,4.07,1986
aus,4.28,1987
aus,4.29,1988
aus,4.49,1989
aus,4.21,1990
aus,4.12,1991
aus,4.17,1992
aus,4.27,1993
aus,4.23,1994
aus,4.24,1995
aus,4.50,1996
aus,4.50,1997
aus,4.61,1998
aus,4.68,1999
aus,4.69,2000
aus,4.57,2001
aus,4.75,2002
aus,4.62,2003
aus,4.65,2004
aus,4.68,2005
aus,4.71,2006
aus,4.67,2007
aus,4.74,2008
aus,4.73,2009
aus,4.48,2010
aus,4.43,2011
aut,0.82,1950
aut,0.92,1951
aut,0.87,1952
aut,0.86,1953
aut,0.96,1954
aut,1.14,1955
aut,1.11,1956
aut,1.14,1957
aut,1.10,1958
aut,1.09,1959
aut,1.19,1960
aut,1.23,1961
aut,1.30,1962
aut,1.41,1963
aut,1.47,1964
aut,1.43,1965
aut,1.46,1966
aut,1.48,1967
aut,1.56,1968
aut,1.64,1969
aut,1.85,1970
aut,1.90,1971
aut,2.04,1972
aut,2.17,1973
aut,2.07,1974
aut,1.96,1975
aut,2.10,1976
aut,2.02,1977
aut,2.07,1978
aut,2.22,1979
aut,1.89,1980
aut,2.03,1981
aut,1.95,1982
aut,1.88,1983
aut,1.97,1984
aut,1.97,1985
aut,1.95,1986
aut,2.08,1987
aut,1.91,1988
aut,1.93,1989
aut,2.05,1990
aut,2.18,1991
aut,1.99,1992
aut,1.99,1993
aut,1.97,1994
aut,2.06,1995
aut,2.17,1996
aut,2.15,1997
aut,2.18,1998
aut,2.11,1999
aut,2.12,2000
aut,2.23,2001
aut,2.26,2002
aut,2.42,2003
aut,2.41,2004
aut,2.46,2005
aut,2.38,2006
aut,2.29,2007
aut,2.25,2008
aut,2.07,2009
aut,2.21,2010
aut,2.11,2011
aze,2.11,1992
aze,1.78,1993
aze,1.52,1994
aze,1.18,1995
aze,1.10,1996
aze,1.03,1997
aze,1.08,1998
aze,0.97,1999
aze,0.99,2000
aze,0.96,2001
aze,0.98,2002
aze,1.00,2003
aze,1.03,2004
aze,1.09,2005
aze,1.23,2006
aze,0.95,2007
aze,1.09,2008
aze,0.97,2009
aze,0.92,2010
aze,0.99,2011
