geo,time,gapminder_gini
afg,1800,30.5
afg,1801,30.5
afg,1802,30.5
afg,1803,30.5
afg,1804,30.5
afg,1805,30.5
afg,1806,30.5
afg,1807,30.5
afg,1808,30.5
afg,1809,30.5
afg,1810,30.5
afg,1811,30.5
afg,1812,30.5
afg,1813,30.5
afg,1814,30.5
afg,1815,30.5
afg,1816,30.5
afg,1817,30.5
afg,1818,30.5
afg,1819,30.5
afg,1820,30.5
afg,1821,30.5
afg,1822,30.5
afg,1823,30.5
afg,1824,30.5
afg,1825,30.5
afg,1826,30.5
afg,1827,30.5
afg,1828,30.5
afg,1829,30.5
afg,1830,30.5
afg,1831,30.5
afg,1832,30.5
afg,1833,30.5
afg,1834,30.5
afg,1835,30.5
afg,1836,30.5
afg,1837,30.5
afg,1838,30.5
afg,1839,30.5
afg,1840,30.5
afg,1841,30.5
afg,1842,30.5
afg,1843,30.5
afg,1844,30.5
afg,1845,30.5
afg,1846,30.5
afg,1847,30.5
afg,1848,30.5
afg,1849,30.5
afg,1850,30.5
afg,1851,31.5
afg,1852,32.4
afg,1853,33.4
afg,1854,34.3
afg,1855,35.3
afg,1856,36.2
afg,1857,37.2
afg,1858,38.1
afg,1859,39.1
afg,1860,40
afg,1861,41
afg,1862,42
afg,1863,42.9
afg,1864,43.9
afg,1865,44.8
afg,1866,45.8
afg,1867,46.7
afg,1868,47.7
afg,1869,48.6
afg,1870,49.6
afg,1871,48.9
afg,1872,48.3
afg,1873,47.6
afg,1874,47
afg,1875,46.3
afg,1876,45.7
afg,1877,45
afg,1878,44.4
afg,1879,43.7
afg,1880,43.1
afg,1881,42.4
afg,1882,41.7
afg,1883,41.1
afg,1884,40.4
afg,1885,39.8
afg,1886,39.1
afg,1887,38.5
afg,1888,37.8
afg,1889,37.2
afg,1890,36.5
afg,1891,36.8
afg,1892,37.1
afg,1893,37.4
afg,1894,37.7
afg,1895,38
afg,1896,38.3
afg,1897,38.6
afg,1898,38.9
afg,1899,39.2
afg,1900,39.5
afg,1901,39.8
afg,1902,40.1
afg,1903,40.4
afg,1904,40.7
afg,1905,41
afg,1906,41.3
afg,1907,41.6
afg,1908,41.9
afg,1909,42.2
afg,1910,42.5
afg,1911,42.2
afg,1912,42
afg,1913,41.8
afg,1914,41.5
afg,1915,41.3
afg,1916,41
afg,1917,40.8
afg,1918,40.5
afg,1919,40.3
afg,1920,40.1
afg,1921,39.8
afg,1922,39.6
afg,1923,39.3
afg,1924,39.1
afg,1925,38.8
afg,1926,38.6
afg,1927,38.4
afg,1928,38.1
afg,1929,37.9
afg,1930,37.7
afg,1931,37.5
afg,1932,37.2
afg,1933,37
afg,1934,36.8
afg,1935,36.6
afg,1936,36.4
afg,1937,36.2
afg,1938,36
afg,1939,35.8
afg,1940,35.6
afg,1941,35.4
afg,1942,35.2
afg,1943,34.9
afg,1944,34.7
afg,1945,34.5
afg,1946,34.3
afg,1947,34.1
afg,1948,33.9
afg,1949,33.7
afg,1950,33.5
afg,1951,33.6
afg,1952,33.7
afg,1953,33.9
afg,1954,34
afg,1955,34.1
afg,1956,34.3
afg,1957,34.4
afg,1958,34.5
afg,1959,34.7
afg,1960,34.8
afg,1961,34.3
afg,1962,33.8
afg,1963,33.3
afg,1964,32.8
afg,1965,32.3
afg,1966,31.7
afg,1967,31.2
afg,1968,30.7
afg,1969,30.2
afg,1970,29.7
afg,1971,30.2
afg,1972,30.6
afg,1973,31.1
afg,1974,31.5
afg,1975,32
afg,1976,32
afg,1977,32
afg,1978,32.1
afg,1979,32.1
afg,1980,32.1
afg,1981,32
afg,1982,31.9
afg,1983,31.8
afg,1984,31.8
afg,1985,31.7
afg,1986,32.6
afg,1987,33.5
afg,1988,34.5
afg,1989,35.4
afg,1990,36.3
afg,1991,36.4
afg,1992,36.5
afg,1993,36.5
afg,1994,36.6
afg,1995,36.6
afg,1996,36.6
afg,1997,36.6
afg,1998,36.6
afg,1999,36.6
afg,2000,36.6
afg,2001,35.4
afg,2002,34.1
afg,2003,32.9
afg,2004,31.6
afg,2005,30.3
afg,2006,29.1
afg,2007,27.8
afg,2008,27.8
afg,2009,27.8
afg,2010,27.8
afg,2011,27.8
afg,2012,27.8
afg,2013,27.8
afg,2014,27.8
afg,2015,27.8
ago,1800,48.9
ago,1801,48.9
ago,1802,48.9
ago,1803,48.9
ago,1804,48.9
ago,1805,48.9
ago,1806,48.9
ago,1807,48.9
ago,1808,48.9
ago,1809,48.9
ago,1810,48.9
ago,1811,48.9
ago,1812,48.9
ago,1813,48.9
ago,1814,48.9
ago,1815,48.9
ago,1816,48.9
ago,1817,48.9
ago,1818,48.9
ago,1819,48.9
ago,1820,48.9
ago,1821,48.6
ago,1822,48.4
ago,1823,48.1
ago,1824,47.8
ago,1825,47.5
ago,1826,47.2
ago,1827,46.9
ago,1828,46.7
ago,1829,46.4
ago,1830,46.1
ago,1831,45.8
ago,1832,45.5
ago,1833,45.2
ago,1834,44.9
ago,1835,44.7
ago,1836,44.4
ago,1837,44.1
ago,1838,43.8
ago,1839,43.5
ago,1840,43.2
ago,1841,42.9
ago,1842,42.7
ago,1843,42.4
ago,1844,42.1
ago,1845,41.8
ago,1846,41.5
ago,1847,41.2
ago,1848,41
ago,1849,40.7
ago,1850,40.4
ago,1851,40.1
ago,1852,39.8
ago,1853,39.5
ago,1854,39.2
ago,1855,39
ago,1856,38.7
ago,1857,38.4
ago,1858,38.1
ago,1859,37.8
ago,1860,37.5
ago,1861,37.2
ago,1862,37
ago,1863,36.7
ago,1864,36.4
ago,1865,36.1
ago,1866,35.8
ago,1867,35.5
ago,1868,35.2
ago,1869,35
ago,1870,34.7
ago,1871,34.4
ago,1872,34.1
ago,1873,33.8
ago,1874,33.5
ago,1875,33.3
ago,1876,33
ago,1877,32.7
ago,1878,32.4
ago,1879,32.1
ago,1880,31.8
ago,1881,31.5
ago,1882,31.3
ago,1883,31
ago,1884,30.7
ago,1885,30.4
ago,1886,30.1
ago,1887,29.8
ago,1888,29.5
ago,1889,29.3
ago,1890,29
ago,1891,29.6
ago,1892,30.2
ago,1893,30.8
ago,1894,31.4
ago,1895,31.9
ago,1896,32.5
ago,1897,33.1
ago,1898,33.7
ago,1899,34.3
ago,1900,34.9
ago,1901,35.5
ago,1902,36.1
ago,1903,36.7
ago,1904,37.3
ago,1905,37.9
ago,1906,38.5
ago,1907,39.1
ago,1908,39.7
ago,1909,40.3
ago,1910,40.9
ago,1911,41.5
ago,1912,42.2
ago,1913,42.8
ago,1914,43.4
ago,1915,44.1
ago,1916,44.7
ago,1917,45.4
ago,1918,46
ago,1919,46.6
ago,1920,47.3
ago,1921,47.9
ago,1922,48.6
ago,1923,49.2
ago,1924,49.9
ago,1925,50.5
ago,1926,51.1
ago,1927,51.8
ago,1928,52.4
ago,1929,53.1
ago,1930,52.8
ago,1931,52.6
ago,1932,52.4
ago,1933,52.2
ago,1934,52
ago,1935,51.8
ago,1936,51.5
ago,1937,51.3
ago,1938,51.1
ago,1939,50.9
ago,1940,50.7
ago,1941,50.4
ago,1942,50.2
ago,1943,50
ago,1944,49.8
ago,1945,49.6
ago,1946,49.4
ago,1947,49.1
ago,1948,48.9
ago,1949,48.7
ago,1950,48.5
ago,1951,48.7
ago,1952,48.9
ago,1953,49.1
ago,1954,49.3
ago,1955,49.5
ago,1956,49.7
ago,1957,49.9
ago,1958,50.1
ago,1959,50.3
ago,1960,50.5
ago,1961,50.7
ago,1962,50.9
ago,1963,51.1
ago,1964,51.3
ago,1965,51.5
ago,1966,51.7
ago,1967,51.9
ago,1968,52.1
ago,1969,52.3
ago,1970,52.5
ago,1971,52.8
ago,1972,53
ago,1973,53.2
ago,1974,53.4
ago,1975,53.6
ago,1976,53.8
ago,1977,54
ago,1978,54.2
ago,1979,54.4
ago,1980,54.6
ago,1981,54.8
ago,1982,55
ago,1983,55.2
ago,1984,55.4
ago,1985,55.6
ago,1986,55.8
ago,1987,56
ago,1988,56.2
ago,1989,56.4
ago,1990,56.6
ago,1991,56.8
ago,1992,57
ago,1993,57.2
ago,1994,57.4
ago,1995,57.6
ago,1996,57.8
ago,1997,58
ago,1998,58.2
ago,1999,58.4
ago,2000,58.6
ago,2001,50.8
ago,2002,43
ago,2003,42.9
ago,2004,42.9
ago,2005,42.8
ago,2006,42.8
ago,2007,42.7
ago,2008,42.7
ago,2009,42.7
ago,2010,42.7
ago,2011,42.7
ago,2012,42.7
ago,2013,42.7
ago,2014,42.7
ago,2015,42.7
alb,1800,41.2
alb,1801,41.2
alb,1802,41.2
alb,1803,41.2
alb,1804,41.2
alb,1805,41.2
alb,1806,41.2
alb,1807,41.2
alb,1808,41.2
alb,1809,41.2
alb,1810,41.2
alb,1811,41.2
alb,1812,41.2
alb,1813,41.2
alb,1814,41.2
alb,1815,41.2
alb,1816,41.2
alb,1817,41.2
alb,1818,41.2
alb,1819,41.2
alb,1820,41.2
alb,1821,41.2
alb,1822,41.2
alb,1823,41.2
alb,1824,41.2
alb,1825,41.2
alb,1826,41.2
alb,1827,41.2
alb,1828,41.2
alb,1829,41.2
alb,1830,41.2
alb,1831,41.2
alb,1832,41.2
alb,1833,41.2
alb,1834,41.2
alb,1835,41.2
alb,1836,41.2
alb,1837,41.2
alb,1838,41.2
alb,1839,41.2
alb,1840,41.2
alb,1841,41.2
alb,1842,41.2
alb,1843,41.2
alb,1844,41.2
alb,1845,41.2
alb,1846,41.2
alb,1847,41.2
alb,1848,41.2
alb,1849,41.2
alb,1850,41.2
alb,1851,41.2
alb,1852,41.2
alb,1853,41.2
alb,1854,41.2
alb,1855,41.2
alb,1856,41.2
alb,1857,41.2
alb,1858,41.2
alb,1859,41.2
alb,1860,41.2
alb,1861,41.2
alb,1862,41.2
alb,1863,41.2
alb,1864,41.2
alb,1865,41.2
alb,1866,41.2
alb,1867,41.2
alb,1868,41.2
alb,1869,41.2
alb,1870,41.2
alb,1871,40.6
alb,1872,39.9
alb,1873,39.3
alb,1874,38.7
alb,1875,38
alb,1876,37.4
alb,1877,36.7
alb,1878,36.1
alb,1879,35.4
alb,1880,34.8
alb,1881,34.2
alb,1882,33.5
alb,1883,32.9
alb,1884,32.2
alb,1885,31.6
alb,1886,30.9
alb,1887,30.3
alb,1888,29.6
alb,1889,29
alb,1890,28.4
alb,1891,28.3
alb,1892,28.3
alb,1893,28.3
alb,1894,28.2
alb,1895,28.2
alb,1896,28.2
alb,1897,28.1
alb,1898,28.1
alb,1899,28.1
alb,1900,28
alb,1901,28
alb,1902,28
alb,1903,27.9
alb,1904,27.9
alb,1905,27.9
alb,1906,27.8
alb,1907,27.8
alb,1908,27.8
alb,1909,27.7
alb,1910,27.7
alb,1911,27.6
alb,1912,27.6
alb,1913,27.5
alb,1914,27.4
alb,1915,27.3
alb,1916,27.3
alb,1917,27.2
alb,1918,27.1
alb,1919,27
alb,1920,27
alb,1921,26.9
alb,1922,26.8
alb,1923,26.7
alb,1924,26.7
alb,1925,26.6
alb,1926,26.5
alb,1927,26.4
alb,1928,26.4
alb,1929,26.3
alb,1930,26.2
alb,1931,26
alb,1932,25.9
alb,1933,25.7
alb,1934,25.6
alb,1935,25.5
alb,1936,25.3
alb,1937,25.2
alb,1938,25
alb,1939,24.9
alb,1940,24.8
alb,1941,24.6
alb,1942,24.5
alb,1943,24.3
alb,1944,24.2
alb,1945,24.1
alb,1946,23.9
alb,1947,23.8
alb,1948,23.6
alb,1949,23.5
alb,1950,23.4
alb,1951,23.5
alb,1952,23.6
alb,1953,23.7
alb,1954,23.9
alb,1955,24
alb,1956,24.1
alb,1957,24.3
alb,1958,24.4
alb,1959,24.5
alb,1960,24.6
alb,1961,24.8
alb,1962,24.9
alb,1963,25
alb,1964,25.2
alb,1965,25.3
alb,1966,25.4
alb,1967,25.5
alb,1968,25.7
alb,1969,25.8
alb,1970,25.9
alb,1971,26.1
alb,1972,26.2
alb,1973,26.3
alb,1974,26.4
alb,1975,26.6
alb,1976,26.7
alb,1977,26.8
alb,1978,27
alb,1979,27.1
alb,1980,27.2
alb,1981,27.3
alb,1982,27.5
alb,1983,27.6
alb,1984,27.7
alb,1985,27.9
alb,1986,28
alb,1987,28.1
alb,1988,28.2
alb,1989,24.6
alb,1990,25.3
alb,1991,26.6
alb,1992,27.9
alb,1993,29.3
alb,1994,46.8
alb,1995,41
alb,1996,37.3
alb,1997,35.6
alb,1998,34.8
alb,1999,34.1
alb,2000,33.3
alb,2001,32.5
alb,2002,31.7
alb,2003,35.5
alb,2004,39.3
alb,2005,31.7
alb,2006,31.1
alb,2007,30.6
alb,2008,30
alb,2009,36.8
alb,2010,43.7
alb,2011,36.3
alb,2012,29
alb,2013,29
alb,2014,29
alb,2015,29
are,1800,45
are,1801,45
are,1802,45
are,1803,44.9
are,1804,44.9
are,1805,44.9
are,1806,44.9
are,1807,44.9
are,1808,44.9
are,1809,44.8
are,1810,44.8
are,1811,44.8
are,1812,44.8
are,1813,44.8
are,1814,44.7
are,1815,44.7
are,1816,44.7
are,1817,44.7
are,1818,44.7
are,1819,44.7
are,1820,44.6
are,1821,44.6
are,1822,44.6
are,1823,44.6
are,1824,44.6
are,1825,44.5
are,1826,44.5
are,1827,44.5
are,1828,44.5
are,1829,44.5
are,1830,44.5
are,1831,44.4
are,1832,44.4
are,1833,44.4
are,1834,44.4
are,1835,44.4
are,1836,44.3
are,1837,44.3
are,1838,44.3
are,1839,44.3
are,1840,44.3
are,1841,44.3
are,1842,44.2
are,1843,44.2
are,1844,44.2
are,1845,44.2
are,1846,44.2
are,1847,44.1
are,1848,44.1
are,1849,44.1
are,1850,44.1
are,1851,44.1
are,1852,44.1
are,1853,44
are,1854,44
are,1855,44
are,1856,44
are,1857,44
are,1858,43.9
are,1859,43.9
are,1860,43.9
are,1861,43.9
are,1862,43.9
are,1863,43.9
are,1864,43.8
are,1865,43.8
are,1866,43.8
are,1867,43.8
are,1868,43.8
are,1869,43.7
are,1870,43.7
are,1871,43.7
are,1872,43.7
are,1873,43.7
are,1874,43.7
are,1875,43.6
are,1876,43.6
are,1877,43.6
are,1878,43.6
are,1879,43.6
are,1880,43.5
are,1881,43.5
are,1882,43.5
are,1883,43.5
are,1884,43.5
are,1885,43.5
are,1886,43.4
are,1887,43.4
are,1888,43.4
are,1889,43.4
are,1890,43.4
are,1891,43.4
are,1892,43.4
are,1893,43.4
are,1894,43.5
are,1895,43.5
are,1896,43.5
are,1897,43.6
are,1898,43.6
are,1899,43.6
are,1900,43.6
are,1901,43.7
are,1902,43.7
are,1903,43.7
are,1904,43.8
are,1905,43.8
are,1906,43.8
are,1907,43.8
are,1908,43.9
are,1909,43.9
are,1910,43.9
are,1911,44
are,1912,44
are,1913,44
are,1914,44
are,1915,44.1
are,1916,44.1
are,1917,44.1
are,1918,44.2
are,1919,44.2
are,1920,44.2
are,1921,44.2
are,1922,44.3
are,1923,44.3
are,1924,44.3
are,1925,44.4
are,1926,44.4
are,1927,44.4
are,1928,44.4
are,1929,44.5
are,1930,44.5
are,1931,44.5
are,1932,44.6
are,1933,44.6
are,1934,44.6
are,1935,44.6
are,1936,44.7
are,1937,44.7
are,1938,44.7
are,1939,44.8
are,1940,44.8
are,1941,44.8
are,1942,44.8
are,1943,44.9
are,1944,44.9
are,1945,44.9
are,1946,45
are,1947,45
are,1948,45
are,1949,45
are,1950,45.1
are,1951,45.1
are,1952,45.1
are,1953,45.1
are,1954,45.1
are,1955,45.1
are,1956,45.1
are,1957,45.1
are,1958,45.1
are,1959,45.1
are,1960,45.1
are,1961,45.1
are,1962,45.1
are,1963,45.1
are,1964,45.1
are,1965,45.1
are,1966,45.1
are,1967,45.1
are,1968,45.1
are,1969,45.1
are,1970,45.1
are,1971,45.1
are,1972,45.1
are,1973,45.1
are,1974,45.1
are,1975,45.1
are,1976,45.1
are,1977,45.1
are,1978,45.1
are,1979,45.1
are,1980,45.1
are,1981,45.1
are,1982,45.1
are,1983,45.1
are,1984,45.1
are,1985,45.1
are,1986,45.1
are,1987,45.1
are,1988,45.1
are,1989,45.1
are,1990,45.1
are,1991,45.1
are,1992,45.1
are,1993,45.1
are,1994,45.1
are,1995,45.1
are,1996,45.1
are,1997,45.1
are,1998,45.1
are,1999,45.1
are,2000,45.1
are,2001,45.1
are,2002,45.1
are,2003,45.1
are,2004,45.1
are,2005,45.1
are,2006,45.1
are,2007,45.1
are,2008,45.1
are,2009,45.1
are,2010,45.1
are,2011,45.1
are,2012,45.1
are,2013,45.1
are,2014,45.1
are,2015,45.1
arg,1800,47.1
arg,1801,47.1
arg,1802,47.1
arg,1803,47.1
arg,1804,47.1
arg,1805,47.1
arg,1806,47.1
arg,1807,47.1
arg,1808,47.1
arg,1809,47.1
arg,1810,47.1
arg,1811,47.1
arg,1812,47.1
arg,1813,47.1
arg,1814,47.1
arg,1815,47.1
arg,1816,47.1
arg,1817,47.1
arg,1818,47.1
arg,1819,47.1
arg,1820,47.1
arg,1821,46.7
arg,1822,46.2
arg,1823,45.8
arg,1824,45.3
arg,1825,44.9
arg,1826,44.4
arg,1827,44
arg,1828,43.5
arg,1829,43.1
arg,1830,42.6
arg,1831,42.2
arg,1832,41.7
arg,1833,41.3
arg,1834,40.8
arg,1835,40.4
arg,1836,39.9
arg,1837,39.5
arg,1838,39.1
arg,1839,38.6
arg,1840,38.2
arg,1841,37.7
arg,1842,37.3
arg,1843,36.8
arg,1844,36.4
arg,1845,35.9
arg,1846,35.5
arg,1847,35
arg,1848,34.6
arg,1849,34.1
arg,1850,33.7
arg,1851,33.3
arg,1852,32.8
arg,1853,32.4
arg,1854,32
arg,1855,31.6
arg,1856,31.2
arg,1857,30.8
arg,1858,30.3
arg,1859,29.9
arg,1860,29.5
arg,1861,29.1
arg,1862,28.7
arg,1863,28.2
arg,1864,27.8
arg,1865,27.4
arg,1866,27
arg,1867,26.6
arg,1868,26.1
arg,1869,25.7
arg,1870,25.3
arg,1871,26.1
arg,1872,26.9
arg,1873,27.7
arg,1874,28.5
arg,1875,29.4
arg,1876,30.2
arg,1877,31
arg,1878,31.8
arg,1879,32.6
arg,1880,33.4
arg,1881,34.2
arg,1882,35
arg,1883,35.8
arg,1884,36.6
arg,1885,37.5
arg,1886,38.3
arg,1887,39.1
arg,1888,39.9
arg,1889,40.7
arg,1890,41.5
arg,1891,41.7
arg,1892,42
arg,1893,42.2
arg,1894,42.4
arg,1895,42.7
arg,1896,42.9
arg,1897,43.1
arg,1898,43.3
arg,1899,43.6
arg,1900,43.8
arg,1901,44
arg,1902,44.3
arg,1903,44.5
arg,1904,44.7
arg,1905,45
arg,1906,45.2
arg,1907,45.4
arg,1908,45.6
arg,1909,45.9
arg,1910,46.1
arg,1911,46.1
arg,1912,46
arg,1913,46
arg,1914,46
arg,1915,45.9
arg,1916,45.9
arg,1917,45.8
arg,1918,45.8
arg,1919,45.8
arg,1920,45.7
arg,1921,45.7
arg,1922,45.7
arg,1923,45.6
arg,1924,45.6
arg,1925,45.5
arg,1926,45.5
arg,1927,45.5
arg,1928,45.4
arg,1929,45.4
arg,1930,45.1
arg,1931,44.8
arg,1932,44.4
arg,1933,44.1
arg,1934,43.8
arg,1935,43.5
arg,1936,43.2
arg,1937,42.9
arg,1938,42.5
arg,1939,42.2
arg,1940,41.9
arg,1941,41.6
arg,1942,41.3
arg,1943,41
arg,1944,40.6
arg,1945,40.3
arg,1946,40
arg,1947,40.3
arg,1948,40.6
arg,1949,40.9
arg,1950,41.2
arg,1951,43
arg,1952,44.7
arg,1953,43.3
arg,1954,41.9
arg,1955,46.3
arg,1956,45.4
arg,1957,44.6
arg,1958,43.7
arg,1959,42.9
arg,1960,42
arg,1961,40.7
arg,1962,39.3
arg,1963,38
arg,1964,36.6
arg,1965,35.3
arg,1966,35.3
arg,1967,35.3
arg,1968,35.3
arg,1969,35.3
arg,1970,35.3
arg,1971,35.5
arg,1972,35.6
arg,1973,35.8
arg,1974,35.9
arg,1975,36.1
arg,1976,37.2
arg,1977,38.3
arg,1978,39.4
arg,1979,40.5
arg,1980,41.6
arg,1981,41.4
arg,1982,41.2
arg,1983,41
arg,1984,40.8
arg,1985,40.6
arg,1986,42.8
arg,1987,45.3
arg,1988,44.6
arg,1989,43.8
arg,1990,43.1
arg,1991,46.8
arg,1992,45.5
arg,1993,44.9
arg,1994,45.9
arg,1995,48.9
arg,1996,49.5
arg,1997,49.1
arg,1998,50.7
arg,1999,49.8
arg,2000,51.1
arg,2001,53.3
arg,2002,53.8
arg,2003,53.5
arg,2004,50.2
arg,2005,49.3
arg,2006,48.3
arg,2007,47.4
arg,2008,46.3
arg,2009,45.3
arg,2010,44.5
arg,2011,43.6
arg,2012,43.6
arg,2013,43.6
arg,2014,43.6
arg,2015,43.6
arm,1800,29.1
arm,1801,29.1
arm,1802,29.1
arm,1803,29.1
arm,1804,29.1
arm,1805,29.1
arm,1806,29.1
arm,1807,29.1
arm,1808,29.1
arm,1809,29.1
arm,1810,29.1
arm,1811,29.1
arm,1812,29.1
arm,1813,29.1
arm,1814,29.1
arm,1815,29.1
arm,1816,29.1
arm,1817,29.1
arm,1818,29.1
arm,1819,29.1
arm,1820,29.1
arm,1821,29.1
arm,1822,29.1
arm,1823,29.1
arm,1824,29.1
arm,1825,29.1
arm,1826,29.1
arm,1827,29.1
arm,1828,29.1
arm,1829,29.1
arm,1830,29.1
arm,1831,29.1
arm,1832,29.1
arm,1833,29.1
arm,1834,29.1
arm,1835,29.1
arm,1836,29.1
arm,1837,29.1
arm,1838,29.1
arm,1839,29.1
arm,1840,29.1
arm,1841,29.1
arm,1842,29.1
arm,1843,29.1
arm,1844,29.1
arm,1845,29.1
arm,1846,29.1
arm,1847,29.1
arm,1848,29.1
arm,1849,29.1
arm,1850,29.1
arm,1851,30.6
arm,1852,32.2
arm,1853,33.7
arm,1854,35.2
arm,1855,36.7
arm,1856,38.2
arm,1857,39.8
arm,1858,41.3
arm,1859,42.8
arm,1860,44.3
arm,1861,45.9
arm,1862,47.4
arm,1863,48.9
arm,1864,50.4
arm,1865,51.9
arm,1866,53.5
arm,1867,55
arm,1868,56.5
arm,1869,58
arm,1870,59.5
arm,1871,58.2
arm,1872,56.9
arm,1873,55.5
arm,1874,54.2
arm,1875,52.8
arm,1876,51.5
arm,1877,50.2
arm,1878,48.8
arm,1879,47.5
arm,1880,46.1
arm,1881,44.8
arm,1882,43.5
arm,1883,42.1
arm,1884,40.8
arm,1885,39.5
arm,1886,38.1
arm,1887,36.8
arm,1888,35.4
arm,1889,34.1
arm,1890,32.8
arm,1891,33
arm,1892,33.2
arm,1893,33.4
arm,1894,33.6
arm,1895,33.8
arm,1896,34
arm,1897,34.2
arm,1898,34.4
arm,1899,34.6
arm,1900,34.8
arm,1901,35
arm,1902,35.2
arm,1903,35.4
arm,1904,35.6
arm,1905,35.8
arm,1906,36
arm,1907,36.2
arm,1908,36.4
arm,1909,36.6
arm,1910,36.8
arm,1911,37
arm,1912,37.2
arm,1913,37.3
arm,1914,37.5
arm,1915,37.6
arm,1916,37.8
arm,1917,37.9
arm,1918,38.1
arm,1919,38.2
arm,1920,38.4
arm,1921,38.5
arm,1922,38.7
arm,1923,38.9
arm,1924,39
arm,1925,39.2
arm,1926,39.3
arm,1927,39.5
arm,1928,39.6
arm,1929,39.8
arm,1930,39.9
arm,1931,40.1
arm,1932,40.2
arm,1933,40.4
arm,1934,40.5
arm,1935,40.7
arm,1936,40.9
