geo,life_expectancy_years,time
afg,28.21,1800
afg,28.20,1801
afg,28.19,1802
afg,28.18,1803
afg,28.17,1804
afg,28.16,1805
afg,28.15,1806
afg,28.14,1807
afg,28.13,1808
afg,28.12,1809
afg,28.11,1810
afg,28.10,1811
afg,28.09,1812
afg,28.08,1813
afg,28.07,1814
afg,28.06,1815
afg,28.05,1816
afg,28.04,1817
afg,28.03,1818
afg,28.02,1819
afg,28.01,1820
afg,28.00,1821
afg,27.99,1822
afg,27.98,1823
afg,27.97,1824
afg,27.95,1825
afg,27.94,1826
afg,27.93,1827
afg,27.92,1828
afg,27.91,1829
afg,27.90,1830
afg,27.89,1831
afg,27.88,1832
afg,27.87,1833
afg,27.86,1834
afg,27.85,1835
afg,27.84,1836
afg,27.83,1837
afg,27.82,1838
afg,27.81,1839
afg,27.80,1840
afg,27.79,1841
afg,27.78,1842
afg,27.77,1843
afg,27.76,1844
afg,27.75,1845
afg,27.74,1846
afg,27.73,1847
afg,27.72,1848
afg,27.71,1849
afg,27.70,1850
afg,27.69,1851
afg,27.68,1852
afg,27.67,1853
afg,27.66,1854
afg,27.65,1855
afg,27.64,1856
afg,27.63,1857
afg,27.62,1858
afg,27.61,1859
afg,27.60,1860
afg,27.59,1861
afg,27.58,1862
afg,27.57,1863
afg,27.56,1864
afg,27.54,1865
afg,27.53,1866
afg,27.52,1867
afg,27.51,1868
afg,27.50,1869
afg,27.49,1870
afg,27.48,1871
afg,27.47,1872
afg,27.46,1873
afg,27.45,1874
afg,27.44,1875
afg,27.43,1876
afg,27.42,1877
afg,27.41,1878
afg,27.40,1879
afg,27.39,1880
afg,27.38,1881
afg,27.37,1882
afg,27.36,1883
afg,27.35,1884
afg,27.34,1885
afg,27.33,1886
afg,27.32,1887
afg,27.31,1888
afg,27.30,1889
afg,27.29,1890
afg,27.28,1891
afg,27.27,1892
afg,27.26,1893
afg,27.25,1894
afg,27.24,1895
afg,27.23,1896
afg,27.22,1897
afg,27.21,1898
afg,27.20,1899
afg,27.19,1900
afg,27.18,1901
afg,27.17,1902
afg,27.16,1903
afg,27.15,1904
afg,27.14,1905
afg,27.12,1906
afg,27.11,1907
afg,27.10,1908
afg,27.09,1909
afg,27.08,1910
afg,27.07,1911
afg,27.06,1912
afg,27.05,1913
afg,27.04,1914
afg,27.03,1915
afg,27.02,1916
afg,27.01,1917
afg,7.04,1918
afg,26.99,1919
afg,26.98,1920
afg,27.07,1921
afg,27.17,1922
afg,27.26,1923
afg,27.35,1924
