geo,population_total,time
afg,3280000,1800
afg,3280000,1820
afg,4207000,1870
afg,5730000,1913
afg,8151455,1950
afg,8276820,1951
afg,8407148,1952
afg,8542906,1953
afg,8684494,1954
afg,8832253,1955
afg,8986449,1956
afg,9147286,1957
afg,9314915,1958
afg,9489453,1959
afg,9671046,1960
afg,9859928,1961
afg,10056480,1962
afg,10261254,1963
afg,10474903,1964
afg,10697983,1965
afg,10927724,1966
afg,11163656,1967
afg,11411022,1968
afg,11676990,1969
afg,11964906,1970
afg,12273101,1971
afg,12593688,1972
afg,12915499,1973
afg,13223928,1974
afg,13505544,1975
afg,13766792,1976
afg,14003408,1977
afg,14179656,1978
afg,14249493,1979
afg,14185729,1980
afg,13984092,1981
afg,13672870,1982
afg,13300056,1983
afg,12931791,1984
afg,12625292,1985
afg,12372113,1986
afg,12183387,1987
afg,12156685,1988
afg,12414686,1989
afg,13032161,1990
afg,14069854,1991
afg,15472076,1992
afg,17053213,1993
afg,18553819,1994
afg,19789880,1995
afg,20684982,1996
afg,21299350,1997
afg,21752257,1998
afg,22227543,1999
afg,22856302,2000
afg,23677385,2001
afg,24639841,2002
afg,25678639,2003
afg,26693486,2004
afg,27614718,2005
afg,28420974,2006
afg,29145841,2007
afg,29839994,2008
afg,30577756,2009
afg,31411743,2010
afg,32358260,2011
afg,33397058,2012
afg,34499915,2013
afg,35623235,2014
afg,36734767,2015
afg,37827367,2016
afg,38909961,2017
afg,39985357,2018
afg,41060725,2019
afg,42141417,2020
afg,43225817,2021
afg,44310944,2022
afg,45399635,2023
afg,46495775,2024
afg,47602055,2025
afg,48719443,2026
afg,49846825,2027
afg,50982216,2028
afg,52122621,2029
afg,53265732,2030
afg,54410875,2031
afg,55558284,2032
afg,56707607,2033
afg,57858669,2034
afg,59011260,2035
afg,60164833,2036
afg,61318908,2037
afg,62473449,2038
afg,63628558,2039
afg,64784179,2040
afg,65939910,2041
afg,67095167,2042
afg,68249465,2043
afg,69402258,2044
afg,70552945,2045
afg,71700895,2046
afg,72845404,2047
afg,73985674,2048
afg,75120836,2049
afg,76249991,2050
afg,77372363,2051
afg,78487049,2052
afg,79592839,2053
afg,80688400,2054
afg,81772516,2055
afg,82844318,2056
afg,83903014,2057
afg,84947566,2058
afg,85976919,2059
afg,86990148,2060
afg,87986510,2061
afg,88965442,2062
afg,89926474,2063
afg,90869249,2064
afg,91793429,2065
afg,92698506,2066
afg,93584085,2067
afg,94450112,2068
afg,95296670,2069
afg,96123727,2070
afg,96931146,2071
afg,97718541,2072
afg,98485344,2073
afg,99230868,2074
afg,99954587,2075
afg,100656164,2076
afg,101335571,2077
afg,101992983,2078
afg,102628740,2079
afg,103243053,2080
afg,103835931,2081
afg,104407139,2082
afg,104956355,2083
afg,105483156,2084
afg,105987231,2085
afg,106468522,2086
afg,106927108,2087
afg,107363005,2088
afg,107776279,2089
afg,108167022,2090
afg,108535356,2091
afg,108881428,2092
afg,109205418,2093
afg,109507544,2094
afg,109788062,2095
afg,110047274,2096
afg,110285526,2097
afg,110503205,2098
afg,110700747,2099
afg,110878627,2100
akr_a_dhe,3710,1800
akr_a_dhe,15700,2005
akr_a_dhe,15700,2008
ala,2919,1700
ala,7135,1800
ala,8532,1820
ala,21378,1910
ala,20423,1920
ala,19705,1930
ala,21196,1940
ala,21690,1950
ala,20981,1960
ala,20666,1970
ala,22783,1980
ala,24604,1990
ala,25776,2000
ala,26008,2001
ala,26257,2002
ala,26347,2003
ala,26530,2004
ala,26766,2005
ala,26923,2006
ala,26923,2010
alb,200000,1600
alb,300000,1700
alb,410445,1800
alb,437000,1820
alb,500000,1850
alb,603000,1870
alb,726000,1890
alb,800000,1900
alb,874000,1910
alb,898000,1913
alb,932000,1920
alb,937000,1921
alb,942000,1922
alb,947000,1923
alb,952000,1924
alb,956000,1925
alb,962000,1926
alb,967000,1927
alb,972000,1928
alb,977000,1929
alb,982000,1930
alb,988000,1931
alb,993000,1932
alb,998000,1933
alb,1003000,1934
alb,1009000,1935
alb,1014000,1936
alb,1030000,1937
alb,1040000,1938
alb,1070000,1939
alb,1088000,1940
alb,1100000,1941
alb,1117000,1942
alb,1119000,1943
alb,1122000,1944
alb,1138000,1945
alb,1154000,1946
alb,1175000,1947
alb,1192000,1948
alb,1209000,1949
alb,1215002,1950
alb,1239971,1951
alb,1269302,1952
alb,1302536,1953
alb,1339240,1954
alb,1378998,1955
alb,1421417,1956
alb,1466124,1957
alb,1512765,1958
alb,1561012,1959
alb,1610565,1960
alb,1661158,1961
alb,1712563,1962
alb,1764593,1963
alb,1817098,1964
alb,1869942,1965
alb,1922993,1966
alb,1976140,1967
alb,2029314,1968
