geo,time,sg_population
afg,1800,3280000.00
ago,1800,1567028.00
alb,1800,410445.00
are,1800,40153.00
arg,1800,534000.00
arm,1800,413326.00
atg,1800,37000.00
aus,1800,351014.00
aut,1800,3205587.00
aze,1800,879960.00
bdi,1800,899097.00
bel,1800,3138137.00
ben,1800,636559.00
bfa,1800,1665421.00
bgd,1800,19227358.00
bgr,1800,1992320.00
bhr,1800,64474.00
bhs,1800,27350.00
bih,1800,851806.00
blr,1800,2355081.00
blz,1800,25526.00
bol,1800,1100000.00
bra,1800,3639636.00
brb,1800,81729.00
brn,1800,2128.00
btn,1800,89989.00
bwa,1800,121000.00
caf,1800,479444.00
can,1800,645526.00
che,1800,1826051.00
chl,1800,771447.00
chn,1800,321675013.00
civ,1800,1088530.00
cmr,1800,1860054.00
cod,1800,5163819.00
cog,1800,314465.00
col,1800,1206000.00
com,1800,56346.00
cpv,1800,55716.00
cri,1800,51987.00
cub,1800,345043.00
cyp,1800,184392.00
cze,1800,5516349.00
deu,1800,22886919.00
dji,1800,22848.00
dnk,1800,1062514.00
dom,1800,89000.00
dza,1800,2503218.00
ecu,1800,500000.00
egy,1800,4243515.00
eri,1800,205010.00
esp,1800,11549294.00
est,1800,334136.00
eth,1800,2948990.00
fin,1800,977662.00
fji,1800,130533.00
fra,1800,29355111.00
fsm,1800,16416.00
gab,1800,158227.00
gbr,1800,12327466.00
geo,1800,1072178.00
gha,1800,2016034.00
gin,1800,983959.00
gmb,1800,103274.00
gnb,1800,218167.00
gnq,1800,80377.00
grc,1800,2151155.00
grd,1800,29409.00
gtm,1800,458965.00
guy,1800,166034.00
hnd,1800,126118.00
hti,1800,723000.00
hun,1800,3499771.00
idn,1800,16108545.00
ind,1800,168574895.00
irl,1800,4064749.00
irn,1800,6269721.00
irq,1800,1076920.00
isl,1800,61428.00
isr,1800,209954.00
ita,1800,18822234.00
jam,1800,401000.00
jor,1800,217000.00
jpn,1800,30294378.00
kaz,1800,2041282.00
ken,1800,2574000.00
kgz,1800,530343.00
khm,1800,2090000.00
kir,1800,17876.00
kor,1800,9395000.00
kwt,1800,81280.00
lao,1800,470000.00
lbn,1800,332000.00
lbr,1800,313543.00
lby,1800,531472.00
lca,1800,24000.00
lka,1800,1213000.00
lso,1800,276361.00
ltu,1800,778655.00
lux,1800,127030.00
lva,1800,590588.00
mar,1800,2503218.00
mda,1800,712558.00
mdg,1800,1543133.00
mdv,1800,42378.00
mex,1800,6181708.00
mkd,1800,391865.00
mli,1800,1403398.00
mlt,1800,134072.00
mmr,1800,3506000.00
mne,1800,126582.00
mng,1800,619000.00
moz,1800,1982324.00
mrt,1800,382696.00
mus,1800,62865.00
mwi,1800,737000.00
mys,1800,287000.00
nam,1800,229000.00
ner,1800,1244861.00
nga,1800,12100855.00
nic,1800,219387.00
nld,1800,2254522.00
nor,1800,868570.00
npl,1800,3881000.00
nzl,1800,100000.00
omn,1800,318000.00
pak,1800,13123633.00
pan,1800,78842.00
per,1800,1314151.00
phl,1800,1894389.00
png,1800,754894.00
pol,1800,9508747.00
prk,1800,4345000.00
prt,1800,3033454.00
pry,1800,143000.00
pse,1800,165944.00
qat,1800,14092.00
rou,1800,5464085.00
rus,1800,31088398.00
rwa,1800,928368.00
sau,1800,2091000.00
sdn,1800,3994154.00
sds,1800,1027378.00
sen,1800,1009886.00
sgp,1800,30000.00
slb,1800,56998.00
sle,1800,794264.00
slv,1800,248000.00
som,1800,991488.00
srb,1800,2147197.00
stp,1800,22731.00
sur,1800,80721.00
svk,1800,2140651.00
svn,1800,469664.00
swe,1800,2354189.00
swz,1800,86000.00
syc,1800,12522.00
syr,1800,1337000.00
tcd,1800,1432000.00
tgo,1800,445985.00
tha,1800,4665000.00
tjk,1800,466629.00
tkm,1800,367215.00
tls,1800,137262.00
ton,1800,18658.00
tto,1800,60000.00
tun,1800,862029.00
tur,1800,9773456.00
tza,1800,3019768.00
uga,1800,2101397.00
ukr,1800,11215490.00
ury,1800,55000.00
usa,1800,6801854.00
uzb,1800,1919159.00
vct,1800,25781.00
ven,1800,718000.00
vnm,1800,6551000.00
vut,1800,27791.00
wsm,1800,47300.00
yem,1800,2593000.00
zaf,1800,1440820.00
zmb,1800,747000.00
zwe,1800,1085814.00
afg,1801,3280000.00
ago,1801,1567028.00
alb,1801,411734.00
are,1801,40153.00
arg,1801,534000.00
arm,1801,413326.00
atg,1801,37000.00
aus,1801,350143.00
aut,1801,3213566.00
aze,1801,879960.00
bdi,1801,899097.00
bel,1801,3152306.00
ben,1801,636559.00
bfa,1801,1665421.00
bgd,1801,19265271.00
bgr,1801,2001629.00
bhr,1801,64474.00
bhs,1801,27350.00
bih,1801,851806.00
blr,1801,2355081.00
blz,1801,25526.00
bol,1801,1100000.00
bra,1801,3678743.00
brb,1801,81729.00
brn,1801,2128.00
btn,1801,89989.00
bwa,1801,121000.00
caf,1801,479444.00
can,1801,653134.00
che,1801,1833734.00
chl,1801,771447.00
chn,1801,324408862.00
civ,1801,1088530.00
cmr,1801,1860054.00
cod,1801,5163819.00
cog,1801,314465.00
col,1801,1206000.00
com,1801,56346.00
cpv,1801,55716.00
cri,1801,53000.00
cub,1801,355456.00
cyp,1801,184412.00
cze,1801,5516349.00
deu,1801,22983824.00
dji,1801,22848.00
dnk,1801,1066957.00
dom,1801,89000.00
dza,1801,2512195.00
ecu,1801,500000.00
egy,1801,4241025.00
eri,1801,205010.00
esp,1801,11581132.00
est,1801,334136.00
eth,1801,2948990.00
fin,1801,986439.00
fji,1801,130746.00
fra,1801,29447067.00
fsm,1801,16416.00
gab,1801,158227.00
gbr,1801,12483870.00
geo,1801,1072178.00
gha,1801,2016034.00
gin,1801,983959.00
gmb,1801,103274.00
gnb,1801,218167.00
gnq,1801,80377.00
grc,1801,2158925.00
grd,1801,29409.00
gtm,1801,464961.00
guy,1801,166034.00
hnd,1801,130000.00
hti,1801,723000.00
hun,1801,3529548.00
idn,1801,16150710.00
ind,1801,168907299.00
irl,1801,4109205.00
irn,1801,6283925.00
irq,1801,1077718.00
isl,1801,61428.00
isr,1801,209954.00
ita,1801,18887712.00
jam,1801,401000.00
jor,1801,217000.00
jpn,1801,30329275.00
kaz,1801,2041282.00
ken,1801,2574000.00
kgz,1801,530343.00
khm,1801,2090000.00
kir,1801,17876.00
kor,1801,9395000.00
kwt,1801,81280.00
lao,1801,470000.00
lbn,1801,332000.00
lbr,1801,313543.00
lby,1801,531797.00
lca,1801,24000.00
lka,1801,1213000.00
lso,1801,276361.00
ltu,1801,778655.00
lux,1801,127030.00
lva,1801,590588.00
mar,1801,2512195.00
mda,1801,712558.00
mdg,1801,1549842.00
mdv,1801,42378.00
mex,1801,6201367.00
mkd,1801,391865.00
mli,1801,1403398.00
mlt,1801,134072.00
mmr,1801,3506000.00
mne,1801,126582.00
mng,1801,619000.00
moz,1801,1987859.00
mrt,1801,382696.00
mus,1801,64209.00
mwi,1801,737000.00
mys,1801,287000.00
nam,1801,229000.00
ner,1801,1244861.00
nga,1801,12100855.00
nic,1801,219387.00
nld,1801,2258382.00
nor,1801,873380.00
npl,1801,3881000.00
nzl,1801,100000.00
omn,1801,318000.00
pak,1801,13149511.00
pan,1801,78842.00
per,1801,1314293.00
phl,1801,1894389.00
png,1801,754894.00
pol,1801,9552631.00
prk,1801,4345000.00
prt,1801,3046116.00
pry,1801,143000.00
pse,1801,165944.00
qat,1801,14092.00
rou,1801,5506976.00
rus,1801,31088398.00
rwa,1801,928368.00
sau,1801,2091000.00
sdn,1801,3999435.00
sds,1801,1028736.00
sen,1801,1009886.00
sgp,1801,30000.00
slb,1801,56998.00
sle,1801,794264.00
slv,1801,248000.00
som,1801,991912.00
