geo,geo.name,geo.cat,geo.world_4region
world,World,planet,world
europe,Europe,region,europe
asia,Asia,region,asia
africa,Africa,region,africa
americas,Americas,region,americas
_abk,Abkhazia,country,europe
afg,Afghanistan,country,asia
and,Andorra,country,europe
_akr,Akrotiri and Dhekelia,country,
alb,Albania,country,europe
dza,Algeria,country,africa
asm,American Samoa,country,asia
ago,Angola,country,africa
aia,Anguilla,country,americas
atg,Antigua and Barbuda,country,americas
arg,Argentina,country,americas
arm,Armenia,country,europe
abw,Aruba,country,americas
aus,Australia,country,asia
aut,Austria,country,europe
aze,Azerbaijan,country,europe
bhs,Bahamas,country,americas
bhr,Bahrain,country,asia
bgd,Bangladesh,country,asia
brb,Barbados,country,americas
blr,Belarus,country,europe
bel,Belgium,country,europe
blz,Belize,country,americas
ben,Benin,country,africa
bmu,Bermuda,country,americas
btn,Bhutan,country,asia
bol,Bolivia,country,americas
bih,Bosnia and Herzegovina,country,europe
bwa,Botswana,country,africa
bra,Brazil,country,americas
vgb,British Virgin Islands,country,
chn,China,country,asia
brn,Brunei,country,asia
bgr,Bulgaria,country,europe
bfa,Burkina Faso,country,africa
bdi,Burundi,country,africa
khm,Cambodia,country,asia
cmr,Cameroon,country,africa
can,Canada,country,americas
cpv,Cape Verde,country,africa
cym,Cayman Islands,country,
caf,Central africaican Republic,country,africa
tcd,Chad,country,africa
_cis,Channel Islands,country,
chl,Chile,country,americas
cxr,Christmas Island,country,asia
cck,Cocos Island,country,asia
col,Colombia,country,americas
com,Comoros,country,africa
cod,Dem. Rep. Congo,country,africa
cog,Rep. Congo,country,africa
cok,Cook Is,country,asia
cri,Costa Rica,country,americas
civ,Cote d'Ivoire,country,africa
hrv,Croatia,country,europe
cub,Cuba,country,americas
cyp,Cyprus,country,europe
cze,Czech Republic,country,europe
_csk,Czechoslovakia,country,europe
dnk,Denmark,country,europe
dji,Djibouti,country,africa
dma,Dominica,country,americas
dom,Dominican Republic,country,americas
_ddr,East Germany,country,europe
ecu,Ecuador,country,americas
egy,Egypt,country,africa
slv,El Salvador,country,americas
gnq,Equatorial Guinea,country,africa
eri,Eritrea,country,africa
_eae,Eritrea and Ethiopia,country,
est,Estonia,country,europe
eth,Ethiopia,country,africa
fro,Faeroe Islands,country,
flk,Falkland Is (Malvinas),country,
fji,Fiji,country,asia
fin,Finland,country,europe
fra,France,country,europe
guf,French Guiana,country,americas
pyf,French Polynesia,country,asia
gab,Gabon,country,africa
gmb,Gambia,country,africa
geo,Georgia,country,europe
deu,Germany,country,europe
gha,Ghana,country,africa
gib,Gibraltar,country,europe
grc,Greece,country,europe
grl,Greenland,country,europe
grd,Grenada,country,americas
glp,Guadeloupe,country,americas
gum,Guam,country,asia
gtm,Guatemala,country,americas
gbg,Guernsey,country,europe
gin,Guinea,country,africa
gnb,Guinea-Bissau,country,africa
guy,Guyana,country,americas
hti,Haiti,country,americas
hos,Holy See,country,europe
hnd,Honduras,country,americas
hkg,Hong Kong,country,China
hun,Hungary,country,europe
isl,Iceland,country,europe
ind,India,country,asia
idn,Indonesia,country,asia
irn,Iran,country,asia
irq,Iraq,country,asia
irl,Ireland,country,europe
gbm,Isle of Man,country,europe
isr,Israel,country,asia
ita,Italy,country,europe
jam,Jamaica,country,americas
jpn,Japan,country,asia
jey,Jersey,country,europe
jor,Jordan,country,asia
kaz,Kazakhstan,country,asia
ken,Kenya,country,africa
kir,Kiribati,country,asia
prk,North Korea,country,asia
kor,South Korea,country,asia
_unk,Kosovo,country,europe
kwt,Kuwait,country,asia
kgz,Kyrgyz Republic,country,
lao,Lao,country,asia
lva,Latvia,country,europe
lbn,Lebanon,country,asia
lso,Lesotho,country,africa
lbr,Liberia,country,africa
lby,Libya,country,africa
lie,Liechtenstein,country,europe
ltu,Lithuania,country,europe
lux,Luxembourg,country,europe
mac,Macao,country,China
mkd,Macedonia,country,europe
mdg,Madagascar,country,africa
mwi,Malawi,country,africa
mys,Malaysia,country,asia
mdv,Maldives,country,asia
mli,Mali,country,africa
mlt,Malta,country,europe
mhl,Marshall Islands,country,
mtq,Martinique,country,americas
mrt,Mauritania,country,africa
mus,Mauritius,country,africa
myt,Mayotte,country,africa
mex,Mexico,country,americas
fsm,Micronesia,country,Fed. Sts.
mda,Moldova,country,europe
mco,Monaco,country,europe
mng,Mongolia,country,asia
mne,Montenegro,country,europe
msr,Montserrat,country,americas
mar,Morocco,country,africa
moz,Mozambique,country,africa
mmr,Myanmar,country,asia
nam,Namibia,country,africa
nru,Nauru,country,asia
npl,Nepal,country,asia
nld,Netherlands,country,europe
ant,Netherlands Antilles,country,
ncl,New Caledonia,country,asia
nzl,New Zealand,country,asia
nic,Nicaragua,country,americas
ner,Niger,country,africa
nga,Nigeria,country,africa
niu,Niue,country,asia
nfk,Norfolk Island,country,asia
_ncy,Northern Cyprus,country,europe
mnp,Northern Mariana Islands,country,
nor,Norway,country,europe
omn,Oman,country,asia
pak,Pakistan,country,asia
plw,Palau,country,asia
