location;year;Battle deaths (low estimate);Battle deaths (high estimate);Battle deaths (best estimate)
Albania;1946;38;44;
Bolivia;1946;1000;9999;1000
Cambodia;1946;25;999;
China;1946;16666;333333;200000
France, Thailand;1946;102;275;
Greece;1946;6000;40000;38500
Indonesia;1946;655;5000;
Iran;1946;0;1000;25
Iran;1946;20;1000;20
Israel;1946;92;373;92
Laos;1946;25;999;
Philippines;1946;1000;2154;1077
Russia (Soviet Union);1946;25;410;410
Russia (Soviet Union);1946;25;557;557
Russia (Soviet Union);1946;1000;3971;3971
Russia (Soviet Union);1946;1000;7942;7942
Vietnam;1946;23565;66666;41947
Cambodia;1947;25;999;
China;1947;25000;500000;300000
China;1947;540;18000;1000
Greece;1947;6000;40000;38500
Hyderabad;1947;1000;9999;
Indonesia;1947;74;5000;
Laos;1947;25;999;
Madagascar;1947;6952;12180;
Paraguay;1947;1000;4000;4000
Philippines;1947;1000;2154;1077
Russia (Soviet Union);1947;25;71;71
Russia (Soviet Union);1947;1000;3749;3749
Russia (Soviet Union);1947;1000;6364;6364
Vietnam;1947;23566;66666;41947
Cambodia;1948;25;999;
China;1948;29167;583333;350000
Costa Rica;1948;1000;2000;2000
Egypt, Iraq, Israel, Jordan, Lebanon, Syria;1948;7218;19792;19792
Greece;1948;6000;40000;38500
Hyderabad;1948;1000;9999;
Hyderabad, India;1948;1200;2360;2360
India;1948;1000;9999;
India, Pakistan;1948;2000;7500;7500
Indonesia;1948;150;2150;
Laos;1948;25;999;
Malaysia;1948;838;1000;838
Myanmar;1948;1000;1500;
Myanmar;1948;25;999;
North Yemen;1948;1000;9999;4000
Philippines;1948;1000;2154;1077
Russia (Soviet Union);1948;25;186;186
Russia (Soviet Union);1948;25;900;900
Russia (Soviet Union);1948;1000;3263;3263
Vietnam;1948;23566;66666;41947
Cambodia;1949;25;999;
China;1949;29167;583334;350000
China;1949;9000;26000;
Egypt, Iraq, Israel, Jordan, Lebanon, Syria;1949;482;1319;1319
Greece;1949;6000;40000;38500
Guatemala;1949;25;999;40
India;1949;1000;9999;
Indonesia;1949;150;2150;
Israel;1949;25;256;256
Laos;1949;25;999;
Malaysia;1949;1000;1182;1182
Myanmar;1949;1000;3000;
Myanmar;1949;1000;1500;
Myanmar;1949;25;999;
Myanmar;1949;25;999;
Myanmar;1949;25;999;
North Korea, South Korea;1949;25;999;
Philippines;1949;1000;2154;1077
Russia (Soviet Union);1949;25;999;
Vietnam;1949;23566;66667;41947
Cambodia;1950;25;999;
China;1950;25;4000;4000
China;1950;25;64000;
India;1950;1000;9999;
Indonesia;1950;1000;5000;
Israel;1950;25;256;256
Laos;1950;25;999;
Malaysia;1950;1000;1687;1687
Myanmar;1950;1000;5000;
Myanmar;1950;1000;5000;
Myanmar;1950;25;999;
