"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1806,,833,,
"afg",1806,,603,30.5,469.98
"ago",1806,,634,48.9,485.68
"alb",1806,,668,41.2,375.2
"and",1806,,1210,,
"are",1806,,1020,44.9,434.46
"arg",1806,,1509,47.1,402.19
"arm",1806,,514,29.1,368.298334525
"atg",1806,,757,,451.081723488
"aus",1806,,826,41.3,390.99
"aut",1806,,1893,53.4,308.99
"aze",1806,,776,32.6,379.312670632
"bdi",1806,,420,43.7,423.95
"bel",1806,,2414,62.4,322.4
"ben",1806,,597,48,430.46
"bfa",1806,,480,37.5,454.69
"bgd",1806,,876,41.8,507.88
"bgr",1806,,1090,47.8,366.84
"bhr",1806,,1267,44.8,439.79
"bhs",1806,,1446,,447.154670965
"bih",1806,,669,27.5,378.8
"blr",1806,,610,57.9,365.67
"blz",1806,,579,,447.572729717
"bmu",1806,,1228,,
"bol",1806,,854,36.9,404.69
"bra",1806,,1110,40.1,417.44
"brb",1806,,914,,479.781546947
"brn",1806,,1513,,454.69
"btn",1806,,630,46.9,461.048812567
"bwa",1806,,398,35.6,397.2
"caf",1806,,424,45.2,443.79
"can",1806,,1365,45.1,333.47
"che",1806,,2704,41.7,344.77
"chl",1806,,1027,47.1,417.44
"chn",1806,,985,44.2,417.44
"civ",1806,,832,38.1,427.86
"cmr",1806,,627,56.2,460.21
"cod",1806,,497,42.1,422.65
"cog",1806,,585,51.1,408.51
"col",1806,,964,58.9,417.44
"com",1806,,700,36.3,416.16
"cpv",1806,,530,50.4,394.71
"cri",1806,,776,49.6,441.12
"cub",1806,,926,36.8,404.69
"cym",1806,,1040,,
"cyp",1806,,854,29.9,339.12
"cze",1806,,1917,34.9,379.99
"deu",1806,,1710,53,340.25
"dji",1806,,766,41.8,445.15
"dma",1806,,664,,
"dnk",1806,,2035,61,372.81
"dom",1806,,668,40.5,445.15
"dza",1806,,721,57.7,460.21
"ecu",1806,,530,38.6,405.96
"egy",1806,,792,57.7,404.69
"eri",1806,,532,45.3,441.12
"esp",1806,,1519,38,450.6
"est",1806,,944,48.9,362.15
"eth",1806,,523,47.5,447.88
"fin",1806,,1257,50.6,414.89
"fji",1806,,786,47.5,498.88
