geo,geo.name,geo.cat,geo.region,time,pop,gdp_per_cap,gini,u5mr
afg,Afghanistan,country,asi,1813,3284692,604,30.5,469.98
ago,Angola,country,afr,1813,1570299,654,48.9,485.68
alb,Albania,country,eur,1813,427763,669,41.2,375.2
are,United Arab Emirates,country,asi,1813,40153,1047,44.8,434.46
arg,Argentina,country,ame,1813,537781,1510,47.1,402.19
arm,Armenia,country,eur,1813,414415,515,29.1,364.94
aus,Australia,country,asi,1813,339515,839,41.3,390.99
aut,Austria,country,eur,1813,3313616,1947,53.4,302.43
aze,Azerbaijan,country,eur,1813,882289,777,33.7,373.92
bdi,Burundi,country,afr,1813,901101,423,43.7,423.95
bel,Belgium,country,eur,1813,3332912,2417,62.4,321.31
ben,Benin,country,afr,1813,638349,598,48,430.46
bfa,Burkina Faso,country,afr,1813,1668909,481,37.5,454.69
bgd,Bangladesh,country,asi,1813,19740567,875,41.8,507.88
bgr,Bulgaria,country,eur,1813,2117503,1091,47.8,363.32
bhr,Bahrain,country,asi,1813,64474,1306,44.5,439.79
bih,Bosnia and Herzegovina,country,eur,1813,853961,670,29.1,378.8
blr,Belarus,country,eur,1813,2361309,612,57.9,365.67
bol,Bolivia,country,ame,1813,1102350,855,36.9,404.69
bra,Brazil,country,ame,1813,4197643,1111,40.1,417.44
btn,Bhutan,country,asi,1813,90114,631,47,458.37
bwa,Botswana,country,afr,1813,121000,398,35.6,397.2
caf,Central African Republic,country,afr,1813,480101,425,45.2,443.79
can,Canada,country,ame,1813,759609,1427,45.1,333.47
che,Switzerland,country,eur,1813,1929951,2706,41.7,344.77
chl,Chile,country,ame,1813,776590,1028,47.1,417.44
chn,China,country,asi,1813,359404695,985,44.2,417.44
civ,Cote d'Ivoire,country,afr,1813,1090657,856,38.1,427.86
cmr,Cameroon,country,afr,1813,1861637,627,56.2,460.21
cod,"Congo, Dem. Rep.",country,afr,1813,5173637,511,42.1,422.65
cog,"Congo, Rep.",country,afr,1813,315123,596,51.1,408.51
col,Colombia,country,ame,1813,1212308,965,58.9,417.44
com,Comoros,country,afr,1813,56474,705,36.3,416.16
cpv,Cape Verde,country,afr,1813,55860,530,50.2,394.71
cri,Costa Rica,country,ame,1813,59179,776,49,441.12
cub,Cuba,country,ame,1813,509649,1005,37.2,390.99
cyp,Cyprus,country,eur,1813,184649,855,31,339.12
cze,Czech Republic,country,eur,1813,5522141,1919,34.9,379.99
deu,Germany,country,eur,1813,24258514,1796,53,340.25
dji,Djibouti,country,afr,1813,22899,784,42.1,445.15
dnk,Denmark,country,eur,1813,1124389,2062,61,365.67
dom,Dominican Republic,country,ame,1813,89428,668,41,445.15
dza,Algeria,country,afr,1813,2625571,728,57.7,460.21
ecu,Ecuador,country,ame,1813,502377,530,39.3,405.96
egy,Egypt,country,afr,1813,4224589,792,57.7,404.69
eri,Eritrea,country,afr,1813,205796,533,45.5,441.12
esp,Spain,country,eur,1813,11985465,1521,38,450.6
est,Estonia,country,eur,1813,335021,952,48.9,362.15
eth,Ethiopia,country,afr,1813,2961066,524,47.5,447.88
fin,Finland,country,eur,1813,1101463,1274,50.6,379.99
fji,Fiji,country,asi,1813,133332,786,47.4,498.88
fra,France,country,eur,1813,30612625,1850,59,301.63
gab,Gabon,country,afr,1813,158609,391,45.9,435.79
gbr,United Kingdom,country,eur,1813,14702894,3423,59.3,308.32
geo,Georgia,country,eur,1813,1075014,544,29.7,386.15
gha,Ghana,country,afr,1813,2013235,703,58.4,471.38
gin,Guinea,country,afr,1813,986462,451,32.7,449.24
gmb,Gambia,country,afr,1813,103495,819,45.3,460.21
gnb,Guinea-Bissau,country,afr,1813,218585,779,49.8,417.44
gnq,Equatorial Guinea,country,afr,1813,80453,362,46,446.51
grc,Greece,country,eur,1813,2258621,1402,49.9,360.97
gtm,Guatemala,country,ame,1813,544813,859,35.3,503.36
guy,Guyana,country,ame,1813,166363,1216,38.2,429.16
hnd,Honduras,country,ame,1813,134340,676,59.2,393.46
hti,Haiti,country,ame,1813,724811,635,42,486.26
hun,Hungary,country,eur,1813,3910994,1252,47.4,368.01
idn,Indonesia,country,asi,1813,16695262,996,51.7,443.79
ind,India,country,asi,1813,173052964,1051,32.8,509.39
irl,Ireland,country,eur,1813,4693331,1450,44.6,348.22
irn,Iran,country,asi,1813,6462648,979,57.7,506.38
irq,Iraq,country,asi,1813,1089446,972,57.7,427.86
isr,Israel,country,asi,1813,209954,881,44.9,447.87
ita,Italy,country,eur,1813,19712990,2407,60.5,456.05
jam,Jamaica,country,ame,1813,400981,1173,39.1,389.77
jor,Jordan,country,asi,1813,217254,978,39.6,421.34
jpn,Japan,country,asi,1813,30751104,1069,53.2,363.32
kaz,Kazakhstan,country,asi,1813,2046674,1158,43.3,497.41
ken,Kenya,country,afr,1813,2574000,889,46.3,507.88
kgz,Kyrgyz Republic,country,asi,1813,531743,509,46,381.77
khm,Cambodia,country,asi,1813,2091353,905,39.6,379.99
kor,South Korea,country,asi,1813,9396418,568,32.1,503.36
kwt,Kuwait,country,asi,1813,81280,1152,44.7,500.35
lao,Lao,country,asi,1813,471287,866,38.4,418.74
lbn,Lebanon,country,asi,1813,332689,1093,57.7,447.88
lbr,Liberia,country,afr,1813,314285,798,39.3,429.16
lby,Libya,country,afr,1813,536387,1052,44.5,404.69
lka,Sri Lanka,country,asi,1813,1220133,900,48,409.79
lso,Lesotho,country,afr,1813,276959,396,55.4,407.24
ltu,Lithuania,country,eur,1813,780719,1290,48.9,458.81
lux,Luxembourg,country,eur,1813,127268,1455,27.9,357.45
lva,Latvia,country,eur,1813,592154,763,48.9,404.69
mar,Morocco,country,afr,1813,2625571,716,57.7,403.44
mda,Moldova,country,eur,1813,714441,622,47.8,387.33
mdg,Madagascar,country,afr,1813,1634432,574,41,437.13
mex,Mexico,country,ame,1813,6446944,1382,40.1,487.15
mkd,"Macedonia, FYR",country,eur,1813,392860,691,32.5,394.83
mli,Mali,country,afr,1813,1407125,604,47.2,494.48
mmr,Myanmar,country,asi,1813,3509846,842,30.5,433.13
mne,Montenegro,country,eur,1813,126904,1059,31.9,375.2
mng,Mongolia,country,asi,1813,619270,593,35.4,420.04
moz,Mozambique,country,afr,1813,2059333,393,45.2,439.79
mrt,Mauritania,country,afr,1813,383153,528,49.3,417.44
mus,Mauritius,country,afr,1813,83440,942,38.9,427.86
mwi,Malawi,country,afr,1813,737000,351,45.7,439.79
mys,Malaysia,country,asi,1813,288717,999,25.3,435.79
nam,Namibia,country,afr,1813,229000,541,52.6,412.34
ner,Niger,country,afr,1813,1246738,447,43.3,433.13
nga,Nigeria,country,afr,1813,12115702,871,54.9,438.46
nic,Nicaragua,country,ame,1813,220405,975,54.7,509.39
nld,Netherlands,country,eur,1813,2313779,3097,56.3,323.5
nor,Norway,country,eur,1813,936248,1305,43.7,335.73
npl,Nepal,country,asi,1813,3885253,655,41,407.24
nzl,New Zealand,country,asi,1813,100000,660,38.2,390.99
omn,Oman,country,asi,1813,318261,917,45,413.61
pak,Pakistan,country,asi,1813,13470183,1020,28.7,501.85
pan,Panama,country,ame,1813,79254,849,56.6,405.96
per,Peru,country,ame,1813,1321295,1206,57.4,371.61
phl,Philippines,country,asi,1813,1903715,964,32.5,431.79
png,Papua New Guinea,country,asi,1813,756259,547,25.8,423.95
pol,Poland,country,eur,1813,10107543,1274,34.5,369.21
prk,North Korea,country,asi,1813,4345932,571,45.7,500.35
prt,Portugal,country,eur,1813,3204756,1688,55.1,372.81
pry,Paraguay,country,ame,1813,144263,837,54.1,374
pse,West Bank and Gaza,country,asi,1813,165944,1223,35.5,435.08
qat,Qatar,country,asi,1813,14092,1152,44.7,433.13
rou,Romania,country,eur,1813,6054887,817,47.8,371.61
rus,Russia,country,eur,1813,31170930,1452,57.9,418.74
rwa,Rwanda,country,afr,1813,930018,438,59,420.04
sau,Saudi Arabia,country,asi,1813,2092338,853,45.2,416.16
sdn,Sudan,country,afr,1813,4067169,519,33.8,425.25
sds,South Sudan,country,afr,1813,1046160,508,33.78,490.08
sen,Senegal,country,afr,1813,1011838,498,45.9,512.4
sgp,Singapore,country,asi,1813,30183,1023,41,456.05
slb,Solomon Islands,country,asi,1813,57072,364,45.8,504.87
sle,Sierra Leone,country,afr,1813,795794,735,58.1,513.91
