geo,time,pop,gdp_pc,gini,u5mr
afg,1822,3341926,609,30.5,471.38
ago,1822,1610497,680,48.4,485.68
alb,1822,442097,672,41.2,375.2
are,1822,40153,1083,44.6,434.46
arg,1822,586958,1555,46.2,402.19
arm,1822,427883,519,29.1,360.67
aus,1822,333385,886,41.7,390.99
aut,1822,3417266,2068,52.2,321.99
aze,1822,911086,787,35.1,367.09
bdi,1822,925767,427,43.7,423.95
bel,1822,3524149,2433,61.8,320.22
ben,1822,660526,604,47.8,430.46
bfa,1822,1711777,482,37.5,454.69
bgd,1822,20253324,875,41.8,507.88
bgr,1822,2206652,1103,47.8,358.63
bhr,1822,64474,1358,44.2,439.79
bih,1822,880572,677,31,378.8
blr,1822,2438331,622,57.6,365.67
bol,1822,1131249,873,36.9,404.69
bra,1822,4709139,1117,40,417.44
btn,1822,91633,634,47.1,454.94
bwa,1822,121000,402,35.6,397.2
caf,1822,488114,429,45.4,443.79
can,1822,927659,1522,43.9,333.47
che,1822,2014065,2767,42.3,344.77
chl,1822,842331,990,48.2,417.44
chn,1822,385567453,985,43.7,417.44
civ,1822,1116760,887,38.3,427.86
cmr,1822,1880813,634,55.5,460.21
cod,1822,5294026,531,42.1,422.65
cog,1822,323203,612,50.8,408.51
col,1822,1292654,971,58.9,417.44
com,1822,58044,712,36.6,416.16
cpv,1822,57636,535,49.9,394.71
cri,1822,64810,795,48.4,441.12
cub,1822,638009,1115,37.8,371.61
cyp,1822,184827,876,32.4,339.12
cze,1822,5592475,1953,35.8,379.99
deu,1822,25934798,1913,52.4,340.25
dji,1822,23521,806,42.6,445.15
dnk,1822,1193501,2182,60.4,355.13
dom,1822,94849,676,41.6,445.15
dza,1822,2742441,751,58.1,460.21
ecu,1822,532494,538,40.2,405.96
egy,1822,4367227,801,58.1,404.69
eri,1822,215643,536,45.9,441.12
esp,1822,12455477,1530,37.6,450.6
est,1822,345968,973,48.9,362.15
eth,1822,3112894,524,47.5,447.88
fin,1822,1219583,1304,50.6,349.37
fji,1822,135300,793,47.2,498.88
fra,1822,31853161,1844,58.7,309.36
gab,1822,163315,392,45.9,435.79
gbr,1822,16682172,3415,58.2,316.96
geo,1822,1110088,550,29.7,378.94
gha,1822,1980175,708,57.4,471.38
gin,1822,1017379,453,32.7,447.88
gmb,1822,106215,824,45.5,460.21
gnb,1822,223712,781,49.8,417.44
gnq,1822,81381,366,46.7,446.51
grc,1822,2379617,1443,49.9,360.97
gtm,1822,609861,874,35.3,503.36
guy,1822,170407,1234,38.2,429.16
hnd,1822,152799,694,57.4,393.46
hti,1822,747170,648,42.3,486.17
hun,1822,4203110,1273,46.5,368.01
idn,1822,17437643,1000,51,443.79
ind,1822,177284123,1050,33.2,509.39
irl,1822,5155473,1493,43.6,348.22
irn,1822,6658626,984,58.1,506.38
irq,1822,1122475,981,58.1,427.86
isr,1822,209954,882,44.9,447.79
ita,1822,20551155,2460,59.9,454.69
jam,1822,400752,1155,39.1,389.77
jor,1822,220338,987,40.1,421.34
jpn,1822,31061412,1082,52.7,363.32
kaz,1822,2113346,1182,43.3,497.41
ken,1822,2574000,914,46.3,507.88
kgz,1822,549052,519,46,381.12
khm,1822,2107708,909,40.4,379.99
kor,1822,9413465,563,32.1,503.36
kwt,1822,81280,1191,44.5,500.35
lao,1822,487222,871,38.4,418.74
lbn,1822,341158,1115,58.1,447.88
lbr,1822,323435,804,40.2,429.16
lby,1822,547617,1079,44.2,404.69
lka,1822,1311654,902,47.8,409.79
lso,1822,284320,398,54.9,407.24
ltu,1822,806243,1317,48.9,458.81
lux,1822,130185,1492,29.4,357.45
lva,1822,611528,779,48.9,404.69
mar,1822,2742441,719,58.1,403.44
mda,1822,737724,630,47.8,380.91
mdg,1822,1714496,580,41,437.13
mex,1822,6677385,1377,39.5,487.15
mkd,1822,405151,703,32.5,393.47
mli,1822,1453216,605,47.2,494.48
mmr,1822,3556579,843,30.5,433.13
mne,1822,130887,1078,33.2,375.2
mng,1822,622525,596,36.9,420.04
moz,1822,2155789,395,45.3,439.79
mrt,1822,388712,534,49.1,417.44
mus,1822,100935,952,39.6,427.86
mwi,1822,737000,351,45.7,439.79
mys,1822,310778,1004,25.3,435.79
nam,1822,229000,558,52.6,412.34
ner,1822,1269651,452,43.3,433.13
nga,1822,12296365,890,54.3,438.46
nic,1822,233278,997,53.2,509.39
nld,1822,2442476,3843,55.8,323.5
nor,1822,1017150,1336,44,312.61
npl,1822,3936924,656,41,407.24
nzl,1822,99505,661,38.2,390.99
omn,1822,321426,926,44.9,413.61
pak,1822,13774163,1019,28.7,501.85
pan,1822,84507,869,55,405.96
per,1822,1389102,1214,56.6,371.61
phl,1822,2022075,968,32.5,431.79
png,1822,772977,552,25.8,423.95
pol,1822,10638517,1319,34.6,369.21
prk,1822,4357140,566,46.2,500.35
prt,1822,3345636,1690,53.6,372.81
pry,1822,161015,859,52.7,374
pse,1822,165944,1224,36.6,434.99
qat,1822,14092,1191,44.5,433.13
rou,1822,6488787,841,47.8,371.61
rus,1822,32191694,1483,57.6,418.74
rwa,1822,950225,443,59,420.04
sau,1822,2108506,860,45.3,416.16
sdn,1822,4160849,525,33.8,425.25
sds,1822,1070256,514,33.78,490.08
sen,1822,1035777,503,45.8,512.4
sgp,1822,32533,1029,41,417.44
slb,1822,57970,367,46.4,504.87
sle,1822,814564,743,56.6,513.91
slv,1822,260623,994,50.6,461.6
som,1822,1023240,708,50.9,451.96
srb,1822,2219943,1384,32.5,374
sur,1822,83053,1663,34.4,405.96
svk,1822,2170047,1454,35.8,363.32
svn,1822,485581,1436,27.7,360.97
swe,1822,2639791,1521,66.8,245.04
swz,1822,86000,496,57.6,413.61
syr,1822,1353949,1087,58.1,429.16
tcd,1822,1432000,423,50.6,431.79
tgo,1822,461066,691,38.1,426.55
tha,1822,4732091,937,47.1,438.46
tjk,1822,483095,567,47.4,363.32
tkm,1822,380227,978,41.4,492.23
tls,1822,143154,544,34.9,448.56
tto,1822,62225,1247,44.4,405.96
tun,1822,893582,725,58.1,460.21
tur,1822,10167424,1238,56.4,379.99
tza,1822,3059977,567,37.6,414.89
uga,1822,2127685,470,41,510.9
ukr,1822,11615813,791,44.5,360.97
ury,1822,61758,1848,48.1,405.96
usa,1822,10890141,2340,65.7,453.64
uzb,1822,1987024,507,44.4,380.97
ven,1822,777332,690,43.5,414.89
vnm,1822,6791279,862,40.4,417.44
yem,1822,2610660,933,58.1,540.44
zaf,1822,1600025,1634,35.9,398.45
zmb,1822,747000,700,40.1,409.79
zwe,1822,1115483,892,34.6,395.95
