"geo","time","pop","gdp_pc","gini","u5mr"
"abw",1927,,2204.609557,,
"afg",1927,,896.058732,38.4,460.4523518
"ago",1927,,1544.373324,51.8,457.76
"alb",1927,,1647.386089,26.4,353.63
"and",1927,,4718.659044,,
"are",1927,,2182.472691,44.4,409.6203702
"arg",1927,,7840.357389,45.5,197.85
"arm",1927,,818.3905205,39.5,235.8108063
"atg",1927,,2003.873915,,168.8884314
"aus",1927,,9100.821477,41.4,72.98214964
"aut",1927,,6852.005218,37.3,195.97
"aze",1927,,1641.829188,42.2,240.4278589
"bdi",1927,,475.8763953,47.6,398.9385887
"bel",1927,,8923.675888,51.9,125.78
"ben",1927,,1041.305886,45.3,408.3240499
"bfa",1927,,535.2505503,41.4,429.3951682
"bgd",1927,,1186.706451,38.2,477.7780248
"bgr",1927,,2099.863675,28.4,244.15
"bhr",1927,,2837.816915,37.7,414.226089
"bhs",1927,,4482.790345,,156.5635898
"bih",1927,,1266.415499,45.3,315.37
"blr",1927,,1318.630464,27.6,193.97
"blz",1927,,1335.072037,,188.3530892
"bmu",1927,,4269.997824,,
"bol",1927,,2365.031849,36.9,378.9138545
"bra",1927,,1976.755587,41.2,390.8753541
"brb",1927,,2116.129658,,327.6506629
"brn",1927,,2179.709751,,298.73
"btn",1927,,787.0155037,47.4,416.8236211
"bwa",1927,,695.5189736,39.5,370.8569033
"caf",1927,,843.6822694,46.8,424.5464827
"can",1927,,8045.674184,41.8,124.1356342
"che",1927,,14086.19688,39.1,74.24
"chl",1927,,4022.923655,73.4,367.450564
"chn",1927,,1044.837482,45.1,393.44
"civ",1927,,1528.988955,40.9,402.505602
"cmr",1927,,1130.529493,44.1,434.884497
"cod",1927,,1011.060907,44.1,398.35
"cog",1927,,1085.229676,39.4,387.3964806
"col",1927,,2289.791368,58.1,231.5770794
"com",1927,,791.4114389,40.7,392.24
"cpv",1927,,806.6866425,47.8,372.01
"cri",1927,,2409.449883,46.9,302.6381067
"cub",1927,,5075.982293,38.5,239.2645162
"cym",1927,,3619.815578,,
"cyp",1927,,2946.13366,41.1,222.4
"cze",1927,,6334.364624,40.8,176.67
"deu",1927,,6617.521706,45.6,143.79
"dji",1927,,1615.124917,42.8,419.56
"dma",1927,,1531.947497,,
"dnk",1927,,8412.381053,46.6,98.9535375
"dom",1927,,1390.912021,42.5,402.0803614
"dza",1927,,2770.661322,39.9,423.2028923
"ecu",1927,,1586.808907,43,383.67922
"egy",1927,,1538.353091,45.5,384.1831278
"eri",1927,,719.3164656,48,415.76
"esp",1927,,4261.224607,36,204.3605451
"est",1927,,2925.13581,40.8,179.92
"eth",1927,,554.5905729,51.4,422.1693941
"fin",1927,,4302.173056,43.8,139.53
"fji",1927,,1531.403026,43.2,467.5904217
"fra",1927,,6156.857848,61,111.0485068
"fsm",1927,,734.1778068,,194.7657504
"gab",1927,,479.3257836,49.8,410.74
"gbr",1927,,8646.802042,42.4,103.4028883
"geo",1927,,999.3811914,38.8,246.6658489
"gha",1927,,1965.508377,43.7,411.1321388
"gin",1927,,567.9132636,45.2,377.6466972
"gmb",1927,,918.0067784,46.5,433.4135657
"gnb",1927,,843.1556124,53.8,393.44
"gnq",1927,,447.3622626,51,420.84
"grc",1927,,4695.923623,41.7,149.1952404
"grd",1927,,1516.130144,,185.6846062
"grl",1927,,1637.428256,,
"gtm",1927,,2338.271435,42.3,472.0679177
"guy",1927,,2867.352341,42.2,302.4925562
"hkg",1927,,2511.381296,,
"hnd",1927,,2655.33636,42.5,369.6234434
"hrv",1927,,3845.635809,,286.57
"hti",1927,,1887.563829,42.8,453.065651
"hun",1927,,4434.385994,30.5,299.4644809
"idn",1927,,1719.714417,49.2,415.9849108
"ind",1927,,1243.907965,31.3,271.9613537
"irl",1927,,4568.535201,57.1,98.44167138
"irn",1927,,2127.228548,41.4,477.26
"irq",1927,,2098.611576,51.1,403.1189807
"isl",1927,,3668.816361,,116.8320417
"isr",1927,,1316.270989,44.9,177.18
"ita",1927,,5550.621815,51.1,185.65
"jam",1927,,1480.832576,42.1,278.2348398
"jor",1927,,2124.856965,42.2,396.2047289
"jpn",1927,,2656.893707,51.8,228.53528
"kaz",1927,,2702.218551,38.8,330.37
"ken",1927,,1469.416637,57.2,509.5402135
"kgz",1927,,1492.401629,41.4,296.8123791
"khm",1927,,1062.900118,45.8,358.15
"kir",1927,,909.1891197,,284.6373628
"kna",1927,,2583.158664,,
"kor",1927,,873.1872634,32.1,403.5307409
"kwt",1927,,2237.880896,40.7,473.1600361
"lao",1927,,1108.411745,42.3,394.66
"lbn",1927,,3483.937885,47.8,421.9982341
"lbr",1927,,1023.658091,45.6,392.1489276
"lby",1927,,3912.842366,39.9,380.7050975
