"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","child_mortality_rate_per1000"
"abkh",1951,,,40,
"abw",1951,38263,3994,40,
"afg",1951,7839426,1050,33.610859487,435.8953297
"ago",1951,4439705,3202,48.4076172581,401.527008944
"aia",1951,5297,,40,
"akr_a_dhe",1951,10737,,40,
"alb",1951,1287499,1965,23.4836144737,161.698540341
"and",1951,6692,7550,40,
"ant",1951,113954,,40,
"arg",1951,17507132,7612,41.28,91.9209761255
"arm",1951,1382982,1834,37.6690147126,108.04
"asm",1951,19295,,40,
"atg",1951,48306,3633,40,127.200206961
"aus",1951,8417640,12229,37.6418039265,31
"aut",1951,6930348,7382,38.701817,69.81
"aze",1951,2965338,3595,40,141.337105948
"bdi",1951,2359234,525,45.5749345902,298.371138126
"bel",1951,8673691,10790,38.623471987,55.94
"ben",1951,2258049,1226,40.588504,345.1
"bfa",1951,4324493,537,39.189264,387
"bgd",1951,38706927,1031,37.391196157,342.9
"bgr",1951,7303773,3325,24.2664060184,155.76
"bhr",1951,116919,16689,40,305.938950847
"bhs",1951,79984,10705,40,126.56
"bih",1951,2709913,1304,40,180.689223645
"blr",1951,7717708,2781,33.4,87.4563802946
"blz",1951,71243,1879,40,158.346490323
"bmu",1951,37819,12638,40,
"bol",1951,3140342,3374,35.13959,306.081412785
"bra",1951,55605541,3074,49.9471896152,222.094808016
"brb",1951,215704,3149,48.2689805701,218.024456444
"brn",1951,50971,55126,40,144.21691092
"btn",1951,181489,859,40,403.180154486
"bwa",1951,425270,851,42.9665108108,238.203908743
"caf",1951,1339842,1245,45.936512,369.999456173
"can",1951,14099994,12419,36.1035130997,46.2
"cck",1951,329,,40,
"chanisl",1951,102965,,40,
"cheslo",1951,12534585,,40,
"chl",1951,6278346,5279,39.2922460385,229.776232227
"chn",1951,558820362,582,53.27,311.714151788
"civ",1951,2692657,2102,38.792120196,364.360704768
"cmr",1951,4544218,1479,40.48227,375.322240181
"cod",1951,12428829,1756,44.2581471831,288.557105349
"cog",1951,824129,1880,37.5709770968,270.376731866
"cok",1951,15411,,40,193.1
"col",1951,12699949,3151,47.9719039607,186.915233616
"com",1951,160083,837,37.543438,289.841861485
"cpv",1951,186124,784,40,216.693066743
"cri",1951,986159,2933,40,146.340626667
"cub",1951,6051290,9245,36.5678616129,49.67
"cxr",1951,627,,40,
"cym",1951,6269,10507,40,
"cyp",1951,500378,3899,40,79.2610833969
"cyp_nor",1951,,,40,
"cze",1951,9005036,8166,39.21561,76.1477853318
"deu",1951,70111671,7884,45.8665949753,59.03227046
"deu_east",1951,18320272,,40,
"dji",1951,63309,3248,40,281.855842501
"dma",1951,51706,2175,40,
"dnk",1951,4308324,12004,35.4449867485,33.4
"dom",1951,2438412,2242,41.0476709317,155.1
"dza",1951,9039913,3957,40.6676411475,281.867782802
"ecu",1951,3561154,3393,40,235.906299555
"egy",1951,21383393,1738,39.5187175,367.830898412
"eri",1951,1162658,798,40,333.615598656
"eri_a_eth",1951,21936153,,40,
"est",1951,1113247,4866,34.3437028571,84.1741821642
"eth",1951,18466918,586,42.900437,353.923802364
"fin",1951,4049689,7738,35.9391543068,42
"fji",1951,296206,2798,40,125.9
"flk",1951,2247,,40,
"fra",1951,42071027,8301,57.3167360844,53.4
"fro",1951,31287,,40,
"fsm",1951,33400,1189,40,165.277857766
"gab",1951,475864,711,43.914151407,324.89659365
"gbg",1951,45536,,40,
"gbm",1951,55264,,40,
"geo",1951,3584698,2320,33.6332024,122.839706314
"gha",1951,5068433,1704,41.921545,250.8
"gib",1951,20644,,40,
"gin",1951,3141548,643,42.455556,362.8
"glp",1951,213055,,40,
"gmb",1951,272719,1025,40,399.238199105
"gnb",1951,544103,867,37.94214875,281.925771891
"gnq",1951,230057,507,40,348.425459435
"grc",1951,7635277,4098,35.37139,56.7845525876
"grd",1951,76626,1718,40,155.957850775
"grl",1951,23470,3532,40,
"gtm",1951,3237922,3083,43.58826,272.543023739
"guf",1951,26246,,40,
"gum",1951,60261,,40,
"guy",1951,420290,4207,41.8975544689,150.2
"hkg",1951,2036150,3494,48.7,
"hnd",1951,1524974,2460,40,264.757701986
"hos",1951,887,,40,
"hrv",1951,3886222,4997,37.357326,114.932825142
"hti",1951,3275368,2278,42.511734,334.529853504
"hun",1951,9478110,6439,28.7894109677,102.915600361
"idn",1951,70869608,1527,52.5981548069,287.6
"ind",1951,382231042,908,35.4481283342,271.587900884
"irl",1951,2921278,6417,43.804617,51.9
"irn",1951,17516578,3881,47.496836,308.108195121
"irq",1951,5901507,3178,60.9466282609,343.1
"isl",1951,144928,8350,40,29.2
"isr",1951,1354097,4435,44.9711378571,52.6067190722
"ita",1951,47014137,6736,43.036719,81.8
"jam",1951,1436851,2872,41.7571994322,129.706661392
"jey",1951,57453,,40,
"jor",1951,503116,3120,40,260.9
"jpn",1951,83794452,2728,36.1239553295,82.6
"kaz",1951,6831158,5910,38.8466828571,162.456184834
"ken",1951,6240177,2046,57.024032,317.551589506
"kgz",1951,1763226,2335,37.3881262857,181.655059037
"khm",1951,4539656,1114,40,287.061119741
"kir",1951,33627,1816,40,258.768852405
"kna",1951,,3430,40,
"kor",1951,19304737,753,30.45152,330
"korea_union",1951,30056190,,,
"kos",1951,1213291,,40,
"kwt",1951,163632,5745,40,197.289738413
"lao",1951,1723050,1146,41.8362242623,279.696481013
"lbn",1951,1358220,6946,53.9760492128,138.938665712
"lbr",1951,943241,1247,40,326.071461782
"lby",1951,1131590,5671,40,365.319242768
"lca",1951,,1468,40,180.145345491
