"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","fertility_rate"
"abkh",1975,,,40,
"abw",1975,60655,9493,40,2.51
"afg",1975,12582954,1201,31.9588019449,7.67
"ago",1975,7107334,5454,46.4767514516,7.19
"aia",1975,6630,,40,
"akr_a_dhe",1975,12712,,40,
"alb",1975,2411229,4178,26.5749218421,4.39
"and",1975,30706,34092,40,
"ant",1975,166281,,40,2.51
"arg",1975,26066975,10571,36.1,3.32
"arm",1975,2825650,3810,38.1488301542,2.75
"asm",1975,29932,,40,
"atg",1975,69253,6458,40,2.7
"aus",1975,13892674,21708,33.6173460539,2.15
"aut",1975,7628138,21364,42.9872866667,1.83
"aze",1975,5693796,7994,40,3.95
"bdi",1975,3676991,780,42.8534486885,7.42
"bel",1975,9769006,22196,30.2737401904,1.84
"ben",1975,3262959,1141,43.99,6.93
"bfa",1975,6154548,703,47.9307670225,6.86
"bgd",1975,71247153,1035,33.4759966738,6.82
"bgr",1975,8727332,9736,17.831391733,2.19
"bhr",1975,266686,33509,40,5.56
"bhs",1975,188882,14320,53.6141540723,3.23
"bih",1975,3971608,3036,40,2.41
"blr",1975,9365830,6132,23.4,2.16
"blz",1975,133261,3315,40,6.28
"bmu",1975,54994,34314,40,
"bol",1975,5009259,4260,48.9987561198,6.18
"bra",1975,108431284,8595,65.0512093155,4.5
"brb",1975,246033,10203,48.1693226258,2.39
"brn",1975,160799,89842,40,5.37
"btn",1975,349146,957,40,6.69
"bwa",1975,822029,2969,51.0096866667,6.48
"caf",1975,2017379,1181,56.7869565217,5.95
"can",1975,23140609,23593,33.7559638537,1.83
"cck",1975,454,,40,
"chanisl",1975,126417,,40,1.66
"cheslo",1975,14771097,,40,
"chl",1975,10420590,6058,51.0763294854,3.16
"chn",1975,905580445,920,26.6,3.58
"civ",1975,6606395,4159,50.0655916547,7.92
"cmr",1975,7740196,2338,43.9285,6.39
"cod",1975,22902275,2032,44.1317077465,6.37
"cog",1975,1556406,3784,39.9037074194,6.33
"cok",1975,20355,,40,
"col",1975,24756969,5208,53.2310232933,4.63
"com",1975,256309,1575,50.4467071875,7.05
"cpv",1975,272575,771,40,6.77
"cri",1975,2097410,6725,51.4044559154,3.97
"cub",1975,9438445,11176,39.2952603226,2.84
"cxr",1975,1234,,40,
"cym",1975,12238,28751,40,
"cyp",1975,649755,8574,40,2.35
"cyp_nor",1975,,,40,
"cze",1975,10058165,17220,26.711694,2.29
"deu",1975,78667327,23630,37.87304,1.56
"deu_east",1975,16796475,,40,
"dji",1975,224182,4350,40,6.78
"dma",1975,72091,3520,40,
"dnk",1975,5061289,23846,33.68468,1.92
"dom",1975,5149934,4407,44.145,5.19
"dza",1975,16709098,8119,41.0501696721,7.42
"ecu",1975,6987393,6891,41,5.45
"egy",1975,38624410,3193,42.0001929628,5.59
"eri",1975,2070145,965,40,6.61
"eri_a_eth",1975,35423605,,40,
"est",1975,1422070,10829,27.6069714286,2.11
"eth",1975,32568539,729,50.667918,7.14
"fin",1975,4711459,19409,33.45066,1.69
"fji",1975,576592,5245,45.0385670722,4.05
"flk",1975,1917,,40,
"fra",1975,53010727,20851,38.4,2.06
"fro",1975,40529,,40,
"fsm",1975,63146,2709,40,6.68
"gab",1975,649719,18169,56.33777,5.41
"gbg",1975,53714,,40,
"gbm",1975,60941,,40,
"geo",1975,4908265,6611,31.986236,2.5
"gha",1975,9831409,2190,50.8555316704,6.82
"gib",1975,25443,,40,
"gin",1975,4359735,1076,44.769,6.35
"glp",1975,327525,,40,3.76
"gmb",1975,521070,1778,40,6.29
"gnb",1975,778482,1852,43.51107875,6.87
"gnq",1975,238240,1181,40,5.67
"grc",1975,9030080,15594,42.1484,2.34
"grd",1975,92453,3724,40,4.44
"grl",1975,49582,12652,40,2.35
"gtm",1975,6237963,5450,48.09,6.2
"guf",1975,56221,,40,3.66
"gum",1975,93354,,40,3.8
"guy",1975,740167,4509,46.2212204449,4.76
"hkg",1975,4355301,10602,42.92,2.81
"hnd",1975,3107735,3061,59.91,6.84
"hos",1975,729,,40,
"hrv",1975,4500868,15162,41.1992614286,1.99
"hti",1975,5140357,2249,49.89823,5.64
"hun",1975,10541344,14991,25.62669,2.12
"idn",1975,130724118,2612,44.8306363861,5.04
"ind",1975,621703641,1212,40.51,5.08
"irl",1975,3180805,13703,38.98769,3.57
"irn",1975,32730555,14690,32.93859,6.21
"irq",1975,11684585,10522,42.48105,6.99
"isl",1975,217958,19023,40,2.65
"isr",1975,3336760,13751,46.4142857143,3.66
"ita",1975,55268549,18469,39.84876,2.17
"jam",1975,2017830,7782,33.09146,4.48
"jey",1975,72283,,40,
"jor",1975,1985121,4824,40,7.6
"jpn",1975,110804519,16632,41.4913014565,2
"kaz",1975,14136006,12857,31.9666714286,3.25
"ken",1975,13486241,2000,54.31025,7.84
"kgz",1975,3299001,3567,33.0200371429,4.37
"khm",1975,7551988,1096,40,5.62
"kir",1975,55169,5764,40,4.9
"kna",1975,,5453,40,
"kor",1975,34713078,4108,39.1320090974,3.62
"korea_union",1975,51068402,,,
"kos",1975,1526314,,40,
"kwt",1975,1051187,91796,40,6.43
"lao",1975,3047864,1400,40.8027016393,6.06
"lbn",1975,2575693,10242,53.3076923077,4.44
"lbr",1975,1628656,1394,40,6.88
"lby",1975,2621730,42903,40,7.99
"lca",1975,,3734,40,5.46
"lie",1975,23435,,40,
"lso",1975,1149090,882,40,5.76
"ltu",1975,3299819,14961,27.3212571429,2.21
"lux",1975,353984,32351,40,1.57
"lva",1975,2457027,9235,27.7498285714,1.94
"mac",1975,248213,20157,40,1.48
"mar",1975,17854614,2737,43.828485,6.17
"mco",1975,25201,30908,40,
"mda",1975,3838911,5727,17.831391733,2.48
"mdg",1975,7575757,2314,50.9307324832,7.22
"mdv",1975,136434,1334,40,6.98
"mex",1975,60872399,10234,62.2789180507,5.93
"mhl",1975,25580,2464,40,
"mkd",1975,1803009,8033,42.0293857576,2.75
"mli",1975,6482276,891,53.4466801368,6.97
"mlt",1975,307597,7201,40,2.06
"mmr",1975,30640635,1490,44.27483,5.49
"mne",1975,554262,13294,40,2.5
"mng",1975,1479650,1949,40,7.14
"mnp",1975,15232,,40,
"moz",1975,10405000,570,50.26643,6.55
"mrt",1975,1328687,2753,51.0625,6.68
"msr",1975,11780,,40,
"mtq",1975,327841,,40,3.33
"mus",1975,892208,4110,40,3.26
"mwi",1975,5292816,643,52.9455801975,7.52
"mys",1975,12311782,5182,51.8,4.21
"myt",1975,45484,,40,7.95
"nam",1975,905647,6022,55.1013982609,6.65
"ncl",1975,128216,,40,4.6
"ner",1975,5171029,1093,51.9217390157,7.58
"nfk",1975,1817,,40,
"nga",1975,63565598,4044,36.756775053,6.71
"ngokar",1975,,,40,
"nic",1975,2796748,6680,43.99,6.6
"niu",1975,3972,,40,
"nld",1975,13611064,22849,31.46019,1.66
"nor",1975,4006221,27553,34.6300414523,1.98
"npl",1975,13313487,1009,51.09327,5.89
"nru",1975,7070,60605,40,
"nzl",1975,3082883,21467,30.0328767702,2.46
"omn",1975,882044,22184,40,7.75
"pak",1975,66791496,1811,35.49,6.61
"pan",1975,1745207,6992,53.1924499588,4.54
"pcn",1975,70,,40,
