geo,geo.name,geo.cat,geo.region,geo.lat,geo.lng
afg,Afghanistan,country,asi,33,66
ago,Angola,country,afr,-12.5,18.5
alb,Albania,country,eur,41,20
are,United Arab Emirates,country,asi,23.75,54.5
arg,Argentina,country,ame,-34,-64
arm,Armenia,country,eur,40.25,45
aus,Australia,country,asi,-25,135
aut,Austria,country,eur,47.33333,13.33333
aze,Azerbaijan,country,eur,40.5,47.5
bdi,Burundi,country,afr,-3.5,30
bel,Belgium,country,eur,50.75,4.5
ben,Benin,country,afr,9.5,2.25
bfa,Burkina Faso,country,afr,12.5,-1.66667
bgd,Bangladesh,country,asi,24,90
bgr,Bulgaria,country,eur,42.66667,25.25
bhr,Bahrain,country,asi,26.03333,50.55
bih,Bosnia and Herzegovina,country,eur,44.25,17.83333
blr,Belarus,country,eur,53,28
bol,Bolivia,country,ame,-17,-65
bra,Brazil,country,ame,-10,-55
btn,Bhutan,country,asi,27.5,90.5
bwa,Botswana,country,afr,-22,24
caf,Central African Republic,country,afr,7,21
can,Canada,country,ame,60.10867,-113.64258
che,Switzerland,country,eur,47.00016,8.01427
chl,Chile,country,ame,-33.45694,-70.64827
chn,China,country,asi,35,105
civ,Cote d'Ivoire,country,afr,8,-5.5
cmr,Cameroon,country,afr,6,12.5
cod,"Congo, Dem. Rep.",country,afr,-2.5,23.5
cog,"Congo, Rep.",country,afr,-1,15.5
col,Colombia,country,ame,4,-73.25
com,Comoros,country,afr,-12.23333,44.44553
cpv,Cape Verde,country,afr,16,-24
cri,Costa Rica,country,ame,10,-84
cub,Cuba,country,ame,22,-79.5
cyp,Cyprus,country,eur,35,33
cze,Czech Republic,country,eur,49.75,15
deu,Germany,country,eur,51.5,10.5
dji,Djibouti,country,afr,11.58901,43.14503
dnk,Denmark,country,eur,56,10
dom,Dominican Republic,country,ame,19,-70.66667
dza,Algeria,country,afr,28,3
ecu,Ecuador,country,ame,-1.25,-78.25
egy,Egypt,country,afr,27,30
eri,Eritrea,country,afr,15,39
esp,Spain,country,eur,40,-4
est,Estonia,country,eur,59,26
eth,Ethiopia,country,afr,9,39.5
fin,Finland,country,eur,64,26
fji,Fiji,country,asi,-18,178
fra,France,country,eur,46,2
gab,Gabon,country,afr,-1,11.75
gbr,United Kingdom,country,eur,54.75844,-2.69531
geo,Georgia,country,eur,41.99998,43.4999
gha,Ghana,country,afr,8.1,-1.2
gin,Guinea,country,afr,10.83333,-10.66667
gmb,Gambia,country,afr,13.5,-15.5
gnb,Guinea-Bissau,country,afr,12,-15
gnq,Equatorial Guinea,country,afr,1.7,10.5
grc,Greece,country,eur,39,22
gtm,Guatemala,country,ame,14.64072,-90.51327
guy,Guyana,country,ame,5,-59
hnd,Honduras,country,ame,15,-86.5
hti,Haiti,country,ame,19,-72.41667
hun,Hungary,country,eur,47,20
idn,Indonesia,country,asi,-5,120
ind,India,country,asi,22,79
irl,Ireland,country,eur,53,-8
irn,Iran,country,asi,32,53
irq,Iraq,country,asi,33,44
isr,Israel,country,asi,31.5,34.75
ita,Italy,country,eur,42.83333,12.83333
jam,Jamaica,country,ame,18.16667,-77.25
jor,Jordan,country,asi,31,36
jpn,Japan,country,asi,35.68536,139.75309
kaz,Kazakhstan,country,asi,48,68
ken,Kenya,country,afr,1,38
kgz,Kyrgyz Republic,country,asi,41.5,75
khm,Cambodia,country,asi,13,105
kor,South Korea,country,asi,36.5,127.75
kwt,Kuwait,country,asi,29.36972,47.97833
lao,Lao,country,asi,18,105
lbn,Lebanon,country,asi,33.83333,35.83333
lbr,Liberia,country,afr,6.5,-9.5
lby,Libya,country,afr,28,17
lka,Sri Lanka,country,asi,7.75,80.75
lso,Lesotho,country,afr,-29.5,28.25
ltu,Lithuania,country,eur,55.41667,24
lux,Luxembourg,country,eur,49.61167,6.13
lva,Latvia,country,eur,57,25
mar,Morocco,country,afr,32,-6
mda,Moldova,country,eur,47.25,28.58333
mdg,Madagascar,country,afr,-20,47
mex,Mexico,country,ame,19.42847,-99.12766
