Country Name;Indicator Name;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Aruba;Primary completion rate, total (% of relevant age group);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101.6191177;97.21595001;94.33551025;94.75524139;90.15509033;90.55989838;88.19796753;93.12735748;95.58824158;95.13303375;96.30606842;94.78610229;;;96.5044632;101.1103363;;
Andorra;Primary completion rate, total (% of relevant age group);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;Primary completion rate, total (% of relevant age group);;;;;16.80868912;;;17.43479919;19.12657928;;26.71748924;33.22000885;13.50133991;;18.40089035;19.15854073;;;;;;;;29.55384064;;;;;;;;;;;;;;;;;;;;;;;
Angola;Primary completion rate, total (% of relevant age group);;;;;;;;;;;;45.05036926;39.69403839;;;;;;;;;31.45512009;;;;;;;;;;;;;;;;;42.18664169;41.63848877;42.7725296;49.72512817;;;;;
Albania;Primary completion rate, total (% of relevant age group);;;;;;;;;;;;;;;;;;;;;;;;;;;92.02439117;;;;97.1042099;96.88066101;;94.0810318;92.96962738;;;97.80805969;95.13124084;94.08692932;92.8441391;98.04717255;103.6188431;94.52274323;107.8213196;;
Arab World;Primary completion rate, total (% of relevant age group);49.64904022;49.56652832;49.15349579;50.62393188;52.05931854;54.97728729;56.5825882;58.69374084;58.10224533;53.97397995;57.06666183;60.5230217;61.27488708;62.45806885;64.81877899;68.89173126;67.98698425;67.77152252;68.15235901;68.27277374;69.54263306;69.4807663;70.18477631;70.32132721;71.07829285;72.02413177;72.97499084;73.73332977;74.75653076;75.74105072;75.37611389;76.59609985;77.50337982;80.00307465;81.98879242;82.90742493;81.19826508;83.21227264;85.27881622;83.72186279;85.42140198;85.39659882;87.25481415;85.14927673;86.38922882;;
United Arab Emirates;Primary completion rate, total (% of relevant age group);;;;;40.34386826;42.87657166;50.54531097;57.3526001;60.86544037;65.51125336;67.73314667;72.01895905;82.15113068;82.37197876;80.16432953;76.80509949;78.70556641;78.62644196;76.55155945;83.97956085;92.96806335;99.67151642;97.86244965;95.07714844;93.4615097;91.31307983;87.80299377;91.17881775;89.5359726;88.68135834;;;;87.84590149;92.76075745;96.31754303;96.70868683;95.75705719;;86.36058044;87.41023254;89.49369812;94.09414673;96.54083252;102.7079468;;
Argentina;Primary completion rate, total (% of relevant age group);70.72267151;71.5741272;;;75.31321716;78.72013855;78.63903809;;;;;;;;;;;;;;;;;;98.68029785;;93.61728668;92.17890167;100.0850296;98.21705627;98.49373627;98.08421326;102.0276337;99.92209625;98.56243896;96.68479156;99.13020325;101.8495026;105.0619736;104.9862518;104.8092194;104.4178619;103.2247696;100.8773727;;;
Armenia;Primary completion rate, total (% of relevant age group);;;;;;;;;;;;;;;;;;;;;;;;;105.9922409;;;95.49756622;;;;;93.72377777;89.42333984;100.0672607;92.07588959;92.21211243;98.62464142;100.1311035;;;;;;;;
American Samoa;Primary completion rate, total (% of relevant age group);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;Primary completion rate, total (% of relevant age group);;;;;;82.93412781;82.25235748;;;;;;;;;;;;;;;;96.68756104;;;;;;;;;;;;;;;;102.509407;95.54579926;102.3884277;99.74732208;;;102.272728;;
Australia;Primary completion rate, total (% of relevant age group);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Austria;Primary completion rate, total (% of relevant age group);;95.11309814;96.99954224;97.19644165;;;;;;;;;;;;;;;;;;;;;;;;;101.055191;101.0132828;;;100.3597488;101.1183472;98.89528656;98.72441864;100.4927216;102.9147797;100.5970078;99.05760193;98.56881714;96.89769745;96.76053619;97.86506653;99.23864746;;
Azerbaijan;Primary completion rate, total (% of relevant age group);;;;;;;;;;;;;;;;;;;;;;;;95.79737854;91.2384491;89.76319122;81.62098694;98.98126984;95.16493225;92.17310333;89.51351166;95.1685791;97.58601379;92.69615173;95.59542847;93.43061829;91.6054306;98.13037109;90.73683167;91.77172089;89.51445007;92.80683136;91.99118805;88.08940887;98.12570953;;
Burundi;Primary completion rate, total (% of relevant age group);;5.820469856;;10.83885956;10.97719002;11.66868019;10.92730045;11.21864986;11.31159019;11.50399017;11.75625992;12.09484005;14.47402954;19.72439957;27.01548004;28.14842033;29.09193993;28.51441956;39.08414078;32.98791885;40.56848145;44.80746841;47.71389008;50.77870941;;;;;;;23.79809952;24.25407028;24.73224068;29.11926079;31.34334946;33.53443146;;37.95439911;40.59923172;46.86260986;49.63373184;54.05052948;60.36790085;67.82791138;66.639328;;
Belgium;Primary completion rate, total (% of relevant age group);;;;;67.66882324;69.62287903;70.78346252;73.01040649;75.39482117;69.08354187;69.37934113;75.7435379;78.08959198;72.74395752;76.18354034;74.35089874;72.97370911;71.97445679;73.49021912;;;79.10640717;;;;;;;;;;;;;;;85.88150024;86.18222809;86.6153183;87.73430634;89.01660156;;88.83145905;89.53730011;88.39974213;;
Benin;Primary completion rate, total (% of relevant age group);;18.04854012;21.07966995;21.5107708;20.34900093;24.92765999;24.83406067;24.23805046;26.38204002;27.72839928;29.58871078;30.71822929;33.16653061;35.9202919;29.36137962;33.28630066;30.36451912;29.35956001;27.09181976;26.81138039;18.65395927;21.21467972;21.47604942;23.57146072;25.47909927;29.92717934;32.01721954;34.38386154;37.07059097;;37.26438904;40.99201965;43.03329086;47.22769928;50.82490921;;;;61.98957825;;64.83934784;69.52506256;70.52256775;75.68540955;76.34879303;;
