time,geo,piped_water_percentage,electricity_lighting_total
1996,261,0.983335285,0.75974069
1996,262,0.853500979,0.43351783
1996,263,0.895137583,0.634054024
1996,264,0.925637402,0.710160782
1996,265,0.850701328,0.611168079
1996,266,0.702103345,0.614646239
1996,267,0.823578383,0.425682694
1996,268,0.930890985,0.729686983
1996,269,0.697321883,0.632792025
1996,270,0.060614134,0.040186687
1996,271,0.236267517,0.13247422
1996,272,0.756794312,0.270694792
1996,273,0.587969017,0.240929166
1996,274,0.528901203,0.230016873
1996,276,0.662894911,0.216249534
1996,277,0.925698327,0.353771453
1996,278,0.939858933,0.664222007
1996,279,0.904355151,0.453487299
1996,280,0.943572685,0.773381489
1996,281,0.845629435,0.562491025
1996,282,0.20131761,0.059835607
1996,283,0.427137505,0.194085463
1996,284,0.117526976,0.049950468
1996,285,0.519398793,0.192741206
1996,286,0.216759241,0.078918507
1996,287,0.5368153,0.290112221
1996,288,0.921941099,0.527565587
1996,289,0.947241802,0.722959098
1996,290,0.144382499,0.029038536
1996,291,0.073349159,0.043825359
1996,292,0.155810004,0.047328832
1996,293,0.205011243,0.068972324
1996,294,0.358344344,0.212267612
1996,295,0.258018892,0.082999018
1996,296,0.213069394,0.062895772
1996,297,0.07256929,0.074076836
1996,298,0.1048256,0.03167258
1996,260,0.905241097,0.465118589
1996,299,0.979429523,0.708568843
1996,460,0.870040715,0.753237536
1996,461,0.940668203,0.752882744
1996,462,0.917431067,0.67396435
1996,463,0.960513909,0.74062179
1996,464,0.915548364,0.727327759
1996,465,0.903668516,0.544441327
1996,466,0.883244001,0.621392334
1996,467,0.972095217,0.725739688
1996,468,0.892794475,0.442378861
1996,469,0.916366474,0.63542008
1996,470,0.895784247,0.64233038
1996,471,0.844958017,0.547622045
1996,472,0.960791367,0.227724485
1996,473,0.752205866,0.402315579
1996,474,0.911121474,0.683810422
1996,475,0.918846591,0.588200278
1996,477,0.928626816,0.338239936
1996,478,0.966424688,0.673411148
1996,479,0.847191772,0.484963017
