geo,time,age,education,sex,zaf_population
zaf,1996,0,No schooling,Male,0
zaf,1996,0,No schooling,Female,0
zaf,1996,0,Some primary,Male,0
zaf,1996,0,Some primary,Female,0
zaf,1996,0,Complete primary,Male,0
zaf,1996,0,Complete primary,Female,0
zaf,1996,0,Some secondary,Male,0
zaf,1996,0,Some secondary,Female,0
zaf,1996,0,Grade 12/Std 10,Male,0
zaf,1996,0,Grade 12/Std 10,Female,0
zaf,1996,0,Higher,Male,0
zaf,1996,0,Higher,Female,0
zaf,1996,0,Unspecified,Male,0
zaf,1996,0,Unspecified,Female,0
zaf,1996,0,Not applicable,Male,426858.4067
zaf,1996,0,Not applicable,Female,429380.3018
zaf,1996,0,Total,Male,426858.4067
zaf,1996,0,Total,Female,429380.3018
zaf,1996,1,No schooling,Male,0
zaf,1996,1,No schooling,Female,0
zaf,1996,1,Some primary,Male,0
zaf,1996,1,Some primary,Female,0
zaf,1996,1,Complete primary,Male,0
zaf,1996,1,Complete primary,Female,0
zaf,1996,1,Some secondary,Male,0
zaf,1996,1,Some secondary,Female,0
zaf,1996,1,Grade 12/Std 10,Male,0
zaf,1996,1,Grade 12/Std 10,Female,0
zaf,1996,1,Higher,Male,0
zaf,1996,1,Higher,Female,0
zaf,1996,1,Unspecified,Male,0
zaf,1996,1,Unspecified,Female,0
zaf,1996,1,Not applicable,Male,420510.4262
zaf,1996,1,Not applicable,Female,420659.0426
zaf,1996,1,Total,Male,420510.4262
zaf,1996,1,Total,Female,420659.0426
zaf,1996,2,No schooling,Male,0
zaf,1996,2,No schooling,Female,0
zaf,1996,2,Some primary,Male,0
zaf,1996,2,Some primary,Female,0
zaf,1996,2,Complete primary,Male,0
zaf,1996,2,Complete primary,Female,0
zaf,1996,2,Some secondary,Male,0
zaf,1996,2,Some secondary,Female,0
zaf,1996,2,Grade 12/Std 10,Male,0
zaf,1996,2,Grade 12/Std 10,Female,0
zaf,1996,2,Higher,Male,0
zaf,1996,2,Higher,Female,0
zaf,1996,2,Unspecified,Male,0
zaf,1996,2,Unspecified,Female,0
zaf,1996,2,Not applicable,Male,445068.8108
zaf,1996,2,Not applicable,Female,447110.4856
zaf,1996,2,Total,Male,445068.8108
zaf,1996,2,Total,Female,447110.4856
zaf,1996,3,No schooling,Male,0
zaf,1996,3,No schooling,Female,0
zaf,1996,3,Some primary,Male,0
zaf,1996,3,Some primary,Female,0
zaf,1996,3,Complete primary,Male,0
zaf,1996,3,Complete primary,Female,0
zaf,1996,3,Some secondary,Male,0
zaf,1996,3,Some secondary,Female,0
zaf,1996,3,Grade 12/Std 10,Male,0
zaf,1996,3,Grade 12/Std 10,Female,0
zaf,1996,3,Higher,Male,0
zaf,1996,3,Higher,Female,0
zaf,1996,3,Unspecified,Male,0
zaf,1996,3,Unspecified,Female,0
zaf,1996,3,Not applicable,Male,458432.3982
zaf,1996,3,Not applicable,Female,460518.6108
zaf,1996,3,Total,Male,458432.3982
zaf,1996,3,Total,Female,460518.6108
zaf,1996,4,No schooling,Male,0
zaf,1996,4,No schooling,Female,0
zaf,1996,4,Some primary,Male,0
zaf,1996,4,Some primary,Female,0
zaf,1996,4,Complete primary,Male,0
zaf,1996,4,Complete primary,Female,0
zaf,1996,4,Some secondary,Male,0
zaf,1996,4,Some secondary,Female,0
zaf,1996,4,Grade 12/Std 10,Male,0
zaf,1996,4,Grade 12/Std 10,Female,0
zaf,1996,4,Higher,Male,0
zaf,1996,4,Higher,Female,0
zaf,1996,4,Unspecified,Male,0
zaf,1996,4,Unspecified,Female,0
zaf,1996,4,Not applicable,Male,465892.8871
zaf,1996,4,Not applicable,Female,469189.5228
zaf,1996,4,Total,Male,465892.8871
zaf,1996,4,Total,Female,469189.5228
zaf,1996,5,No schooling,Male,426976.3477
zaf,1996,5,No schooling,Female,423040.4184
zaf,1996,5,Some primary,Male,15286.74241
zaf,1996,5,Some primary,Female,15724.19211
zaf,1996,5,Complete primary,Male,0
zaf,1996,5,Complete primary,Female,0
zaf,1996,5,Some secondary,Male,0
zaf,1996,5,Some secondary,Female,0
zaf,1996,5,Grade 12/Std 10,Male,0
zaf,1996,5,Grade 12/Std 10,Female,0
zaf,1996,5,Higher,Male,14.8479
zaf,1996,5,Higher,Female,6.7791
zaf,1996,5,Unspecified,Male,39803.77972
zaf,1996,5,Unspecified,Female,39306.90419
zaf,1996,5,Not applicable,Male,0
zaf,1996,5,Not applicable,Female,0
zaf,1996,5,Total,Male,482081.7177
zaf,1996,5,Total,Female,478078.2938
zaf,1996,6,No schooling,Male,406499.3631
zaf,1996,6,No schooling,Female,401090.7929
zaf,1996,6,Some primary,Male,58422.34954
zaf,1996,6,Some primary,Female,62189.60692
zaf,1996,6,Complete primary,Male,0
zaf,1996,6,Complete primary,Female,0
zaf,1996,6,Some secondary,Male,0
zaf,1996,6,Some secondary,Female,0
zaf,1996,6,Grade 12/Std 10,Male,0
zaf,1996,6,Grade 12/Std 10,Female,0
zaf,1996,6,Higher,Male,8.8444
zaf,1996,6,Higher,Female,3.3639
zaf,1996,6,Unspecified,Male,29375.69312
zaf,1996,6,Unspecified,Female,28943.1105
zaf,1996,6,Not applicable,Male,0
zaf,1996,6,Not applicable,Female,0
zaf,1996,6,Total,Male,494306.2501
zaf,1996,6,Total,Female,492226.8743
zaf,1996,7,No schooling,Male,297481.9673
zaf,1996,7,No schooling,Female,282971.7759
zaf,1996,7,Some primary,Male,145765.2046
zaf,1996,7,Some primary,Female,158602.073
zaf,1996,7,Complete primary,Male,0
zaf,1996,7,Complete primary,Female,0
zaf,1996,7,Some secondary,Male,0
zaf,1996,7,Some secondary,Female,0
zaf,1996,7,Grade 12/Std 10,Male,0
zaf,1996,7,Grade 12/Std 10,Female,0
zaf,1996,7,Higher,Male,10.1098
zaf,1996,7,Higher,Female,10.222
zaf,1996,7,Unspecified,Male,22259.0536
zaf,1996,7,Unspecified,Female,22304.17445
zaf,1996,7,Not applicable,Male,0
zaf,1996,7,Not applicable,Female,0
zaf,1996,7,Total,Male,465516.3353
zaf,1996,7,Total,Female,463888.2454
zaf,1996,8,No schooling,Male,196856.8266
zaf,1996,8,No schooling,Female,180572.3722
zaf,1996,8,Some primary,Male,231991.6803
zaf,1996,8,Some primary,Female,253961.6956
zaf,1996,8,Complete primary,Male,1349.63237
zaf,1996,8,Complete primary,Female,1434.93691
zaf,1996,8,Some secondary,Male,0
zaf,1996,8,Some secondary,Female,0
zaf,1996,8,Grade 12/Std 10,Male,0
zaf,1996,8,Grade 12/Std 10,Female,0
zaf,1996,8,Higher,Male,7.8578
zaf,1996,8,Higher,Female,8.9662
zaf,1996,8,Unspecified,Male,18310.36018
zaf,1996,8,Unspecified,Female,18153.92138
zaf,1996,8,Not applicable,Male,0
zaf,1996,8,Not applicable,Female,0
zaf,1996,8,Total,Male,448516.3573
zaf,1996,8,Total,Female,454131.8923
zaf,1996,9,No schooling,Male,131170.3523
zaf,1996,9,No schooling,Female,109666.0212
zaf,1996,9,Some primary,Male,292355.445
zaf,1996,9,Some primary,Female,317662.9005
zaf,1996,9,Complete primary,Male,1956.17625
zaf,1996,9,Complete primary,Female,2137.3536
zaf,1996,9,Some secondary,Male,1347.67343
zaf,1996,9,Some secondary,Female,1451.22731
zaf,1996,9,Grade 12/Std 10,Male,0
zaf,1996,9,Grade 12/Std 10,Female,0
zaf,1996,9,Higher,Male,9.9352
zaf,1996,9,Higher,Female,3.287
zaf,1996,9,Unspecified,Male,16302.51413
zaf,1996,9,Unspecified,Female,15913.57373
zaf,1996,9,Not applicable,Male,0
