geo;age;population_group;education_attainment;time;population
zaf;0;White;No schooling;1996;0
zaf;0;White;Some primary;1996;0
zaf;0;White;Complete primary;1996;0
zaf;0;White;Some secondary;1996;0
zaf;0;White;Grade 12/Std 10;1996;0
zaf;0;White;Higher;1996;0
zaf;0;White;Not applicable;1996;54071.40321
zaf;0;White;Unspecified;1996;0
zaf;0;Black African;No schooling;1996;0
zaf;0;Black African;Some primary;1996;0
zaf;0;Black African;Complete primary;1996;0
zaf;0;Black African;Some secondary;1996;0
zaf;0;Black African;Grade 12/Std 10;1996;0
zaf;0;Black African;Higher;1996;0
zaf;0;Black African;Not applicable;1996;698472.069
zaf;0;Black African;Unspecified;1996;0
zaf;1;White;No schooling;1996;0
zaf;1;White;Some primary;1996;0
zaf;1;White;Complete primary;1996;0
zaf;1;White;Some secondary;1996;0
zaf;1;White;Grade 12/Std 10;1996;0
zaf;1;White;Higher;1996;0
zaf;1;White;Not applicable;1996;51172.29426
zaf;1;White;Unspecified;1996;0
zaf;1;Black African;No schooling;1996;0
zaf;1;Black African;Some primary;1996;0
zaf;1;Black African;Complete primary;1996;0
zaf;1;Black African;Some secondary;1996;0
zaf;1;Black African;Grade 12/Std 10;1996;0
zaf;1;Black African;Higher;1996;0
zaf;1;Black African;Not applicable;1996;691100.0929
zaf;1;Black African;Unspecified;1996;0
zaf;2;White;No schooling;1996;0
zaf;2;White;Some primary;1996;0
zaf;2;White;Complete primary;1996;0
zaf;2;White;Some secondary;1996;0
zaf;2;White;Grade 12/Std 10;1996;0
zaf;2;White;Higher;1996;0
zaf;2;White;Not applicable;1996;52224.86631
zaf;2;White;Unspecified;1996;0
zaf;2;Black African;No schooling;1996;0
zaf;2;Black African;Some primary;1996;0
zaf;2;Black African;Complete primary;1996;0
zaf;2;Black African;Some secondary;1996;0
zaf;2;Black African;Grade 12/Std 10;1996;0
zaf;2;Black African;Higher;1996;0
zaf;2;Black African;Not applicable;1996;735442.2083
zaf;2;Black African;Unspecified;1996;0
zaf;3;White;No schooling;1996;0
zaf;3;White;Some primary;1996;0
zaf;3;White;Complete primary;1996;0
zaf;3;White;Some secondary;1996;0
zaf;3;White;Grade 12/Std 10;1996;0
zaf;3;White;Higher;1996;0
zaf;3;White;Not applicable;1996;54133.96462
zaf;3;White;Unspecified;1996;0
zaf;3;Black African;No schooling;1996;0
zaf;3;Black African;Some primary;1996;0
zaf;3;Black African;Complete primary;1996;0
zaf;3;Black African;Some secondary;1996;0
zaf;3;Black African;Grade 12/Std 10;1996;0
zaf;3;Black African;Higher;1996;0
zaf;3;Black African;Not applicable;1996;758814.1108
zaf;3;Black African;Unspecified;1996;0
zaf;4;White;No schooling;1996;0
zaf;4;White;Some primary;1996;0
zaf;4;White;Complete primary;1996;0
zaf;4;White;Some secondary;1996;0
zaf;4;White;Grade 12/Std 10;1996;0
zaf;4;White;Higher;1996;0
zaf;4;White;Not applicable;1996;57616.2832
zaf;4;White;Unspecified;1996;0
zaf;4;Black African;No schooling;1996;0
zaf;4;Black African;Some primary;1996;0
zaf;4;Black African;Complete primary;1996;0
zaf;4;Black African;Some secondary;1996;0
zaf;4;Black African;Grade 12/Std 10;1996;0
zaf;4;Black African;Higher;1996;0
zaf;4;Black African;Not applicable;1996;769174.9471
zaf;4;Black African;Unspecified;1996;0
zaf;5;White;No schooling;1996;48677.65335
zaf;5;White;Some primary;1996;1284.2577
zaf;5;White;Complete primary;1996;0
zaf;5;White;Some secondary;1996;0
zaf;5;White;Grade 12/Std 10;1996;0
zaf;5;White;Higher;1996;4.9329
zaf;5;White;Not applicable;1996;0
zaf;5;White;Unspecified;1996;10258.15885
zaf;5;Black African;No schooling;1996;705348.8378
zaf;5;Black African;Some primary;1996;27160.65332
