geo,geo.name,geo.cat,geo.region,time,pop,gdp_per_cap,gini,u5mr
afg,Afghanistan,country,asi,1931,6456120,919,37.45,456.39
ago,Angola,country,afr,1931,3668683,1746,52.63,453.2
alb,Albania,country,eur,1931,1021507,1707,26.01,330.3
are,United Arab Emirates,country,asi,1931,60000,1706,40,405.62
arg,Argentina,country,ame,1931,12168550,6709,45,149.26
arm,Armenia,country,eur,1931,1133300,1009,37.27,219.34
aus,Australia,country,asi,1931,6534896,7129,36.43,55
aut,Austria,country,eur,1931,6704391,6364,37.39,154.8
aze,Azerbaijan,country,eur,1931,2421464,1848,40,227.83
bdi,Burundi,country,afr,1931,1985520,481,47.84,394.14
bel,Belgium,country,eur,1931,8122192,9329,50.75,109.9
ben,Benin,country,afr,1931,1879888,1075,45.24,404.87
bfa,Burkina Faso,country,afr,1931,3728678,533,41.53,425.31
bgd,Bangladesh,country,asi,1931,34654414,1202,38.04,432.61
bgr,Bulgaria,country,eur,1931,6113201,2433,27.71,217.55
bhr,Bahrain,country,asi,1931,96799,2898,40,410.01
bih,Bosnia and Herzegovina,country,eur,1931,2243055,1256,40,289.69
blr,Belarus,country,eur,1931,6535883,1474,25.86,173.32
bol,Bolivia,country,ame,1931,2655125,2460,36.62,373.72
bra,Brazil,country,ame,1931,34583143,1870,58.71,380.24
btn,Bhutan,country,asi,1931,159679,798,40,415.15
bwa,Botswana,country,afr,1931,224974,718,40.26,366.09
caf,Central African Republic,country,afr,1931,820541,899,45.25,423.42
can,Canada,country,ame,1931,10613480,6636,41.41,114.75
che,Switzerland,country,eur,1931,4068920,14003,39.37,65.2
chl,Chile,country,ame,1931,4376580,3210,61.4,377.22
chn,China,country,asi,1931,484182159,1048,45.13,383.57
civ,Cote d'Ivoire,country,afr,1931,2294282,1612,38.1,398.24
cmr,Cameroon,country,afr,1931,3007350,1180,43.88,430.87
cod,"Congo, Dem. Rep.",country,afr,1931,10695242,1091,44.36,392.87
cog,"Congo, Rep.",country,afr,1931,700643,1190,39.22,384.57
col,Colombia,country,ame,1931,8241321,2251,53.31,196.11
