time,geo,gdp_per_cap,lex,pop,geo.name,geo.cat,geo.region
1990,world,8780.9,65.76,5858793283,Mundo,planet,
1991,world,8669.31,65.93,5951704654,Mundo,planet,
1992,world,8410.78,66.08,6041808630,Mundo,planet,
1993,world,8303.1,66.14,6128869404,Mundo,planet,
1994,world,8306.03,66.27,6214708620,Mundo,planet,
1995,world,8392.6,66.44,6299799342,Mundo,planet,
1996,world,8537.01,66.7,6383624656,Mundo,planet,
1997,world,8791.66,66.97,6466176041,Mundo,planet,
1998,world,8929.34,67.22,6547860508,Mundo,planet,
1999,world,9118.68,67.43,6628565361,Mundo,planet,
2000,world,9294.51,67.71,6708774944,Mundo,planet,
2001,world,9433.26,67.99,6788484451,Mundo,planet,
2002,world,9532.73,68.26,6867598685,Mundo,planet,
2003,world,9668.13,68.52,6946653578,Mundo,planet,
2004,world,9898.26,68.83,7026019325,Mundo,planet,
2005,world,8819.28,69.06,7105910415,Mundo,planet,
2006,world,9173.85,69.36,7186353153,Mundo,planet,
2007,world,9530.87,69.61,7267256372,Mundo,planet,
2008,world,9616.73,69.8,7348502078,Mundo,planet,
2009,world,9421.27,70.03,6817597375,Mundo,planet,
2010,world,9759.93,70.23,6895735900,Mundo,planet,
2011,world,9975.47,70.45,6973845863,Mundo,planet,
2012,world,10149.75,70.65,7051957949,Mundo,planet,
2013,world,10423.39,70.81,7129858227,Mundo,planet,
2014,world,10720.8,71,7207330525,Mundo,planet,
1990,eur,22267.39,72.54,1189222282,Europa,region,
1991,eur,22111.7,72.52,1195056492,Europa,region,
1992,eur,21641.77,72.5,1199088214,Europa,region,
1993,eur,21262.96,72.03,1201874981,Europa,region,
1994,eur,22065.55,72,1204010672,Europa,region,
1995,eur,22843.63,72.21,1205708465,Europa,region,
1996,eur,23577.34,72.69,1206784740,Europa,region,
1997,eur,24551.85,73.15,1207418858,Europa,region,
1998,eur,25856.49,73.46,1207989722,Europa,region,
1999,eur,26962.07,73.41,1208338493,Europa,region,
2000,eur,28068.67,73.59,1208853609,Europa,region,
2001,eur,28394.36,73.84,1209726750,Europa,region,
2002,eur,28496.79,73.96,1210871997,Europa,region,
2003,eur,28563.26,74.1,1212483051,Europa,region,
2004,eur,29382.55,74.58,1214476658,Europa,region,
2005,eur,21331.78,74.69,1216791381,Europa,region,
2006,eur,22052.59,75.24,1219384298,Europa,region,
2007,eur,22804.38,75.49,1222202489,Europa,region,
2008,eur,22629.31,75.72,1225115599,Europa,region,
2009,eur,27766.36,75.81,815759891,Europa,region,
2010,eur,27666.86,76.01,818075872,Europa,region,
2011,eur,27660.17,76.19,820110684,Europa,region,
2012,eur,25873.05,76.36,821936285,Europa,region,
2013,eur,25846.45,76.52,823571242,Europa,region,
2014,eur,26145.01,76.69,825094321,Europa,region,
1990,asi,7688.79,65.25,3071520278,Asia,region,
1991,asi,6396.05,65.51,3125953706,Asia,region,
1992,asi,6871.02,65.74,3179090900,Asia,region,
1993,asi,6989.02,65.97,3231081452,Asia,region,
1994,asi,7152.79,66.22,3282207521,Asia,region,
1995,asi,7297.4,66.45,3332648858,Asia,region,
1996,asi,7557.17,66.74,3382401712,Asia,region,
1997,asi,8112.01,67.05,3431388304,Asia,region,
1998,asi,8390.58,67.38,3479529038,Asia,region,
1999,asi,8619.75,67.73,3526677638,Asia,region,
2000,asi,9089.12,68.12,3572800020,Asia,region,
2001,asi,9164,68.49,3617839571,Asia,region,
2002,asi,9429.71,68.85,3661874142,Asia,region,
2003,asi,9248.19,69.18,3705160099,Asia,region,
2004,asi,9933.43,69.49,3748022701,Asia,region,
2005,asi,5212.12,69.75,3790710899,Asia,region,
2006,asi,5557.58,70.01,3833290303,Asia,region,
2007,asi,5929.5,70.23,3875710892,Asia,region,
2008,asi,6031.34,70.44,3917959385,Asia,region,
2009,asi,6147.31,70.65,3960002700,Asia,region,
2010,asi,6524.22,70.84,4001804165,Asia,region,
2011,asi,6758.61,71.03,4043369481,Asia,region,
2012,asi,7031.39,71.2,4084661284,Asia,region,
2013,asi,7345.18,71.34,4125504630,Asia,region,
2014,asi,7688.66,71.54,4165673702,Asia,region,
1990,afr,1902.32,53.15,632346655,Africa,region,
1991,afr,1864.28,53.24,649014373,Africa,region,
1992,afr,1825.86,53.29,665906975,Africa,region,
1993,afr,1777.22,53.32,682991872,Africa,region,
1994,afr,1768.87,53.17,700229043,Africa,region,
1995,afr,1779.53,53.21,717597735,Africa,region,
1996,afr,1833.86,53.25,735084861,Africa,region,
1997,afr,1854.05,53.29,752720980,Africa,region,
1998,afr,1879.69,53.35,770584388,Africa,region,
1999,afr,1898.6,53.44,788781594,Africa,region,
2000,afr,1922.23,53.57,807394290,Africa,region,
2001,afr,1951.46,53.77,826456199,Africa,region,
2002,afr,1971.05,54.03,845963618,Africa,region,
2003,afr,2028.36,54.36,865915189,Africa,region,
2004,afr,2087.4,54.77,886295965,Africa,region,
2005,afr,2410.14,55.23,907097397,Africa,region,
2006,afr,2497.17,55.75,928322628,Africa,region,
2007,afr,2584.95,56.29,949988527,Africa,region,
2008,afr,2650.99,56.85,972114234,Africa,region,
2009,afr,2664.18,57.4,994723156,Africa,region,
2010,afr,2726.77,57.91,1017829231,Africa,region,
2011,afr,2739.49,58.36,1041431732,Africa,region,
2012,afr,2780.92,58.83,1065516575,Africa,region,
2013,afr,2861.08,59.24,1090065857,Africa,region,
2014,afr,2939,59.61,1115054632,Africa,region,
1990,ame,17287.35,71.17,716300644,America,region,
1991,ame,17046.11,71.41,726981546,America,region,
1992,ame,17216.54,71.73,737580678,America,region,
1993,ame,17376.6,71.82,748175267,America,region,
1994,ame,17798.87,72.11,758876187,America,region,
1995,ame,17864.08,72.35,769753540,America,region,
1996,ame,18190.31,72.67,780838274,America,region,
1997,ame,18728.35,73.02,792076310,America,region,
1998,ame,19104.14,73.28,803348922,America,region,
1999,ame,19463.03,73.48,814490927,America,region,
2000,ame,19889.79,73.71,825381851,America,region,
2001,ame,19732.39,73.91,835983234,America,region,
2002,ame,19698.2,74.09,846325021,America,region,
2003,ame,19889.88,74.32,856439844,America,region,
2004,ame,20434.06,74.62,866387313,America,region,
2005,ame,20847.17,74.75,876215000,America,region,
